gate,failed,finding
proof_audit_completed,0,Line-item proof audit rows are emitted.
proof_repaired_not_overclaimed,0,Multi-candidate/top-k material is demoted unless assumptions are added.
bridge_partial_not_full,0,Empirical bridge is partial and has missing theorem-critical data.
source_escape_hatch_closed,0,No source-observable counterexample is found.
lecam_not_upgraded,0,Le Cam remains empirical for EEG artifacts.
fano_not_upgraded,0,Fano/Assouad remains blocked.
endpoint_oracle_diagnostic_only,0,Same-label endpoint scalar remains unavailable at selection time.
training_not_executed,0,C60 refines blueprint but does not execute training.
reserved_dataset_and_seeds_blocked,0,"BNCI2014_004 and seeds [3,4] remain reserved."
no_gpu_or_reinference,0,No GPU or re-inference is authorized.
no_m1_or_manuscript,0,C60 does not start M1 or manuscript drafting.
no_eeg_theorem_claim,0,Rank-gauge theorem remains synthetic/model-bound.
forbidden_scan_passed,0,Forbidden affirmative claim scan passed.
large_artifact_scan_passed,0,All listed artifacts are under 50MB.
no_selector_artifact,0,C60 emits no selected-candidate or chosen-checkpoint artifact.
test_manifest_recorded,0,Validation scopes are recorded for Slurm cpu-high.
