tag,checkpoint,sha256,file_mode_octal,is_symlink,payload_read_only,immutable_contract_pass,strict_reload_evidence,phase_a_reproduction_pass,deterministic_repeat_max_abs,b1_eligible,resolved_checkpoint,sha_named_payload
random,deterministic_init_seed_0_at_pinned_code_commit,not_applicable,not_applicable,False,True,True,torch_seed_0_plus_phase_a_exact_reproduction,True,0.0,True,,
released,/home/infres/yinwang/eeg2025/NIPS/Cbramod_pretrained_weights.pth,0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178,0o644,False,False,False,phase_a_state_keys_complete_but_strict_immutable_reload_pending,True,0.0,False,/home/infres/yinwang/eeg2025/NIPS/Cbramod_pretrained_weights.pth,False
H200_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s0/best.pth,64977656005c6ac848af317caa48215eb50c780c869e8cebc930cc6bc5c15e63,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s0/best.pth,False
H200_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s1/best.pth,125d0c393e16a5d782125117d0521b79a615552d2ffc30e7a2ddb7a272103736,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H200_s1/best.pth,False
H500_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s0/best.pth,e7bbacd8e5f1965a2b893aa577c672fd04422f5be5cbb208660a5a49461ac549,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s0/best.pth,False
H500_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s1/best.pth,fd7957bfc4a47f4bcb134ffd08a1a6c59c5f6091d1775e2df58adde62ac8015a,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H500_s1/best.pth,False
H1000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s0/best.pth,29d62af00476cd4fd9cb6af84eb348205cfdc1a55d69f908b51a0208ee93d44d,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s0/best.pth,False
H1000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s1/best.pth,b52a76659d640a0133971565a2fe11b803e2dbd20b0df645269a19b2a84b2c43,0o644,False,False,False,run_summary.checkpoint_strict_reload=true,True,0.0,False,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1/H1000_s1/best.pth,False
H2000_s0,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.pth,3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb,0o444,True,True,True,Phase_A_immutable_closure_strict_reload=true,True,0.0,True,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s0/best.3c2f568d807e36267f4376ee8b33ce522a41f4dccc094f56f825d7d9f1f896eb.pth,True
H2000_s1,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.pth,492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f,0o444,True,True,True,Phase_A_immutable_closure_strict_reload=true,True,0.0,True,/home/infres/yinwang/CMI_AAAI_s2p_b1_launch/results/s2p_route_b_33ch_b1_immutable/H2000_s1/best.492da560503d500bc59d7cd759b7b809cefb473ee6f78c07523fc407b51aa40f.pth,True
