clip_id,class_id,heldout_fold,segment_ids,segments_per_subject,fit_folds
0,0,0,0;1;2,3,1;2
1,0,1,0;1;2,3,0;2
2,0,2,0;1;2,3,0;1
3,1,0,0;1;2,3,1;2
4,1,1,0;1;2,3,0;2
5,1,2,0;1;2,3,0;1
6,2,0,0;1;2,3,1;2
7,2,1,0;1;2,3,0;2
8,2,2,0;1;2,3,0;1
9,3,0,0;1;2,3,1;2
10,3,1,0;1;2,3,0;2
11,3,2,0;1;2,3,0;1
12,4,0,0;1;2,3,1;2
13,4,1,0;1;2,3,0;2
14,4,2,0;1;2,3,0;1
15,4,0,0;1;2,3,1;2
16,5,0,0;1;2,3,1;2
17,5,1,0;1;2,3,0;2
18,5,2,0;1;2,3,0;1
19,6,0,0;1;2,3,1;2
20,6,1,0;1;2,3,0;2
21,6,2,0;1;2,3,0;1
22,7,0,0;1;2,3,1;2
23,7,1,0;1;2,3,0;2
24,7,2,0;1;2,3,0;1
25,8,0,0;1;2,3,1;2
26,8,1,0;1;2,3,0;2
27,8,2,0;1;2,3,0;1
