artifact,role,size_bytes,sha256,code_commit
seedv_bootstrap_budget_metrics.csv,SEED-V point estimates and cluster intervals,3310,180050c9bad7a3cb3c141342a664880bb98af3e9630e78d8b53ec0c745858d47,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_task_contrasts.csv,SEED-V task bootstrap contrasts,2595,b5cc8cbd242d12d2451b4c76f7760a75f3aa3ac42dc420fbc5b8dcb78ca7ca99,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_subject_contrasts.csv,SEED-V subject-NLL contrasts,590,60cb18669ec783779cb7446e6be0072af4b5f2105b985e9bff68c279441a0d0a,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_geometry_contrasts.csv,SEED-V rank-4 overlap contrasts,1035,5ba486b4ba1b493d69524242693e5b0e4b28ca4ec9e24dd5e53d34973879592c,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_l5.csv,SEED-V matched-null L5 family,3048,d5eb163b90427b1a6a103257bffad1579e7414600490f71aacf9221f37cf21c1,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_point_reproduction.csv,SEED-V independent point reproduction,1932,d0e0f1a3ea40d5bbbac824f838a2ed8eb0839477d4728a98adedaa8f29f393d5,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_support.npz,SEED-V compact bootstrap support,1555045,c637e4f437eeb8b691a4d560c3cbbeecca32de988ad2a59bec9f5bb5e05113ab,c86e0a2158ef068198ce450e8fd735b86a94b013
seedv_bootstrap_verification.json,SEED-V bootstrap contract verdict,2157,a0574eba2aba78778e9e6185a136bdf12ad1686773e3ec748c2370f01637437b,c86e0a2158ef068198ce450e8fd735b86a94b013
phase_c_independent_checks.csv,cross-dataset independent checks,6132,113a9baaba79856ca8de8c540f306141787814ef52cf46771eeb05ea6fdd0baa,c86e0a2158ef068198ce450e8fd735b86a94b013
phase_c_claim_ledger.csv,mechanically scoped claim ledger,2205,4f338b423a7b230a307fb2c0b0d4e872528a7f63f9cc8c750c5951840f47bf24,c86e0a2158ef068198ce450e8fd735b86a94b013
phase_c_dataset_verdicts.json,dataset-specific verified results,3073,4d0cd4328fd51d20dabaca123e9e3e3010636fe636b3945e6fed2ef1642372d0,c86e0a2158ef068198ce450e8fd735b86a94b013
phase_c_closure_verdict.json,Phase-C closure readiness verdict,1152,504786fa0f991f670e5f7e13282319cb35d6b677749ab00d9ab3640185be6acd,c86e0a2158ef068198ce450e8fd735b86a94b013
