tag,target_kappa,target_kappa_ci95_low,target_kappa_ci95_high,target_nll,target_nll_ci95_low,target_nll_ci95_high,target_bacc,target_bacc_ci95_low,target_bacc_ci95_high,subject_nll,subject_nll_ci95_low,subject_nll_ci95_high,projection_overlap_rank4,overlap_ci95_low,overlap_ci95_high
random,0.13829787234042556,0.07446808510638295,0.2083333333333333,2.608106184285489,2.3636130303103267,2.866980029591106,0.31063829787234043,0.25957446808510637,0.36666666666666664,0.3770744669794748,0.2788234129981775,0.4790907646329262,0.002277770020797167,0.00234711037048605,0.017480687652718888
released,0.23936170212765961,0.18617021276595744,0.29166666666666663,2.21791488389759,1.78594421495207,2.7583652429485523,0.3914893617021276,0.34893617021276596,0.4333333333333334,0.03382633188731357,0.02951690252594307,0.03956892280006252,0.0005293566986458976,0.00036276677626132116,0.002442591370997284
H200_s0,0.13829787234042556,0.05729166666666664,0.23404255319148934,2.3983783589711036,2.1303200295892997,2.653794938316366,0.31063829787234043,0.24583333333333335,0.3872340425531915,0.06407437816335824,0.052653211549469274,0.07661238230238668,0.0008023616923538402,0.001030108150743991,0.006158101933557657
H200_s1,0.15957446808510634,0.07978723404255317,0.25,2.3631210528920668,2.034515322156339,2.730145431884357,0.32765957446808514,0.26382978723404255,0.4,0.0770101829104814,0.06192322993214101,0.09343668196250594,0.0020655430764920718,0.0012970307022935664,0.010581535251699992
H500_s0,0.15957446808510634,0.12234042553191486,0.20111297409805698,2.492726038587846,2.1468306461961806,2.8982493835966876,0.3276595744680851,0.29787234042553196,0.3608903792784456,0.03808425603240931,0.03427539858662947,0.04204423066704709,0.001960177859771855,0.0007344399800754903,0.006920989917107661
H500_s1,0.22872340425531912,0.14062499999999997,0.3182059961315276,2.1988631754470878,1.7796369964530918,2.7323951430087097,0.3829787234042553,0.31250000000000006,0.45456479690522217,0.03523785034105329,0.030895477013034755,0.0405133013304776,0.0007752655370518325,0.0005700689792369198,0.005402044210605884
H1000_s0,0.29255319148936165,0.22826086956521738,0.35937499999999994,2.1073552856503683,1.7786697144465051,2.4844114902378687,0.4340425531914893,0.3826086956521739,0.4875,0.032317105345505796,0.02862306318170088,0.03681755302947589,0.00031596385664611147,0.000403245754419982,0.0035467581514358765
H1000_s1,0.21276595744680848,0.14361702127659573,0.28191489361702127,2.1349824091462613,1.8146311702168643,2.560162987500426,0.37021276595744684,0.31489361702127655,0.425531914893617,0.0428565722580904,0.03518615796401453,0.05273890311738898,0.0007294969977375265,0.0006475474884378436,0.005029559765750364
H2000_s0,0.21808510638297873,0.1329787234042553,0.3191489361702127,2.0080964763993117,1.7090608903571565,2.3155445851877543,0.37446808510638296,0.30638297872340425,0.45531914893617015,0.0401178822875783,0.035159420799706104,0.045745882306640714,0.0009366863171237868,0.0006935951107613315,0.005441392815768045
H2000_s1,0.2606382978723404,0.18478260869565213,0.3404255319148936,1.9528584903429607,1.6744885857503458,2.282113040087232,0.4085106382978723,0.34782608695652173,0.47234042553191485,0.04075537793133662,0.03433301503767381,0.048520473939048334,0.0004809089311471735,0.000525414721903982,0.006784836775224917
