dataset,component,check,status,detail
ALL,provenance,ten_immutable_representation_contracts,PASS,
ALL,provenance,closure_code_commit,PASS,
ALL,provenance,all_checkpoint_hashes_rechecked,PASS,
FACED,split,subject_sets,PASS,
FACED,split,84_segments_per_subject,PASS,
FACED,split,28_clip_groups_three_segments,PASS,
FACED,task,prediction_recompute_random,PASS,
FACED,task,prediction_recompute_released,PASS,
FACED,task,prediction_recompute_H200_s0,PASS,
FACED,task,prediction_recompute_H200_s1,PASS,
FACED,task,prediction_recompute_H500_s0,PASS,
FACED,task,prediction_recompute_H500_s1,PASS,
FACED,task,prediction_recompute_H1000_s0,PASS,
FACED,task,prediction_recompute_H1000_s1,PASS,
FACED,task,prediction_recompute_H2000_s0,PASS,
FACED,task,prediction_recompute_H2000_s1,PASS,
FACED,task,core_support_recompute_random_source_val,PASS,
FACED,task,core_support_recompute_random_target_test,PASS,
FACED,task,core_support_recompute_released_source_val,PASS,
FACED,task,core_support_recompute_released_target_test,PASS,
FACED,task,core_support_recompute_H200_s0_source_val,PASS,
FACED,task,core_support_recompute_H200_s0_target_test,PASS,
FACED,task,core_support_recompute_H200_s1_source_val,PASS,
FACED,task,core_support_recompute_H200_s1_target_test,PASS,
FACED,task,core_support_recompute_H500_s0_source_val,PASS,
FACED,task,core_support_recompute_H500_s0_target_test,PASS,
FACED,task,core_support_recompute_H500_s1_source_val,PASS,
FACED,task,core_support_recompute_H500_s1_target_test,PASS,
FACED,task,core_support_recompute_H1000_s0_source_val,PASS,
FACED,task,core_support_recompute_H1000_s0_target_test,PASS,
FACED,task,core_support_recompute_H1000_s1_source_val,PASS,
FACED,task,core_support_recompute_H1000_s1_target_test,PASS,
FACED,task,core_support_recompute_H2000_s0_source_val,PASS,
FACED,task,core_support_recompute_H2000_s0_target_test,PASS,
FACED,task,core_support_recompute_H2000_s1_source_val,PASS,
FACED,task,core_support_recompute_H2000_s1_target_test,PASS,
FACED,subject,cluster_support_recompute_random,PASS,
FACED,subject,cluster_support_recompute_released,PASS,
FACED,subject,cluster_support_recompute_H200_s0,PASS,
FACED,subject,cluster_support_recompute_H200_s1,PASS,
FACED,subject,cluster_support_recompute_H500_s0,PASS,
