tag,target_kappa,target_nll,target_bacc,subject_nll,overlap,subject_capture,task_capture,target_kappa_abs_diff,target_nll_abs_diff,target_bacc_abs_diff,subject_nll_abs_diff,overlap_abs_diff,subject_capture_abs_diff,task_capture_abs_diff,all_pass
random,True,True,True,True,True,True,True,0.0,7.18098378049703e-06,0.0,3.071213909300319e-07,7.233453271256185e-09,4.3691075601870466e-07,1.6545388786814996e-07,True
released,True,True,True,True,True,True,True,0.0,9.382681529945813e-06,0.0,2.6988215086343192e-08,7.086865625252365e-08,1.5417346793111797e-06,1.0206743297491716e-06,True
H200_s0,True,True,True,True,True,True,True,0.0,7.419035360722859e-06,0.0,4.300013761726618e-09,2.434781763455563e-08,6.731952141292297e-07,3.0405700829350124e-07,True
H200_s1,True,True,True,True,True,True,True,0.0,1.1735243992561095e-05,0.0,4.7408099029810913e-07,4.631518388774347e-08,1.8270577206713767e-07,6.548088202495972e-07,True
H500_s0,True,True,True,True,True,True,True,0.0,3.1432302369793774e-06,0.0,9.638871436429275e-08,1.3318638040962089e-08,8.557268971198795e-08,2.3104232368953426e-07,True
H500_s1,True,True,True,True,True,True,True,0.0,2.6340127470270147e-06,0.0,7.06280938039816e-08,1.601062495190826e-08,1.383070422078525e-07,1.3393259271077262e-07,True
H1000_s0,True,True,True,True,True,True,True,0.0,3.691784504766815e-07,0.0,9.397127853638665e-09,4.6773385691391105e-09,1.5140383560763304e-07,5.4781202130094186e-08,True
H1000_s1,True,True,True,True,True,True,True,0.0,1.755841004591474e-06,0.0,2.8649443421790988e-08,1.2103588368844384e-07,1.3230192802415885e-08,7.333581138191381e-07,True
H2000_s0,True,True,True,True,True,True,True,0.0,3.955210563511002e-06,0.0,2.6863210683680805e-08,7.045784220166898e-09,6.021218745821955e-09,1.9650466559495428e-08,True
H2000_s1,True,True,True,True,True,True,True,0.0,9.91910019898512e-07,0.0,1.9754499022694993e-08,1.4305124985719737e-08,1.6810308084425074e-07,6.639529875340777e-07,True
