object_id,path,size_bytes,sha256,semantic_role,runtime_access
C85U_U1_C85U_CANDIDATE_UTILITY_MANIFEST.json,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/C85U_CANDIDATE_UTILITY_MANIFEST.json,479016,caa99551041e89363340a594c0a67e6b9d949a03df60eae598fcb1ad3979a7c0,C85U_U1_COMPATIBILITY_MANIFEST,READ_ONLY
C85U_U1_C85U_CANDIDATE_UTILITY_MANIFEST_V2.json,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/C85U_CANDIDATE_UTILITY_MANIFEST_V2.json,2150,95bdbc04f05103a090d46dd4419dc12c766ab45f807c8466ebf883a1171b05c6,C85U_U1_ACCEPTED_MANIFEST,READ_ONLY
C85U_U1_C85U_STAGE_U1_HANDOFF.json,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/C85U_STAGE_U1_HANDOFF.json,2049,2fad474bff7d80c55243a825ae3c15fa0afab45e8c841343d2a0aa20cefe1975,C85U_U1_HANDOFF,READ_ONLY
C85U_U1_candidate_utility_index.csv,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/candidate_utility_index.csv,25682314,83bddf56290c4e06a306d64dadfc9611115a177f479d433fe0e4485b0c181509,C85U_CANDIDATE_UTILITY_INDEX,READ_ONLY
C85U_UTILITY_CONTEXT_8f38605b8c47d37ef0b1e76f,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/8f38605b8c47d37ef0b1e76f.npz,19264,b8982bd7206e8955dfbe59f4203e6faefdec69e94fc36fb6422c2900d67ad377,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_7fadc7ee2c7037e2e8221204,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/7fadc7ee2c7037e2e8221204.npz,19014,08a95a62e572bc8ad682f7a072a2f9c75647b09c2ecd9e4b437ee1cbbf724e6c,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_049ecb9d2c09a78ce26f941e,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/049ecb9d2c09a78ce26f941e.npz,19323,2fa0f35a8d81e59e51b5b7ca01f21559d59245c0e02f9c6cade6c3406073a474,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_d2b324140a4535b95d5f0455,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/d2b324140a4535b95d5f0455.npz,19058,a7ac7fe867e4736dc0dedd29ee1a36ec9af96e94edff8f6591984d3124348281,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_abe3abd91667f8a4e582df6d,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/abe3abd91667f8a4e582df6d.npz,19249,fb4dc01ff13ffa93de99fc01af28865f467cf09b865cd29d3e34e68b5bbc084f,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_94583103570c501f17009248,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/94583103570c501f17009248.npz,19121,172ad490e72010fc154f58480ac5c19849cbe0e0a5dfdfb645bc1814de73d1f9,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_7e4c64c7329ccb2d3483584a,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/7e4c64c7329ccb2d3483584a.npz,19171,ca1164b893ecd0fffa309a89c8cad921e091fab0402901916ca6e3eae4c7d17b,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
C85U_UTILITY_CONTEXT_26e874658f0d28001117805a,/projects/EEG-foundation-model/yinghao/oaci-c85u-candidate-utility-v2/c85u-v2-77382c16a593f7c2-91a428488a634268/stage_u1_candidate_utility_v2/context_artifacts/26e874658f0d28001117805a.npz,19246,c307a0af4dc40e957f38a1f521fff3e90ee0da28bc9806f0daa51ac7725148ce,C85U_HELD_EVALUATION_UTILITY_CONTEXT,READ_ONLY
