table,result_tag,publication,new_pvalues
realized_action_divergence.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
exact_policy_equivalence_classes.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
action_entropy_and_regime_distribution.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
divergent_context_risk_contribution.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
q0_action_distribution_use.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
candidate_gap_geometry.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
near_optimal_set_grid.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
effective_multiplicity_grid.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
geometry_by_dataset_level.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
rank_topk_regret_geometry_separation.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
geometry_regret_descriptive_association.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
leave_target_geometry_stability.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
target_robust_risk_profile.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
cvar_grid.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
cott_mean_tail_profile.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
mano_policy_collapse_risk_profile.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
level_robust_risk_interaction.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
dataset_level_geometry_matrix.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
panel_seed_geometry_stability.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
support_level_policy_use_profile.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
heterogeneity_explanation_limits.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
theorem_empirical_applicability_matrix.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
assumption_identification_ledger.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
forbidden_theorem_transfer_claims.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
future_active_acquisition_requirements.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
untouched_population_options.csv,POST_C84S_EXPLORATORY,ATOMIC_FINAL_BUNDLE_ONLY,0
