dataset,target_subject,alpha,R1_minus_R3,R2_minus_R3
BNCI2014_001,1,1.0,0.6667,0.3188
BNCI2014_001,1,2.0,0.75,0.0909
BNCI2014_001,2,1.0,-2.5,0.75
BNCI2014_001,2,2.0,4.6,3.0
BNCI2014_001,3,1.0,-0.3333,8.6667
BNCI2014_001,3,2.0,0.5455,-5.9091
BNCI2014_001,4,1.0,-1.5714,-0.8095
BNCI2014_001,4,2.0,0.0357,0.0357
BNCI2014_001,5,1.0,1.625,0.625
BNCI2014_001,5,2.0,nan,nan
BNCI2014_001,6,1.0,4.0,4.5
BNCI2014_001,6,2.0,-7.0,-14.0
BNCI2014_001,7,1.0,0.375,-2.0625
BNCI2014_001,7,2.0,0.9,-0.7333
BNCI2014_001,8,1.0,-0.5217,-2.2609
BNCI2014_001,8,2.0,0.5556,-0.5778
BNCI2014_001,9,1.0,0.7368,-2.4211
BNCI2014_001,9,2.0,0.7,-1.1
BNCI2015_001,10,1.0,0.0441,0.4412
BNCI2015_001,10,2.0,0.0571,0.6714
BNCI2015_001,11,1.0,26.0,3.0
BNCI2015_001,11,2.0,0.0,0.7143
BNCI2015_001,12,1.0,0.2,0.0
BNCI2015_001,12,2.0,0.125,-0.25
BNCI2015_001,1,1.0,1.6538,1.7692
BNCI2015_001,1,2.0,0.3235,0.1471
BNCI2015_001,2,1.0,0.2787,0.1148
BNCI2015_001,2,2.0,0.4684,0.0127
BNCI2015_001,3,1.0,3.9286,6.0714
BNCI2015_001,3,2.0,3.9286,4.0
BNCI2015_001,4,1.0,-7.5,-7.4
BNCI2015_001,4,2.0,0.1313,0.2525
BNCI2015_001,5,1.0,0.0341,0.0568
BNCI2015_001,5,2.0,0.0778,0.0889
BNCI2015_001,6,1.0,-0.025,-0.025
BNCI2015_001,6,2.0,0.0889,0.0
BNCI2015_001,7,1.0,3.0,2.0
BNCI2015_001,7,2.0,nan,nan
BNCI2015_001,8,1.0,0.4783,0.6087
BNCI2015_001,8,2.0,0.9545,1.0909
BNCI2015_001,9,1.0,-0.029,-0.0145
BNCI2015_001,9,2.0,-0.0143,0.0
