dataset,target_subject,branch,c_target,n_source_subjects,ncls,cd_assignment
BNCI2014_001,1,spatial_z,1,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,2,spatial_z,3,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,3,spatial_z,0,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,4,spatial_z,2,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,5,spatial_z,2,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,6,spatial_z,3,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,7,spatial_z,3,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,8,spatial_z,0,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2014_001,9,spatial_z,3,8,4,0:1;1:1;2:2;3:0;4:3;5:2;6:0;7:3
BNCI2015_001,10,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,11,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,12,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,1,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,2,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,3,spatial_z,0,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,4,spatial_z,0,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,5,spatial_z,0,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,6,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,7,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,8,spatial_z,0,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
BNCI2015_001,9,spatial_z,1,11,2,0:1;1:1;2:0;3:0;4:1;5:0;6:0;7:1;8:1;9:0;10:1
