dataset,target_subject,alpha,l1_subject_bacc
BNCI2014_001,1,0.0,0.9362
BNCI2014_001,1,0.25,0.9974
BNCI2014_001,1,0.5,0.9998
BNCI2014_001,1,1.0,1.0
BNCI2014_001,1,2.0,1.0
BNCI2014_001,2,0.0,0.934
BNCI2014_001,2,0.25,0.9711
BNCI2014_001,2,0.5,0.9937
BNCI2014_001,2,1.0,0.9998
BNCI2014_001,2,2.0,1.0
BNCI2014_001,3,0.0,0.8904
BNCI2014_001,3,0.25,0.9711
BNCI2014_001,3,0.5,0.9963
BNCI2014_001,3,1.0,0.9993
BNCI2014_001,3,2.0,1.0
BNCI2014_001,4,0.0,0.9514
BNCI2014_001,4,0.25,0.9887
BNCI2014_001,4,0.5,0.9983
BNCI2014_001,4,1.0,1.0
BNCI2014_001,4,2.0,1.0
BNCI2014_001,5,0.0,0.9013
BNCI2014_001,5,0.25,0.9197
BNCI2014_001,5,0.5,0.9551
BNCI2014_001,5,1.0,0.9894
BNCI2014_001,5,2.0,0.9993
BNCI2014_001,6,0.0,0.9143
BNCI2014_001,6,0.25,0.9308
BNCI2014_001,6,0.5,0.9648
BNCI2014_001,6,1.0,0.9935
BNCI2014_001,6,2.0,0.9991
BNCI2014_001,7,0.0,0.9601
BNCI2014_001,7,0.25,0.9809
BNCI2014_001,7,0.5,0.9933
BNCI2014_001,7,1.0,1.0
BNCI2014_001,7,2.0,1.0
BNCI2014_001,8,0.0,0.8954
BNCI2014_001,8,0.25,0.9338
BNCI2014_001,8,0.5,0.9757
BNCI2014_001,8,1.0,0.9959
BNCI2014_001,8,2.0,1.0
BNCI2014_001,9,0.0,0.9197
BNCI2014_001,9,0.25,0.9531
BNCI2014_001,9,0.5,0.9852
BNCI2014_001,9,1.0,0.998
BNCI2014_001,9,2.0,1.0
BNCI2015_001,10,0.0,0.7891
BNCI2015_001,10,0.25,0.999
BNCI2015_001,10,0.5,0.9995
BNCI2015_001,10,1.0,1.0
BNCI2015_001,10,2.0,1.0
BNCI2015_001,11,0.0,0.8445
BNCI2015_001,11,0.25,0.9995
BNCI2015_001,11,0.5,1.0
BNCI2015_001,11,1.0,1.0
BNCI2015_001,11,2.0,1.0
BNCI2015_001,12,0.0,0.8249
BNCI2015_001,12,0.25,0.999
BNCI2015_001,12,0.5,1.0
BNCI2015_001,12,1.0,1.0
BNCI2015_001,12,2.0,1.0
BNCI2015_001,1,0.0,0.8351
BNCI2015_001,1,0.25,0.9957
BNCI2015_001,1,0.5,0.9995
BNCI2015_001,1,1.0,0.9998
BNCI2015_001,1,2.0,1.0
BNCI2015_001,2,0.0,0.822
BNCI2015_001,2,0.25,0.9989
BNCI2015_001,2,0.5,0.9995
BNCI2015_001,2,1.0,1.0
BNCI2015_001,2,2.0,1.0
BNCI2015_001,3,0.0,0.8221
BNCI2015_001,3,0.25,0.9973
BNCI2015_001,3,0.5,0.9995
BNCI2015_001,3,1.0,0.9998
BNCI2015_001,3,2.0,1.0
BNCI2015_001,4,0.0,0.8052
BNCI2015_001,4,0.25,0.9939
BNCI2015_001,4,0.5,0.9992
BNCI2015_001,4,1.0,0.9998
BNCI2015_001,4,2.0,1.0
BNCI2015_001,5,0.0,0.7942
BNCI2015_001,5,0.25,0.9967
BNCI2015_001,5,0.5,0.9994
BNCI2015_001,5,1.0,0.9998
BNCI2015_001,5,2.0,1.0
BNCI2015_001,6,0.0,0.8379
BNCI2015_001,6,0.25,0.9961
BNCI2015_001,6,0.5,0.9992
BNCI2015_001,6,1.0,0.9998
BNCI2015_001,6,2.0,0.9998
BNCI2015_001,7,0.0,0.8302
BNCI2015_001,7,0.25,0.9986
BNCI2015_001,7,0.5,0.9996
BNCI2015_001,7,1.0,0.9998
BNCI2015_001,7,2.0,1.0
BNCI2015_001,8,0.0,0.8139
BNCI2015_001,8,0.25,0.9927
BNCI2015_001,8,0.5,0.9994
BNCI2015_001,8,1.0,0.9998
BNCI2015_001,8,2.0,0.9998
BNCI2015_001,9,0.0,0.8333
BNCI2015_001,9,0.25,0.9987
BNCI2015_001,9,0.5,0.9996
BNCI2015_001,9,1.0,0.9998
BNCI2015_001,9,2.0,1.0
