dataset,target_subject,alpha,bacc_orig,bacc_injected,induced_harm,l5_task_drop,l6_harmful
BNCI2014_001,1,0.0,0.4045,0.4045,0.0,-0.0017,True
BNCI2014_001,1,0.25,0.4045,0.3785,0.026,-0.0139,True
BNCI2014_001,1,0.5,0.4045,0.3351,0.0694,-0.0191,True
BNCI2014_001,1,1.0,0.4045,0.2847,0.1198,-0.0417,True
BNCI2014_001,1,2.0,0.4045,0.2517,0.1528,-0.0156,True
BNCI2014_001,2,0.0,0.283,0.283,0.0,-0.0017,True
BNCI2014_001,2,0.25,0.283,0.2795,0.0035,-0.0191,True
BNCI2014_001,2,0.5,0.283,0.2778,0.0052,-0.0139,True
BNCI2014_001,2,1.0,0.283,0.276,0.0069,-0.0035,True
BNCI2014_001,2,2.0,0.283,0.2917,-0.0087,0.0208,False
BNCI2014_001,3,0.0,0.4826,0.4826,0.0,0.0226,False
BNCI2014_001,3,0.25,0.4826,0.5,-0.0174,0.0677,False
BNCI2014_001,3,0.5,0.4826,0.5069,-0.0243,0.1198,False
BNCI2014_001,3,1.0,0.4826,0.4931,-0.0104,0.1198,False
BNCI2014_001,3,2.0,0.4826,0.4635,0.0191,0.1198,False
BNCI2014_001,4,0.0,0.3472,0.3472,0.0,0.0191,False
BNCI2014_001,4,0.25,0.3472,0.3594,-0.0122,0.026,False
BNCI2014_001,4,0.5,0.3472,0.3576,-0.0104,0.033,False
BNCI2014_001,4,1.0,0.3472,0.3108,0.0365,0.0295,False
BNCI2014_001,4,2.0,0.3472,0.25,0.0972,-0.0035,True
BNCI2014_001,5,0.0,0.2535,0.2535,0.0,-0.026,True
BNCI2014_001,5,0.25,0.2535,0.2569,-0.0035,-0.0139,True
BNCI2014_001,5,0.5,0.2535,0.2604,-0.0069,-0.0017,True
BNCI2014_001,5,1.0,0.2535,0.2674,-0.0139,0.0122,False
BNCI2014_001,5,2.0,0.2535,0.2535,0.0,-0.0087,True
BNCI2014_001,6,0.0,0.2865,0.2865,0.0,0.0122,False
BNCI2014_001,6,0.25,0.2865,0.2865,-0.0,0.0156,False
BNCI2014_001,6,0.5,0.2865,0.283,0.0035,0.0191,False
BNCI2014_001,6,1.0,0.2865,0.2899,-0.0035,0.0174,False
BNCI2014_001,6,2.0,0.2865,0.2847,0.0017,0.0226,False
BNCI2014_001,7,0.0,0.2587,0.2587,0.0,-0.0122,True
BNCI2014_001,7,0.25,0.2587,0.2674,-0.0087,-0.0052,True
BNCI2014_001,7,0.5,0.2587,0.2639,-0.0052,-0.0208,True
BNCI2014_001,7,1.0,0.2587,0.2865,-0.0278,-0.0417,True
BNCI2014_001,7,2.0,0.2587,0.3108,-0.0521,-0.0347,True
BNCI2014_001,8,0.0,0.4965,0.4965,0.0,0.0278,False
BNCI2014_001,8,0.25,0.4965,0.4896,0.0069,0.0208,False
BNCI2014_001,8,0.5,0.4965,0.4896,0.0069,0.0573,False
BNCI2014_001,8,1.0,0.4965,0.4566,0.0399,0.0712,False
BNCI2014_001,8,2.0,0.4965,0.4184,0.0781,0.0521,False
BNCI2014_001,9,0.0,0.4115,0.4115,0.0,0.0955,False
BNCI2014_001,9,0.25,0.4115,0.4062,0.0052,0.0938,False
BNCI2014_001,9,0.5,0.4115,0.3976,0.0139,0.0816,False
BNCI2014_001,9,1.0,0.4115,0.3785,0.033,0.0781,False
BNCI2014_001,9,2.0,0.4115,0.3594,0.0521,0.0486,False
BNCI2015_001,10,0.0,0.6167,0.6167,0.0,0.0833,False
BNCI2015_001,10,0.25,0.6167,0.59,0.0267,0.0833,False
BNCI2015_001,10,0.5,0.6167,0.5567,0.06,0.0333,False
BNCI2015_001,10,1.0,0.6167,0.5033,0.1133,-0.0483,True
BNCI2015_001,10,2.0,0.6167,0.5,0.1167,-0.0783,True
BNCI2015_001,11,0.0,0.5083,0.5083,0.0,-0.025,True
BNCI2015_001,11,0.25,0.5083,0.5117,-0.0033,0.0033,False
BNCI2015_001,11,0.5,0.5083,0.515,-0.0067,0.0083,False
BNCI2015_001,11,1.0,0.5083,0.5067,0.0017,-0.005,True
BNCI2015_001,11,2.0,0.5083,0.555,-0.0467,0.0383,False
BNCI2015_001,12,0.0,0.525,0.525,0.0,-0.0275,True
BNCI2015_001,12,0.25,0.525,0.5125,0.0125,0.0,False
BNCI2015_001,12,0.5,0.525,0.505,0.02,-0.0075,True
BNCI2015_001,12,1.0,0.525,0.5125,0.0125,-0.0,True
BNCI2015_001,12,2.0,0.525,0.505,0.02,-0.0025,True
BNCI2015_001,1,0.0,0.5925,0.5925,0.0,0.0525,False
