dataset,target_subject,branch,alpha,bacc_orig,bacc_injected,induced_harm,l1_subject_bacc,l5_task_drop,l5_task_drop_random,l5_symkl,l5_symkl_random
BNCI2014_001,1,spatial_z,0.0,0.4045,0.4045,0.0,0.9362,-0.0017,-0.0035,1.4796,0.0137
BNCI2014_001,1,spatial_z,0.25,0.4045,0.3785,0.026,0.9974,-0.0139,0.0122,1.7945,0.0406
BNCI2014_001,1,spatial_z,0.5,0.4045,0.3351,0.0694,0.9998,-0.0191,-0.0226,1.5027,0.0346
BNCI2014_001,1,spatial_z,1.0,0.4045,0.2847,0.1198,1.0,-0.0417,-0.0017,1.0006,0.0092
BNCI2014_001,1,spatial_z,2.0,0.4045,0.2517,0.1528,1.0,-0.0156,-0.0122,3.0844,0.0376
BNCI2014_001,1,graph_z,1.0,0.4045,0.3056,0.099,1.0,-0.1302,-0.0017,4.0797,0.0139
BNCI2014_001,1,temporal_z,1.0,0.4045,0.3802,0.0243,1.0,-0.0503,-0.0295,0.6277,0.1671
BNCI2014_001,2,spatial_z,0.0,0.283,0.283,0.0,0.934,-0.0017,0.0035,1.6358,0.0616
BNCI2014_001,2,spatial_z,0.25,0.283,0.2795,0.0035,0.9711,-0.0191,0.0,1.1994,0.0199
BNCI2014_001,2,spatial_z,0.5,0.283,0.2778,0.0052,0.9937,-0.0139,0.0017,1.0161,0.0014
BNCI2014_001,2,spatial_z,1.0,0.283,0.276,0.0069,0.9998,-0.0035,0.0035,0.7051,0.0038
BNCI2014_001,2,spatial_z,2.0,0.283,0.2917,-0.0087,1.0,0.0208,0.0069,0.4752,0.0062
BNCI2014_001,2,graph_z,1.0,0.283,0.2847,-0.0017,1.0,0.0087,0.0069,0.7297,0.0147
BNCI2014_001,2,temporal_z,1.0,0.283,0.2674,0.0156,0.9996,-0.0087,0.0035,0.2704,0.0121
BNCI2014_001,3,spatial_z,0.0,0.4826,0.4826,0.0,0.8904,0.0226,-0.0069,0.0654,0.0074
BNCI2014_001,3,spatial_z,0.25,0.4826,0.5,-0.0174,0.9711,0.0677,0.0295,0.0691,0.0022
BNCI2014_001,3,spatial_z,0.5,0.4826,0.5069,-0.0243,0.9963,0.1198,0.0122,0.0839,0.0008
BNCI2014_001,3,spatial_z,1.0,0.4826,0.4931,-0.0104,0.9993,0.1198,0.0104,0.0967,0.0004
BNCI2014_001,3,spatial_z,2.0,0.4826,0.4635,0.0191,1.0,0.1198,0.0052,0.1053,0.0004
BNCI2014_001,3,graph_z,1.0,0.4826,0.4774,0.0052,1.0,-0.0365,-0.0052,0.0139,0.0003
BNCI2014_001,3,temporal_z,1.0,0.4826,0.5035,-0.0208,0.9961,-0.0104,-0.0035,0.0523,0.0003
BNCI2014_001,4,spatial_z,0.0,0.3472,0.3472,0.0,0.9514,0.0191,0.0104,0.4688,0.0149
BNCI2014_001,4,spatial_z,0.25,0.3472,0.3594,-0.0122,0.9887,0.026,0.0104,0.3351,0.0152
BNCI2014_001,4,spatial_z,0.5,0.3472,0.3576,-0.0104,0.9983,0.033,0.0,0.3147,0.0218
BNCI2014_001,4,spatial_z,1.0,0.3472,0.3108,0.0365,1.0,0.0295,-0.0087,0.2803,0.0073
BNCI2014_001,4,spatial_z,2.0,0.3472,0.25,0.0972,1.0,-0.0035,-0.0017,0.4718,0.0151
BNCI2014_001,4,graph_z,1.0,0.3472,0.3438,0.0035,1.0,-0.0399,0.0,0.5483,0.0011
BNCI2014_001,4,temporal_z,1.0,0.3472,0.342,0.0052,0.9989,-0.0104,-0.0017,0.0995,0.0502
BNCI2014_001,5,spatial_z,0.0,0.2535,0.2535,0.0,0.9013,-0.026,0.0,0.7135,0.0027
BNCI2014_001,5,spatial_z,0.25,0.2535,0.2569,-0.0035,0.9197,-0.0139,0.0017,0.7338,0.0007
BNCI2014_001,5,spatial_z,0.5,0.2535,0.2604,-0.0069,0.9551,-0.0017,0.0069,0.7457,0.0033
BNCI2014_001,5,spatial_z,1.0,0.2535,0.2674,-0.0139,0.9894,0.0122,0.0156,0.7469,0.0121
BNCI2014_001,5,spatial_z,2.0,0.2535,0.2535,0.0,0.9993,-0.0087,0.0017,0.6995,0.0015
BNCI2014_001,5,graph_z,1.0,0.2535,0.2483,0.0052,1.0,-0.0156,-0.0017,0.2411,0.0001
BNCI2014_001,5,temporal_z,1.0,0.2535,0.2622,-0.0087,0.992,0.0069,0.0,0.0178,0.0002
BNCI2014_001,6,spatial_z,0.0,0.2865,0.2865,0.0,0.9143,0.0122,0.0104,0.2283,0.0123
BNCI2014_001,6,spatial_z,0.25,0.2865,0.2865,-0.0,0.9308,0.0156,-0.0017,0.2161,0.0072
BNCI2014_001,6,spatial_z,0.5,0.2865,0.283,0.0035,0.9648,0.0191,-0.0017,0.2029,0.0028
BNCI2014_001,6,spatial_z,1.0,0.2865,0.2899,-0.0035,0.9935,0.0174,-0.0017,0.1843,0.0067
BNCI2014_001,6,spatial_z,2.0,0.2865,0.2847,0.0017,0.9991,0.0226,0.0087,0.1735,0.0042
BNCI2014_001,6,graph_z,1.0,0.2865,0.2812,0.0052,1.0,-0.0,0.0,0.0231,0.0019
BNCI2014_001,6,temporal_z,1.0,0.2865,0.2882,-0.0017,0.967,-0.0069,0.0035,0.0472,0.0023
BNCI2014_001,7,spatial_z,0.0,0.2587,0.2587,0.0,0.9601,-0.0122,0.0017,0.2344,0.0016
BNCI2014_001,7,spatial_z,0.25,0.2587,0.2674,-0.0087,0.9809,-0.0052,0.0017,0.1842,0.0116
BNCI2014_001,7,spatial_z,0.5,0.2587,0.2639,-0.0052,0.9933,-0.0208,-0.0087,0.1767,0.005
BNCI2014_001,7,spatial_z,1.0,0.2587,0.2865,-0.0278,1.0,-0.0417,-0.0226,0.1869,0.0167
BNCI2014_001,7,spatial_z,2.0,0.2587,0.3108,-0.0521,1.0,-0.0347,0.0104,0.1652,0.0018
BNCI2014_001,7,graph_z,1.0,0.2587,0.2535,0.0052,1.0,-0.026,0.0,0.1507,0.0051
BNCI2014_001,7,temporal_z,1.0,0.2587,0.2951,-0.0365,0.9991,0.0156,-0.0139,0.2462,0.0445
BNCI2014_001,8,spatial_z,0.0,0.4965,0.4965,0.0,0.8954,0.0278,0.0069,0.2514,0.0032
BNCI2014_001,8,spatial_z,0.25,0.4965,0.4896,0.0069,0.9338,0.0208,0.0087,0.234,0.0023
BNCI2014_001,8,spatial_z,0.5,0.4965,0.4896,0.0069,0.9757,0.0573,0.0243,0.2175,0.0024
BNCI2014_001,8,spatial_z,1.0,0.4965,0.4566,0.0399,0.9959,0.0712,0.0278,0.2197,0.0214
BNCI2014_001,8,spatial_z,2.0,0.4965,0.4184,0.0781,1.0,0.0521,-0.0156,0.2532,0.0051
BNCI2014_001,8,graph_z,1.0,0.4965,0.5,-0.0035,0.9998,0.0035,-0.0035,0.0211,0.0
BNCI2014_001,8,temporal_z,1.0,0.4965,0.4774,0.0191,0.9288,0.0538,0.0052,0.0529,0.0006
BNCI2014_001,9,spatial_z,0.0,0.4115,0.4115,0.0,0.9197,0.0955,0.0156,0.3127,0.0057
BNCI2014_001,9,spatial_z,0.25,0.4115,0.4062,0.0052,0.9531,0.0938,0.0,0.3126,0.0086
