dataset,target_subject,branch,margin,unit_class_shift,scale,class_shift_positive
BNCI2014_001,1,spatial_z,4.2894,1.6855,2.5448,True
BNCI2014_001,1,graph_z,4.2894,0.7222,5.9391,True
BNCI2014_001,1,temporal_z,4.2894,0.4961,8.6465,True
BNCI2014_001,2,spatial_z,1.1181,1.0694,1.0455,True
BNCI2014_001,2,graph_z,1.1181,0.2877,3.8866,True
BNCI2014_001,2,temporal_z,1.1181,0.2493,4.4848,True
BNCI2014_001,3,spatial_z,0.2,0.1979,1.0106,True
BNCI2014_001,3,graph_z,0.2,0.1269,1.576,True
BNCI2014_001,3,temporal_z,0.2,0.1174,1.7038,True
BNCI2014_001,4,spatial_z,1.5454,0.9117,1.695,True
BNCI2014_001,4,graph_z,1.5454,0.3867,3.9959,True
BNCI2014_001,4,temporal_z,1.5454,0.3305,4.6763,True
BNCI2014_001,5,spatial_z,0.2,0.537,0.3724,True
BNCI2014_001,5,graph_z,0.2,0.1163,1.72,True
BNCI2014_001,5,temporal_z,0.2,0.1134,1.7632,True
BNCI2014_001,6,spatial_z,0.2201,0.4971,0.4428,True
BNCI2014_001,6,graph_z,0.2201,0.1636,1.345,True
BNCI2014_001,6,temporal_z,0.2201,0.1752,1.2564,True
BNCI2014_001,7,spatial_z,0.7771,0.6577,1.1816,True
BNCI2014_001,7,graph_z,0.7771,0.2826,2.75,True
BNCI2014_001,7,temporal_z,0.7771,0.2289,3.3951,True
BNCI2014_001,8,spatial_z,0.2,0.3556,0.5624,True
BNCI2014_001,8,graph_z,0.2,0.1903,1.0509,True
BNCI2014_001,8,temporal_z,0.2,0.1823,1.0972,True
BNCI2014_001,9,spatial_z,0.321,0.4863,0.6602,True
BNCI2014_001,9,graph_z,0.321,0.2254,1.4242,True
BNCI2014_001,9,temporal_z,0.321,0.1771,1.8125,True
BNCI2015_001,10,spatial_z,0.5426,0.1712,3.1702,True
BNCI2015_001,10,graph_z,0.5426,0.1211,4.4806,True
BNCI2015_001,10,temporal_z,0.5426,0.0637,8.5142,True
BNCI2015_001,11,spatial_z,5.3539,1.1505,4.6536,True
BNCI2015_001,11,graph_z,5.3539,0.3766,14.2166,True
BNCI2015_001,11,temporal_z,5.3539,0.4067,13.1649,True
BNCI2015_001,12,spatial_z,3.6324,0.9742,3.7286,True
BNCI2015_001,12,graph_z,3.6324,0.1993,18.2279,True
BNCI2015_001,12,temporal_z,3.6324,0.3335,10.8921,True
BNCI2015_001,1,spatial_z,0.2,0.1165,1.7162,True
BNCI2015_001,1,graph_z,0.2,0.0841,2.3791,True
BNCI2015_001,1,temporal_z,0.2,0.0644,3.1051,True
BNCI2015_001,2,spatial_z,0.2,0.0609,3.2842,True
BNCI2015_001,2,graph_z,0.2,0.1019,1.9628,True
BNCI2015_001,2,temporal_z,0.2,0.0663,3.0162,True
BNCI2015_001,3,spatial_z,0.8078,0.3551,2.275,True
BNCI2015_001,3,graph_z,0.8078,0.0913,8.8478,True
BNCI2015_001,3,temporal_z,0.8078,0.0888,9.0919,True
BNCI2015_001,4,spatial_z,0.4236,0.2333,1.8159,True
BNCI2015_001,4,graph_z,0.4236,0.0857,4.9438,True
BNCI2015_001,4,temporal_z,0.4236,0.0674,6.2845,True
BNCI2015_001,5,spatial_z,0.6372,0.2873,2.2175,True
BNCI2015_001,5,graph_z,0.6372,0.1061,6.0049,True
BNCI2015_001,5,temporal_z,0.6372,0.062,10.2791,True
BNCI2015_001,6,spatial_z,1.1581,0.5671,2.0422,True
BNCI2015_001,6,graph_z,1.1581,0.1365,8.4812,True
BNCI2015_001,6,temporal_z,1.1581,0.1094,10.5847,True
BNCI2015_001,7,spatial_z,0.729,0.2701,2.6988,True
BNCI2015_001,7,graph_z,0.729,0.1087,6.7044,True
BNCI2015_001,7,temporal_z,0.729,0.0697,10.4657,True
BNCI2015_001,8,spatial_z,0.2917,0.1845,1.5814,True
BNCI2015_001,8,graph_z,0.2917,0.0844,3.4579,True
BNCI2015_001,8,temporal_z,0.2917,0.0594,4.9103,True
BNCI2015_001,9,spatial_z,1.2353,0.466,2.6511,True
BNCI2015_001,9,graph_z,1.2353,0.1249,9.8867,True
BNCI2015_001,9,temporal_z,1.2353,0.0778,15.8827,True
