counter,expected,observed,status,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
stage_A_label_loader_calls,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/stage_A_label_loader_calls,0
target_label_rows_reloaded,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/target_label_rows_reloaded,0
construction_label_access,1,1,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/construction_label_access,0
evaluation_label_access,1,1,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/evaluation_label_access,0
selector_score_contexts,944,944,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/selector_score_contexts,0
scientific_result_rows,18432,18432,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/scientific_result_rows,0
training,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/training,0
forward,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/forward,0
GPU,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/GPU,0
same_label_oracle,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/same_label_oracle,0
C85_authorized,0,0,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_OVERALL_REPORT.json,protected_counters/C85_authorized,0
