dataset,budget,level0_mean_effect_descriptive,level1_mean_effect_descriptive,level1_minus_level0_mean_effect_descriptive,level0_favorable_targets_descriptive,level1_favorable_targets_descriptive,level0_worst_target_descriptive,level1_worst_target_descriptive,level_specific_maxT_status,level0_Bstar_frozen,level1_Bstar_frozen,registered_heterogeneity_frozen,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,1,0.005519017345717048,-0.02003819482489819,-0.02555721217061524,12,7,-0.22243215759999108,-0.2740254065803062,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Lee2019_MI|budget=1,0
Lee2019_MI,2,0.04623397910137655,0.02185669598789781,-0.024377283113478736,13,13,-0.19985736131977422,-0.25090396976425594,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Lee2019_MI|budget=2,0
Lee2019_MI,4,0.07773764245235952,0.0576833110917211,-0.020054331360638424,15,16,-0.16751514413428142,-0.22406727963868883,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Lee2019_MI|budget=4,0
Lee2019_MI,8,0.10494057411750245,0.09034036793963919,-0.014600206177863256,17,19,-0.13344563364332634,-0.1979702145932576,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Lee2019_MI|budget=8,0
Lee2019_MI,FULL,0.14829167178358363,0.12903893793384996,-0.019252733849733666,16,17,-0.3368563442647141,-0.20360481714154016,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Lee2019_MI|budget=FULL,0
Cho2017,1,0.050656233176581765,0.009835576379238792,-0.04082065679734297,14,10,-0.2503282442483534,-0.130550420246612,NOT_FROZEN_NOT_RECOMPUTED,FULL,4,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Cho2017|budget=1,0
Cho2017,2,0.11773609608275988,0.08441545434435486,-0.033320641738405016,18,14,-0.23332921990970845,-0.09773943199655977,NOT_FROZEN_NOT_RECOMPUTED,FULL,4,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Cho2017|budget=2,0
Cho2017,4,0.17714349887789482,0.14742292179814878,-0.02972057707974604,18,17,-0.19247896083145377,-0.04672474159325479,NOT_FROZEN_NOT_RECOMPUTED,FULL,4,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Cho2017|budget=4,0
Cho2017,8,0.23116315450951358,0.20192954875278812,-0.029233605756725456,19,20,-0.13327354237025707,0.009174379812288747,NOT_FROZEN_NOT_RECOMPUTED,FULL,4,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Cho2017|budget=8,0
Cho2017,FULL,0.360239624276143,0.2969125352498586,-0.06332708902628437,20,20,0.04412988222599348,0.024533667617259114,NOT_FROZEN_NOT_RECOMPUTED,FULL,4,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=Cho2017|budget=FULL,0
PhysionetMI,1,0.051388932516479226,0.011826528122459497,-0.03956240439401973,51,41,-0.4003794480961648,-0.2840417918686623,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=PhysionetMI|budget=1,0
PhysionetMI,2,0.06177047302495595,0.027044966677452643,-0.03472550634750331,52,42,-0.4139618866315195,-0.2928589082192332,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=PhysionetMI|budget=2,0
PhysionetMI,4,0.07008974606184698,0.042189728897425,-0.027900017164421982,52,46,-0.4311357602177131,-0.32293319965041467,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=PhysionetMI|budget=4,0
PhysionetMI,8,0.07662800694210127,0.05894899815701154,-0.017679008785089732,55,48,-0.45406084784794004,-0.3919937167857319,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=PhysionetMI|budget=8,0
PhysionetMI,FULL,0.0885573240649037,0.05057577935419275,-0.03798154471071095,58,49,-0.5275940088720281,-0.4708099146976221,NOT_FROZEN_NOT_RECOMPUTED,NONE,NONE,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv,dataset=PhysionetMI|budget=FULL,0
