dataset,target_subject_id,adverse_rank_1_is_worst,primary_Q1_effect,level0_Q1_effect,level1_Q1_effect,primary_Q2_excess,favorable,registered_Q1_floor_breached,LOTO_category_frozen,LOTO_category_changed,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,8,1,-0.1078732437869526,0.01135029004762178,-0.22709677762152697,-0.14035553830319605,0,1,A,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=8|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=8,0
Lee2019_MI,12,2,-0.08465759064848219,-0.00033545998384432174,-0.16897972131312006,-0.04497968878002284,0,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=12|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=12,0
Lee2019_MI,29,3,0.0106206448988522,0.27419451619924917,-0.2529532264015448,-0.017342462476152135,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=29|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=29,0
Lee2019_MI,35,4,0.017632601892443617,-0.08285921395677487,0.1181244177416621,0.06273047254004357,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=35|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=35,0
Lee2019_MI,47,5,0.030822636629740455,0.16137725557135973,-0.09973198231187883,-0.10036576443898976,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=47|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=47,0
Lee2019_MI,19,6,0.06534276187190291,-0.04724098183934772,0.17792650558315354,-0.17988876516349428,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=19|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=19,0
Lee2019_MI,6,7,0.07599231154102526,0.0980521750801101,0.053932448001940414,-0.13396501812354505,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=6|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=6,0
Lee2019_MI,26,8,0.08485401412600904,0.18794362538231268,-0.0182355971302946,-0.12708015361045658,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=26|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=26,0
Lee2019_MI,25,9,0.09630955969799723,0.010998436426073233,0.18162068296992123,-0.02744920572896198,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=25|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=25,0
Lee2019_MI,46,10,0.12436256804515289,0.10819164287824112,0.14053349321206465,-0.16349457156869893,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=46|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=46,0
Lee2019_MI,48,11,0.15807186276558502,0.1704130039424559,0.14573072158871414,-0.12656638022550665,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=48|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=48,0
Lee2019_MI,37,12,0.16574321462288952,-0.09086721363646477,0.4223536428822438,-0.07828169057350012,1,0,C,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Lee2019_MI|target_subject_id=37|method_id=U13|levels=0|1||dataset=Lee2019_MI|left_out_target=37,0
