dataset,method_id,method_name,global_rank_Spearman,global_rank_Kendall,pairwise_ordering_accuracy,top1,top5,top10,mean_regret,Q1_pass,Q2_pass,measurement_substitutes_for_regret,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,U5,NuclearNorm,-0.101819145365066,-0.09270165385619836,0.45349647287020145,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.6054626709971695,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U5,0
Lee2019_MI,U7,ATC,-0.16239093175202512,-0.11778698884792561,0.4371461045390397,0.03977272727272727,0.10227272727272728,0.14204545454545456,0.5804035444836942,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U7,0
Lee2019_MI,U11,MaNo,-0.001387492005515341,-0.0010015435460868373,0.502388626744506,0.13636363636363635,0.3409090909090909,0.4431818181818182,0.3007868128734381,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U11,0
Lee2019_MI,U13,COTT,0.28352377736249373,0.21748198511370384,0.6188370945932171,0.125,0.3465909090909091,0.4715909090909091,0.2771250013777152,0,1,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U13,0
Lee2019_MI,U14,SND,-0.308004667309609,-0.2363815341324437,0.3812179655424386,0.005681818181818182,0.056818181818181816,0.07954545454545454,0.7684869445649735,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U14,0
Lee2019_MI,U15,Agreement-on-the-Line,-0.07413680885360704,-0.05336603192938823,0.4714596775322153,0.0625,0.1534090909090909,0.1875,0.42394910249424034,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Lee2019_MI|method_id=U15,0
Cho2017,U5,NuclearNorm,-0.4420136812255208,-0.3291900366346285,0.335082196848581,0.0,0.0,0.0,0.7177594273709238,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U5,0
Cho2017,U7,ATC,-0.1676955664232864,-0.11886276426875157,0.43946890138987105,0.01875,0.05,0.06875,0.6456951033659634,0,0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U7,0
Cho2017,U11,MaNo,0.0009604159822539928,-9.220104510876612e-05,0.5026356614599106,0.05,0.15625,0.24375,0.3400789637152223,1,1,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U11,0
Cho2017,U13,COTT,0.1797554503006384,0.13289029477218825,0.5679322224407232,0.0375,0.20625,0.4,0.35677752913388916,0,1,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/selected_utility_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/topk_decision_summary.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/measurement_vs_decision.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/dataset_Q1_Q2.csv,dataset=Cho2017|method_id=U13,0
