object_id,expected_sha256,observed_sha256,bytes,status,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
C84S_analysis_lock,030be9c9ebac401ca9e7ae5e51bb1ce99b592faceac00fac8781070420b0b846,030be9c9ebac401ca9e7ae5e51bb1ce99b592faceac00fac8781070420b0b846,19027,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_ANALYSIS_EXECUTION_LOCK_V5.json,WHOLE_FILE_SHA256,0
C84S_authorization,3446e3562a8dd5db51c9f56a03765bf040f9678ee527ea13a4cf75e63dd575e1,3446e3562a8dd5db51c9f56a03765bf040f9678ee527ea13a4cf75e63dd575e1,652,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/C84S_V5_PI_AUTHORIZATION_RECORD.json,WHOLE_FILE_SHA256,0
C84S_selection_freeze,30ad539c8758a15701a582f0391671682107beb694860c9c531856425f2c7df4,30ad539c8758a15701a582f0391671682107beb694860c9c531856425f2c7df4,2161,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_b_selection_freeze/C84S_SELECTION_FREEZE_MANIFEST_V3.json,WHOLE_FILE_SHA256,0
C84S_scientific_result,5590f85c3552ec0176a015e34296059a950dd2c5853a51aa140657cf53d79ee7,5590f85c3552ec0176a015e34296059a950dd2c5853a51aa140657cf53d79ee7,1059,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json,WHOLE_FILE_SHA256,0
C84S_result_manifest,516ae135125d66233c9ee87aa71e5b40941fcb9140a63c036f58b40fce11a2b5,516ae135125d66233c9ee87aa71e5b40941fcb9140a63c036f58b40fce11a2b5,2606,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT_ARTIFACT_MANIFEST.json,WHOLE_FILE_SHA256,0
C84S_final_commit,2821c7099fc979672c4675e8c9ae54aa41ecd535,2821c7099fc979672c4675e8c9ae54aa41ecd535,NA,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json|oaci/reports/C84S_OVERALL_REPORT.json,C84S_final_commit,0
primary_gate,C84-D_external_dataset_source_panel_seed_level_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_level_or_target_heterogeneous,NA,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json|oaci/reports/C84S_OVERALL_REPORT.json,primary_gate,0
label_frontier_tag,C84-L4,C84-L4,NA,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json|oaci/reports/C84S_OVERALL_REPORT.json,label_frontier_tag,0
method_context_rows,18432,18432,NA,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json|oaci/reports/C84S_OVERALL_REPORT.json,method_context_rows,0
selection_contexts,944,944,NA,PASS,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/C84S_RESULT.json|oaci/reports/C84S_OVERALL_REPORT.json,selection_contexts,0
