dataset,scope,level,budget,mean_source_relative_effect,mean_component_pass,mean_distance,maxT_pvalue_frozen,maxT_component_pass,maxT_distance,favorable_targets_descriptive_replay,favorable_component_pass,favorable_distance,worst_target_effect_descriptive_replay,worst_target_ids_descriptive_replay,worst_component_pass,worst_distance,panel_seed_cell_means_descriptive_replay,panel_seed_component_pass,direct_qualification_frozen,larger_budget_closure_frozen,Bstar_frozen,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,1,-0.007259588739590554,0,-0.057259588739590556,0.9999542243312938,0,-0.9499542243312937,9,0,-8,-0.24822878209014865,8,0,-0.14822878209014864,"{""A5"":-0.0732888768349686,""A6"":-0.01090837108474222,""B5"":0.032807709161538516,""B6"":0.022351183799810007}",0,0,0,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=1,0
Lee2019_MI,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,2,0.034045337544637205,0,-0.015954662455362797,0.9246074736408441,0,-0.874607473640844,12,0,-5,-0.22538066554201502,8,0,-0.12538066554201502,"{""A5"":-0.032470839370888384,""A6"":0.033568866307532946,""B5"":0.07720034302931059,""B6"":0.057882980212593534}",1,0,0,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=2,0
Lee2019_MI,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,4,0.06771047677204033,1,0.017710476772040323,0.3780154721760227,0,-0.3280154721760227,19,1,2,-0.19579121188648513,8,0,-0.09579121188648512,"{""A5"":0.0007284962631403424,""A6"":0.06921503256618146,""B5"":0.11255147930749378,""B6"":0.08834689895134563}",1,0,0,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=4,0
Lee2019_MI,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,8,0.09764047102857082,1,0.047640471028570816,0.04841539893495277,1,0.0015846010650472295,20,1,3,-0.165707924118292,8,0,-0.06570792411829199,"{""A5"":0.031917700787401374,""A6"":0.09862562680153202,""B5"":0.14346544549118176,""B6"":0.11655311103416807}",1,0,0,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=8,0
Lee2019_MI,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,FULL,0.1386653048587168,1,0.0886653048587168,0.010162198452782397,1,0.039837801547217604,18,1,1,-0.15165956401773928,8,0,-0.05165956401773927,"{""A5"":0.07902492467642336,""A6"":0.12875693149686454,""B5"":0.20227202045258083,""B6"":0.14460734280899845}",1,0,0,NONE,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|budget=FULL,0
Cho2017,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,1,0.03024590477791027,0,-0.01975409522208973,0.9652562674519737,0,-0.9152562674519736,14,0,-1,-0.18781744703207082,3,0,-0.08781744703207081,"{""A5"":-0.0296294750967267,""A6"":-0.14109696607102157,""B5"":0.1696727059721697,""B6"":0.12203735430721967}",0,0,0,8,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=1,0
Cho2017,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,2,0.10107577521355735,1,0.05107577521355734,0.050383752689320535,0,-0.0003837526893205323,17,1,2,-0.16186790972303755,3,0,-0.061867909723037545,"{""A5"":0.045986875368766396,""A6"":-0.06978124376092135,""B5"":0.24098482530455737,""B6"":0.18711264394182703}",1,0,0,8,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=2,0
Cho2017,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,4,0.1622832103380218,1,0.11228321033802179,0.0004730152432976792,1,0.04952698475670232,18,1,3,-0.11569365088709521,3,0,-0.015693650887095206,"{""A5"":0.11240160762892479,""A6"":-0.00494253380936249,""B5"":0.30039553610002534,""B6"":0.24127823143249955}",1,0,0,8,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=4,0
Cho2017,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,8,0.21654635163115082,1,0.16654635163115084,3.051711247081801e-05,1,0.049969482887529185,19,1,4,-0.06204958127898419,3,1,0.037950418721015816,"{""A5"":0.1722547310012777,""A6"":0.052414301892785786,""B5"":0.35117813963715105,""B6"":0.2903382339933888}",1,1,1,8,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=8,0
Cho2017,PRIMARY_EIGHT_CONTEXT_TARGET_AGGREGATE,ALL,FULL,0.32857607976300074,1,0.27857607976300075,1.5258556235409006e-05,1,0.049984741443764594,20,1,5,0.05681602892547949,3,1,0.1568160289254795,"{""A5"":0.32413515750277255,""A6"":0.1664372777068285,""B5"":0.42702950414770546,""B6"":0.3967023796946966}",1,1,1,8,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_frontier.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/label_budget_context.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Cho2017|budget=FULL,0
