dataset,level,method_id,method_name,target_count,minimum_75pct_targets,Q1_mean,Q1_mean_pass,Q1_mean_distance,Q1_maxT_p,Q1_maxT_pass,Q1_maxT_distance,Q1_favorable_targets_descriptive,Q1_favorable_pass_descriptive,Q1_favorable_distance_descriptive,Q1_worst_target_descriptive,Q1_worst_pass_descriptive,Q1_worst_distance_descriptive,Q1_panel_seed_cell_means_descriptive,Q1_positive_panel_seed_cells_descriptive,Q1_panel_seed_at_least_3_positive_descriptive,Q1_panel_seed_distance_descriptive,Q1_pass_frozen,Q1_nearest_available_failing_component,Q1_nearest_available_failing_normalized_distance,Q2_mean_excess,Q2_mean_pass,Q2_mean_distance,Q2_simultaneous_upper,Q2_upper_component_status,Q2_maxT_p,Q2_maxT_pass,Q2_maxT_distance,Q2_within_margin_targets_descriptive,Q2_target_count_pass_descriptive,Q2_target_count_distance_descriptive,Q2_worst_excess_descriptive,Q2_worst_pass_descriptive,Q2_worst_distance_descriptive,Q2_panel_seed_cell_means_descriptive,Q2_within_margin_panel_seed_cells_descriptive,Q2_panel_seed_at_least_3_within_margin_descriptive,Q2_panel_seed_distance_descriptive,Q2_pass_frozen,Q2_nearest_available_failing_component,Q2_nearest_available_failing_normalized_distance,level_heterogeneity_frozen,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Lee2019_MI,0,U5,NuclearNorm,22,17,-0.2318008757758064,0,-0.2818008757758064,1.0,0,-0.95,4,0,-13,-0.5555203545723635,0,-0.4555203545723635,"{""A5"":-0.30721428328427136,""A6"":-0.1483410037599857,""B5"":-0.12337161344636595,""B6"":-0.3482766026126026}",0,0,-3,0,Q1_favorable_descriptive,0.7647058823529411,0.2373198931215235,0,-0.18731989312152347,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.0,0,-0.95,3,0,-14,0.6903357093836909,0,-0.4903357093836909,"{""A5"":0.25953421855636566,""A6"":0.2909313521499959,""B5"":0.1823671591150329,""B6"":0.21644684266469938}",0,0,-3,0,Q2_target_count_descriptive,0.8235294117647058,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=0|method_id=U5||dataset=Lee2019_MI|method_id=U5|level=0,0
Lee2019_MI,1,U5,NuclearNorm,22,17,-0.1287974901465792,0,-0.1787974901465792,1.0,0,-0.95,4,0,-13,-0.46848598904217537,0,-0.36848598904217533,"{""A5"":-0.19253250212401085,""A6"":-0.2764299714729819,""B5"":-0.20654746993617268,""B6"":0.1603199829468485}",1,0,-2,0,Q1_panel_seed_descriptive,0.6666666666666666,0.10875929532168102,0,-0.05875929532168102,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.0,0,-0.95,7,0,-10,0.320226999076248,0,-0.12022699907624801,"{""A5"":0.09363481318197936,""A6"":0.11202288091348728,""B5"":0.21316734259058273,""B6"":0.016212144600674803}",1,0,-2,0,Q2_target_count_descriptive,0.5882352941176471,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=1|method_id=U5||dataset=Lee2019_MI|method_id=U5|level=1,0
Lee2019_MI,0,U7,ATC,22,17,-0.0430497592480173,0,-0.09304975924801731,1.0,0,-0.95,10,0,-7,-0.4085887240711342,0,-0.30858872407113425,"{""A5"":-0.1429241616379715,""A6"":0.22061294919580995,""B5"":-0.08187301188341212,""B6"":-0.16801481266649554}",1,0,-2,0,Q1_favorable_descriptive,0.4117647058823529,0.048568776593734354,1,0.0014312234062656484,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,0.9781192303584235,0,-0.9281192303584235,10,0,-7,0.4242621569887334,0,-0.22426215698873336,"{""A5"":0.09524409691006581,""A6"":-0.0780226008057998,""B5"":0.14086855755207905,""B6"":0.036185052718592264}",2,0,-1,0,Q2_panel_seed_descriptive,0.3333333333333333,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=0|method_id=U7||dataset=Lee2019_MI|method_id=U7|level=0,0
Lee2019_MI,1,U7,ATC,22,17,-0.2674303536474178,0,-0.3174303536474178,1.0,0,-0.95,2,0,-15,-0.7078114643245321,0,-0.6078114643245321,"{""A5"":-0.35665138534484275,""A6"":-0.45811796252253506,""B5"":-0.13054536811466086,""B6"":-0.12440669860763265}",0,0,-3,0,Q1_favorable_descriptive,0.8823529411764706,0.24739215882251966,0,-0.19739215882251965,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.0,0,-0.95,3,0,-14,0.5345180660628734,0,-0.33451806606287343,"{""A5"":0.25775369640281126,""A6"":0.2937108719630404,""B5"":0.1371652407690709,""B6"":0.30093882615515594}",0,0,-3,0,Q2_target_count_descriptive,0.8235294117647058,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=1|method_id=U7||dataset=Lee2019_MI|method_id=U7|level=1,0
Lee2019_MI,0,U11,MaNo,22,17,0.15125341850586843,1,0.10125341850586843,0.03332468681813327,1,0.016675313181866734,17,1,0,-0.177300529460083,0,-0.077300529460083,"{""A5"":0.10081369993329048,""A6"":0.30348553787534455,""B5"":0.20071443621483853,""B6"":0.0}",3,1,0,0,Q1_worst_descriptive,0.77300529460083,-0.14573440116015138,1,0.1957344011601514,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,6.103422494163602e-05,1,0.04993896577505837,18,1,1,0.18680889509935672,1,0.013191104900643291,"{""A5"":-0.14849376466119615,""A6"":-0.16089518948533443,""B5"":-0.14171889054617157,""B6"":-0.13182975994790327}",4,1,1,1,NONE,NA,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=0|method_id=U11||dataset=Lee2019_MI|method_id=U11|level=0,0
Lee2019_MI,1,U11,MaNo,22,17,0.097499931819209,1,0.047499931819209,0.5138776568961045,0,-0.46387765689610455,15,0,-2,-0.4794470686151585,0,-0.37944706861515853,"{""A5"":0.02446548441452043,""A6"":-0.07048035575329081,""B5"":0.13412540026568184,""B6"":0.3018891983499246}",3,1,0,0,Q1_favorable_descriptive,0.11764705882352941,-0.11753812664410722,1,0.16753812664410722,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,0.002700764453667394,1,0.047299235546332606,17,1,0,0.237010659661391,0,-0.037010659661391,"{""A5"":-0.12336317335655193,""A6"":-0.09392673480620378,""B5"":-0.1275055276112718,""B6"":-0.12535707080240135}",4,1,1,0,Q2_worst_descriptive,0.185053298306955,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=1|method_id=U11||dataset=Lee2019_MI|method_id=U11|level=1,0
Lee2019_MI,0,U13,COTT,22,17,0.15551442833202134,1,0.10551442833202133,0.010299525458901079,1,0.03970047454109892,18,1,1,-0.09086721363646477,1,0.009132786363535234,"{""A5"":0.11251511159544479,""A6"":0.31529011337940144,""B5"":0.19594715416964475,""B6"":-0.0016946658164057554}",3,1,0,1,NONE,NA,-0.1499954109863043,1,0.1999954109863043,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,3.051711247081801e-05,1,0.049969482887529185,19,1,2,0.11376933476463291,1,0.0862306652353671,"{""A5"":-0.16019517632335048,""A6"":-0.1726997649893913,""B5"":-0.1369516085009778,""B6"":-0.1301350941314975}",4,1,1,1,NONE,NA,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=0|method_id=U13||dataset=Lee2019_MI|method_id=U13|level=0,0
Lee2019_MI,1,U13,COTT,22,17,0.14056254498450185,1,0.09056254498450185,0.0935349497230572,0,-0.0435349497230572,17,1,0,-0.2529532264015448,0,-0.15295322640154477,"{""A5"":0.03783309828932127,""A6"":-0.05187912748549495,""B5"":0.2585120727432486,""B6"":0.31778413639093245}",3,1,0,0,Q1_maxT,0.870698994461144,-0.16060073980940007,1,0.21060073980940008,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.5258556235409006e-05,1,0.049984741443764594,21,1,4,0.10469423643561743,1,0.09530576356438258,"{""A5"":-0.13673078723135276,""A6"":-0.11252796307399965,""B5"":-0.25189220008883856,""B6"":-0.14125200884340922}",4,1,1,1,NONE,NA,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=1|method_id=U13||dataset=Lee2019_MI|method_id=U13|level=1,0
Lee2019_MI,0,U14,SND,22,17,-0.26081366113091903,0,-0.310813661130919,1.0,0,-0.95,1,0,-16,-0.6100925494552178,0,-0.5100925494552179,"{""A5"":-0.47360581345153496,""A6"":-0.028032542419491643,""B5"":-0.18445035230297496,""B6"":-0.35716593634967436}",0,0,-3,0,Q1_favorable_descriptive,0.9411764705882353,0.266332678476636,0,-0.216332678476636,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.0,0,-0.95,1,0,-16,0.5561034641117163,0,-0.3561034641117163,"{""A5"":0.42592574872362926,""A6"":0.1706228908095018,""B5"":0.24344589797164187,""B6"":0.22533617640177112}",0,0,-3,0,Q2_target_count_descriptive,0.9411764705882353,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=0|method_id=U14||dataset=Lee2019_MI|method_id=U14|level=0,0
Lee2019_MI,1,U14,SND,22,17,-0.4258332519270741,0,-0.4758332519270741,1.0,0,-0.95,1,0,-16,-0.8606536874124624,0,-0.7606536874124624,"{""A5"":-0.4909698162258839,""A6"":-0.6513518188572531,""B5"":-0.24971432035912525,""B6"":-0.3112970522660342}",0,0,-3,0,Q1_favorable_descriptive,0.9411764705882353,0.40579505710217584,0,-0.35579505710217585,NOT_FROZEN_AT_LEVEL_SCOPE,NOT_RECOMPUTED,1.0,0,-0.95,0,0,-17,0.5866282808321562,0,-0.3866282808321562,"{""A5"":0.3920721272838524,""A6"":0.48694472829775853,""B5"":0.25633419301353527,""B6"":0.48782917981355745}",0,0,-3,0,Q2_panel_seed_descriptive,1.0,0,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/level_specific_Q1_Q2.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/method_context_decisions.csv,dataset=Lee2019_MI|level=1|method_id=U14||dataset=Lee2019_MI|method_id=U14|level=1,0
