source_milestone,cohort_or_seed,method_id,method_name,mean_standardized_regret,mean_direction_vs_S1,registered_p_or_gate,Q1_or_source_gate_status,worst_target_or_tail_status,Q2_status,top1,top5,top10,rank_association,level_or_seed_effect,LOTO_status,epistemic_role,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
C82,BNCI2014_001_seed3,S1,Strict source,0.7794759728707445,COMPARATOR,NOT_APPLICABLE,STRICT_SOURCE_COMPARATOR,NOT_APPLICABLE,NOT_APPLICABLE,0.0,0.0,0.0,-0.3985954929867659,paired_training_seed_factor; no population replication,global_C82_method_aware_rule_only,frozen_same_field_strict_source_comparator,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=S1,0
C82,BNCI2014_001_seed3,U5,NuclearNorm,0.763311452913763,POSITIVE,1.0,FAIL,-0.062229740550929,FAIL,0.0,0.0,0.0,-0.49135731609456934,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U5,0
C82,BNCI2014_001_seed3,U7,ATC,0.6415178176313072,POSITIVE,0.7120622568093385,FAIL,-0.14734569875279813,FAIL,0.0,0.0625,0.0625,-0.3446210523894161,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U7,0
C82,BNCI2014_001_seed3,U11,MaNo,0.9461808356169957,NEGATIVE,1.0,FAIL,-0.28301100970592485,FAIL,0.0,0.0,0.0,-0.38140583745545675,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U11,0
C82,BNCI2014_001_seed3,U13,COTT,0.33864056415217253,POSITIVE,0.01556420233463035,PASS,0.16688514671775734,FAIL,0.125,0.3125,0.375,0.2766049969060458,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U13,0
C82,BNCI2014_001_seed3,U14,SND,0.7622112039203117,POSITIVE,1.0,FAIL,-0.28301100970592485,FAIL,0.0,0.125,0.125,0.13656276422558328,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U14,0
C82,BNCI2014_001_seed3,U15,Agreement-on-the-Line,0.7794759728707445,ZERO,1.0,FAIL,0.0,FAIL,0.0,0.0,0.0,-0.3985777467240019,seed-specific row; compare paired seed rows without pooled p-value,global_C82_method_aware_rule_7_of_16; not per-method panel ledger,post_C81_outcome_access_same_field_recovery,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/seed_method_Q1_Q2.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=3|method_id=U15,0
C80,BNCI2014_001_seed3,Q0_B1,Q0 B=1,0.35338318633180843,POSITIVE,0.042801556420233464,PASS,0,NOT_APPLICABLE,0.037841796875,0.159210205078125,0.280792236328125,NOT_FROZEN_AS_COMPARABLE_SPEARMAN,source_regret=0.7794759728707445; paired seed frontier,frontier_LOTO_sensitive_2_to_4_envelope,construction_label_source_relative_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c80e_tables/seed3_budget_frontier.csv|oaci/reports/c80e_tables/topk_coverage_summary.csv|oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|budget=1,0
C80,BNCI2014_001_seed3,Q0_FULL,Q0 FULL,0.08279432226091084,POSITIVE,0.007782101167315175,PASS,0,NOT_APPLICABLE,0.125,0.6875,0.75,NOT_FROZEN_AS_COMPARABLE_SPEARMAN,source_regret=0.7794759728707445; paired seed frontier,frontier_LOTO_sensitive_2_to_4_envelope,construction_label_source_relative_policy,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c80e_tables/seed3_budget_frontier.csv|oaci/reports/c80e_tables/topk_coverage_summary.csv|oaci/reports/c80e_tables/leave_one_target_out_sensitivity.csv,seed=3|budget=FULL,0
C82,BNCI2014_001_seed4,S1,Strict source,0.8048232601796825,COMPARATOR,NOT_APPLICABLE,STRICT_SOURCE_COMPARATOR,NOT_APPLICABLE,NOT_APPLICABLE,0.0,0.0,0.0,-0.4600625605477643,paired_training_seed_factor; no population replication,global_C82_method_aware_rule_only,frozen_same_field_strict_source_comparator,POST_C84S_EXPLORATORY_DESCRIPTIVE,oaci/reports/c82e_tables/seed_specific_method_results.csv|oaci/reports/c82e_tables/measurement_vs_decision_separation.csv|oaci/reports/c82e_tables/leave_one_target_method_stability.csv,seed=4|method_id=S1,0
