dataset,left_out_target,target_Q1_effect,full_panel_mean_Q1_effect,descriptive_mean_without_target,descriptive_mean_shift_after_omission,full_category_frozen,LOTO_category_frozen,category_changed_frozen,same_method_preserved_frozen,analysis_status,source_artifacts,source_row_keys,confirmatory_gate_changed
Cho2017,3,-0.3051707956879253,0.18100462851604684,0.20659280873730854,0.02558818022126169,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=3|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=3,0
Cho2017,41,-0.014796733188157551,0.18100462851604684,0.1913099633425839,0.01030533482653706,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=41|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=41,0
Cho2017,50,0.37598538758736194,0.18100462851604684,0.1707424833017671,-0.010262145214279733,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=50|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=50,0
Cho2017,43,0.0173476252815115,0.18100462851604684,0.18961815500207502,0.008613526486028172,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=43|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=43,0
Cho2017,24,0.317261156613864,0.18100462851604684,0.17383323230037226,-0.007171396215674586,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=24|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=24,0
Cho2017,21,0.28053796116632873,0.18100462851604684,0.17576603206076885,-0.005238596455277994,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=21|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=21,0
Cho2017,48,0.26819969732684373,0.18100462851604684,0.17641541436811015,-0.004589214147936699,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=48|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=48,0
Cho2017,20,0.2557389347431315,0.18100462851604684,0.17707124397777924,-0.003933384538267609,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=20|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=20,0
Cho2017,31,0.24502388773327463,0.18100462851604684,0.17763519382040327,-0.003369434695643575,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=31|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=31,0
Cho2017,30,0.22762696728857348,0.18100462851604684,0.17855082121222965,-0.002453807303817196,A,A,0,1,POST_C84S_EXPLORATORY_DESCRIPTIVE,/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/target_level_method_effects.csv|/projects/EEG-foundation-model/yinghao/oaci-c84s-analysis-v5/stage_c_scientific_result/leave_one_target_out.csv,dataset=Cho2017|target_subject_id=30|method_id=U13|levels=0|1||dataset=Cho2017|left_out_target=30,0
