dataset,subject,seed,src_subject,cls_a,cls_b,weight,excess_risk,l_hold,l_ref
BNCI2014_001,1,0,0,0,1,3.3022668195802742,0.3759953578351681,0.7273628937692712,0.35136753593410314
BNCI2014_001,1,0,0,0,2,2.440173722501184,0.24762570417610835,0.6096766202398376,0.36205091606372924
BNCI2014_001,1,0,0,0,3,0.5549929056959033,0.05631996927859134,0.5447460403230024,0.4884260710444111
BNCI2014_001,1,0,0,1,2,3.3022668195802742,0.3593409661807518,0.7272079036598349,0.3678669374790831
BNCI2014_001,1,0,0,1,3,3.3022668195802742,0.3655857958364826,0.7003601271477189,0.3347743313112363
BNCI2014_001,1,0,0,2,3,2.995077382425757,0.3039366169081241,0.6572670060488985,0.3533303891407744
BNCI2014_001,1,0,1,0,1,0.0,0.0,0.18776536803356028,0.4197425514773165
BNCI2014_001,1,0,1,0,2,0.0,0.0,0.18051658766424616,0.4196842505502553
BNCI2014_001,1,0,1,0,3,0.0,0.0,0.3534577177657734,0.508763115992502
BNCI2014_001,1,0,1,1,2,0.0,0.0,0.22123449283611274,0.4387626310264818
BNCI2014_001,1,0,1,1,3,0.0,0.0,0.19920623215825672,0.4031550213131173
BNCI2014_001,1,0,1,2,3,0.0,0.0,0.16137198741901027,0.4231069232314613
BNCI2014_001,1,0,2,0,1,1.3294614131817846,0.13491204153967518,0.5123020121645628,0.37738997062488766
BNCI2014_001,1,0,2,0,2,0.8562094759801359,0.0868870410564529,0.4665519271156202,0.3796648860591673
BNCI2014_001,1,0,2,0,3,3.2425716470685764,0.32905201791281485,0.7800540503522571,0.4510020324394422
BNCI2014_001,1,0,2,1,2,0.29515016311101916,0.029951460547302855,0.4367315305470535,0.40678006999975064
BNCI2014_001,1,0,2,1,3,1.0858380908120908,0.11018945879926162,0.4761539977764685,0.3659645389772069
BNCI2014_001,1,0,2,2,3,0.8654903049556499,0.08782884769472948,0.46781859961435335,0.37998975191962386
BNCI2014_001,1,0,3,0,1,2.1967752366961912,0.2229259375623276,0.5902300949710975,0.36730415740876987
