dataset,subject,seed,status,weight_status
BNCI2014_001,1,0,ok,ok
BNCI2014_001,1,1,ok,ok
BNCI2014_001,1,2,ok,ok
BNCI2014_001,2,0,ok,ok
BNCI2014_001,2,1,ok,ok
BNCI2014_001,2,2,ok,ok
BNCI2014_001,3,0,ok,ok
BNCI2014_001,3,1,ok,ok
BNCI2014_001,3,2,ok,ok
BNCI2014_001,4,0,ok,ok
BNCI2014_001,4,1,ok,ok
BNCI2014_001,4,2,ok,ok
BNCI2014_001,5,0,ok,ok
BNCI2014_001,5,1,ok,ok
BNCI2014_001,5,2,ok,ok
BNCI2014_001,6,0,ok,ok
BNCI2014_001,6,1,ok,ok
BNCI2014_001,6,2,ok,ok
BNCI2014_001,7,0,ok,ok
BNCI2014_001,7,1,ok,ok
BNCI2014_001,7,2,ok,ok
BNCI2014_001,8,0,ok,ok
BNCI2014_001,8,1,ok,ok
BNCI2014_001,8,2,ok,ok
BNCI2014_001,9,0,ok,ok
BNCI2014_001,9,1,ok,ok
BNCI2014_001,9,2,ok,ok
BNCI2015_001,1,0,ok,ok
BNCI2015_001,1,1,ok,ok
BNCI2015_001,1,2,ok,ok
BNCI2015_001,2,0,ok,ok
BNCI2015_001,2,1,ok,ok
BNCI2015_001,2,2,ok,ok
BNCI2015_001,3,0,ok,ok
BNCI2015_001,3,1,ok,ok
BNCI2015_001,3,2,ok,ok
BNCI2015_001,4,0,ok,ok
BNCI2015_001,4,1,ok,ok
BNCI2015_001,4,2,ok,ok
BNCI2015_001,5,0,ok,ok
BNCI2015_001,5,1,ok,ok
BNCI2015_001,5,2,ok,ok
BNCI2015_001,6,0,ok,ok
BNCI2015_001,6,1,ok,ok
BNCI2015_001,6,2,ok,ok
BNCI2015_001,7,0,ok,ok
BNCI2015_001,7,1,ok,ok
BNCI2015_001,7,2,ok,ok
BNCI2015_001,8,0,ok,ok
BNCI2015_001,8,1,ok,ok
BNCI2015_001,8,2,ok,ok
BNCI2015_001,9,0,ok,ok
BNCI2015_001,9,1,ok,ok
BNCI2015_001,9,2,ok,ok
BNCI2015_001,10,0,ok,ok
BNCI2015_001,10,1,ok,ok
BNCI2015_001,10,2,ok,ok
BNCI2015_001,11,0,ok,ok
BNCI2015_001,11,1,ok,ok
BNCI2015_001,11,2,ok,ok
BNCI2015_001,12,0,ok,ok
BNCI2015_001,12,1,ok,ok
BNCI2015_001,12,2,ok,ok
