unit_id,target_id,W_shape,b_shape,external_path,sha256,size_bytes,stored_once_per_unit
c74u_bcae1769111be523,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P0_pilot/target-001/units/c74u_bcae1769111be523/checkpoint_Wb_sha256_c6de016f92197cfb.npz,c6de016f92197cfb08b188a1deff7be26c167191a8ddc8dd339adfbc807a5783,13266,1
c74u_bbe9f8ae3d870b20,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_bbe9f8ae3d870b20/checkpoint_Wb_sha256_666127ace3b96047.npz,666127ace3b960470c2696c59cadb7cd07c7f48911a73f252e290ce2fa90e924,13266,1
c74u_e06e178902b8d971,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_e06e178902b8d971/checkpoint_Wb_sha256_cfecd451afcafc54.npz,cfecd451afcafc54c38e69ce7e82d619fb000d4ef177fdc376cf71e9151ddcf5,13266,1
c74u_2935c128f8af4ed1,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_2935c128f8af4ed1/checkpoint_Wb_sha256_c92242615e925ded.npz,c92242615e925dede740089fef27951c7fe293988a54e16e2d926fcbba034827,13266,1
c74u_6baa1b4612b5477c,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_6baa1b4612b5477c/checkpoint_Wb_sha256_b0f388421758aceb.npz,b0f388421758acebab82d9c5695742d433347bc9c4e271cbb39492c946f30c9c,13266,1
c74u_1033b56a972f99ef,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_1033b56a972f99ef/checkpoint_Wb_sha256_d76a356207935fe4.npz,d76a356207935fe412a42b4524c23a017f118b379fbb3546c86026ac72cb4b33,13266,1
c74u_2fa9be2c7e13484c,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P0_pilot/target-001/units/c74u_2fa9be2c7e13484c/checkpoint_Wb_sha256_6e2b3e8cfd0671c8.npz,6e2b3e8cfd0671c81d38a2ca2c27374ca26d44dd6dc1a593571b96e716ef38d0,13266,1
c74u_cb4c43742628186b,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_cb4c43742628186b/checkpoint_Wb_sha256_e1a16d8617dfa9dc.npz,e1a16d8617dfa9dcbad7f31173ee18e06a79c181699fa7e5b5af12d40143a209,13266,1
c74u_8fe1abbe3e845501,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_8fe1abbe3e845501/checkpoint_Wb_sha256_de1f50dd224f862b.npz,de1f50dd224f862b2d8f2100320274c9cc0ad1a5a7ef7407c2dfba8af827a151,13266,1
c74u_af009f0f31d27844,1,"[4, 800]",[4],/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/P1_expansion/target-001/units/c74u_af009f0f31d27844/checkpoint_Wb_sha256_c1d93eb8b03746a2.npz,c1d93eb8b03746a278ebd7b51e2f0824225d5af18b2e0b4eb5d7338419d3213a,13266,1
