unit_id,target_id,Wz_plus_b_logits_max_abs,Wz_plus_b_logits_max_relative,hook_z_max_abs,numpy_softmax_cross_implementation_max_abs,passed,repeat_logits_max_abs,repeat_z_max_abs,softmax_probability_max_abs,state_hash_after
c74u_bcae1769111be523,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,4b4247ebfcfbf9dd8781809751032d77847c84fc4e2355212f61309031fd019f
c74u_bbe9f8ae3d870b20,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,8c6c433fe015330b812b9516902838d9e4d832e515a941e8f18b084d955b4123
c74u_e06e178902b8d971,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,0b03857e894c15bb0a7fce1e581b72a5f60d3d21fb07f98827365d1c5dacd059
c74u_2935c128f8af4ed1,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,9943cdeb31d288407e21c7e7a50f1902bed84ffb8ba2174f59e6bedd1eb4a735
c74u_6baa1b4612b5477c,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,9c9b13db9b9466499a179188ae38ae05af22e0eaf2de93d9a371471c0d8f64ca
c74u_1033b56a972f99ef,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,4943d5559d5147484697b03dc14ed341ef48802c7fde66fd800f94ec02c7bd45
c74u_2fa9be2c7e13484c,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,8d87c088be250c8f54cf36e6f20d26ff8e9e80123b8b1594a6083d71d447301c
c74u_cb4c43742628186b,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,286dde7531dbf741514e12552f454ebeaf8d382d022afb58a1979aa1562eaf78
c74u_8fe1abbe3e845501,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,6c5d701d5ec7f151b91b2898c34ee53c41960cb63627000f16ec9b34c2ecab3c
c74u_af009f0f31d27844,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,3e8da3a764f1c212cdab355c6fa73ae9074dbb1acd2a0283d89f76175185039a
c74u_d9c3628a82614737,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,fa58e38030a6df6e3e73055338e4091fff50e013d5b46fa7eab87a0fb45c0ce7
c74u_707d1dbb0c80825a,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,fa832bede57c57373e116016c95af42978130e9dc22ff8577b11809e67a1a6a7
c74u_56087fff436b9ea7,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,ae2b61b5b02366e4ce193d1ae202c8b6edd7f9a1de43da57941250d07a7dd924
c74u_c1a04c34195fd182,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,e52940fe13c7f126d0a05a3b8dbd14b2df68cebb112492b638cabd195d9d3d2a
c74u_14c1812c5b404785,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,0853dd0b1eefcea11b1dc398b705830c46fbf34e6333319a816910ed2723fbca
c74u_b20e667bf3001af5,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,d6beba1aecf8396ea51eada0fc02e0cdfb597e16ac4dbd8a26ae95b402ebc692
c74u_4155efd189441eda,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,72fb1402a94f3e6639f6db2181d2f4a5f7dc7607cd595fdec05ba5f2b99fb702
c74u_4a48200dc93b7759,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,e699369a7d9c81f471065e14e47b1adf8c14bde49d6d66b51f815d46bcf20016
c74u_b0ad1d1b38e887a9,1,0.0,0.0,0.0,1.7881393432617188e-07,True,0.0,0.0,0.0,33199ca2d720f8436e4204ab80ad631dafac895e4300b5d1e6f30d3d0d98355a
c74u_0a7470a918eab12f,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,4a3f6824de624883d46bffe71cdf3af8fe88815733de2b074f58ec9b51559c49
c74u_1d77e982f4d620b6,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,d8533109c5b6ead85a386e83043fa8b5fd90ddd59e8b838b4c2602ad930378ac
c74u_196e2ca7fcf43997,1,0.0,0.0,0.0,1.1920928955078125e-07,True,0.0,0.0,0.0,8d99a4674fd36db435d55e6ff72e1637be1ef40f39be6e5f9d36001554fc861d
