stage,target_id,dataset_evidence_hash,raw_data_fingerprint,resolved_preprocess_hash,network_attempt_count,unit_count,all_gates_passed,dataset_evidence_hash_variant_count,cross_node_comparison_path,cross_node_comparison_sha256,cross_node_input_max_abs,cross_node_input_mean_abs,cross_node_z_max_abs,cross_node_logit_max_abs,cross_node_probability_max_abs,cross_node_prediction_disagreements,cross_node_drift_passed
P0_pilot,1,b87176b2b5eced41d8a7be5cb89d9bdd8c2bb1149672c28a418e2ce305c572be,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,2,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,3,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,4,b87176b2b5eced41d8a7be5cb89d9bdd8c2bb1149672c28a418e2ce305c572be,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,5,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,6,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,7,b87176b2b5eced41d8a7be5cb89d9bdd8c2bb1149672c28a418e2ce305c572be,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,8,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P0_pilot,9,fe922f683e822f28a2baa62177dc7614d0c5c9d116219178ac5a72371e3aad7f,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,6,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
P1_expansion,1,b87176b2b5eced41d8a7be5cb89d9bdd8c2bb1149672c28a418e2ce305c572be,b182206bef0e020c5e005cf4f950eb7a0813b17fadfada66af22bb046e275bc9,eff8461aae1da4cc83b643a68898579b662eb78f8b97c64aeeada1ad12e6c9fb,0,18,1,2,/projects/EEG-foundation-model/yinghao/oaci-c74-t2-source-wz/protocol_76d0f4d9d96d0128/preprocessing_cross_node_replay/cross_node_preprocessing_comparison.json,f50f30f372a8fd2b5ae63bb81fb2abd165d3fa7ffeadea61af6d9f47b8deaaf8,4.656612873077393e-10,1.0605270036852546e-17,0.0,0.0,0.0,0,1
