component,candidate,available,hit,gap_to_oracle,increment_vs_best_raw_source,closure_fraction_vs_best_raw_source,closes_gap,key_only,target_label_derived,interpretation,target_labels_diagnostic_only,no_selection_artifact
best_existing_source_score,existing_source_best_raw,1,0.5061728395061729,0.30246913580246915,0.0,0.0,0,0,0,Best strict source score remains below the C51 trajectory local-Bayes ceiling.,0,1
best_source_observable_geometry,source_geometry_key_only_best_observable,1,0.4876543209876543,0.3209876543209877,-0.018518518518518545,-0.061224489795918456,0,1,0,Observable source-geometry fields add weak localization but do not close the gap.,0,1
target_id_key_only,target_id_key_only,1,0.429723378036041,0.378918597272601,-0.07644946147013187,-0.2527512807788033,0,1,0,Target id is fixed within a trajectory and has no within-trajectory ordering power.,0,1
target_centered_label_content,target_centered_label_diagnostic,1,0.5648036301631072,0.24383834514553482,0.05863079065693433,0.1938405731923135,0,0,1,Target-centered label-derived calibration helps but remains below closure.,1,1
trajectory_id_key_only,trajectory_id_key_only,1,0.429723378036041,0.378918597272601,-0.07644946147013187,-0.2527512807788033,0,1,0,Trajectory id alone ties all candidates inside the evaluated trajectory.,0,1
trajectory_centered_label_content,trajectory_centered_label_diagnostic,1,0.8127572016460904,-0.00411522633744843,0.3065843621399176,1.0136054421768703,1,0,1,Only trajectory-centered label-derived diagnostic calibration closes the residual.,1,1
additive_target_plus_trajectory_key_only,additive_target_plus_trajectory_key_only,1,0.429723378036041,0.378918597272601,-0.07644946147013187,-0.2527512807788033,0,1,0,Additive target plus trajectory keys still have no within-trajectory rank.,0,1
target_x_trajectory_key_only,target_x_trajectory_key_only,1,0.429723378036041,0.378918597272601,-0.07644946147013187,-0.2527512807788033,0,1,0,"The interaction key alone is a cell label, not a within-cell ordering signal.",0,1
target_x_trajectory_label_content,target_x_trajectory_label_diagnostic,1,0.8127572016460904,-0.00411522633744843,0.3065843621399176,1.0136054421768703,1,0,1,The closing signal is target-label diagnostic content inside the cell.,1,1
target_unlabeled_geometry,target_unlabeled_geometry,0,,,,,0,1,0,No pre-existing target-unlabeled geometry table is available for this locked audit.,0,1
