ladder,candidate,information_class,evaluation_scope,available,hit,gap_to_oracle,closes_gap,closure_fraction_vs_best_raw_source,key_only,source_observable,target_id_used,trajectory_id_used,target_unlabeled_geometry_used,target_label_derived,hindsight_diagnostic_only,comparison_source,interpretation,target_labels_diagnostic_only,no_selection_artifact
L0,existing_source_best_raw,source_observable,within_trajectory_top_hit,1,0.5061728395061729,0.30246913580246915,0,0.0,0,1,0,0,0,0,0,C30_source_rank,Best strict source score remains below the C51 trajectory local-Bayes ceiling.,0,1
L0,existing_source_best_sign_flip,source_observable,within_trajectory_top_hit,1,0.5061728395061729,0.30246913580246915,0,0.0,0,1,0,0,0,0,0,C30_source_rank,Orientation reversal does not close the residual gap.,0,1
L0,existing_source_best_monotone_diagnostic,source_observable+label_derived_diagnostic,within_trajectory_top_hit,1,0.470369368286035,0.33827260702260703,0,-0.1183706599522926,0,1,0,0,0,1,1,selection_leakage,Global monotone diagnostic calibration is still insufficient.,1,1
L1,source_metadata_key_only_tie,source_observable,within_trajectory_top_hit,1,0.429723378036041,0.378918597272601,0,-0.2527512807788033,1,1,0,0,0,0,0,trajectory_conditioned_random_tie,Seed/level/regime keys are constant inside each evaluated trajectory.,0,1
L1,source_geometry_key_only_best_observable,source_observable,within_trajectory_top_hit,1,0.4876543209876543,0.3209876543209877,0,-0.061224489795918456,1,1,0,0,0,0,0,source_distance_q25:high,Observable source-geometry fields add weak localization but do not close the gap.,0,1
L2,target_id_key_only,target_id,within_trajectory_top_hit,1,0.429723378036041,0.378918597272601,0,-0.2527512807788033,1,0,1,0,0,0,0,trajectory_conditioned_random_tie,Target id is fixed within a trajectory and has no within-trajectory ordering power.,0,1
L2,target_centered_label_diagnostic,source_observable+target_id+label_derived_diagnostic,within_trajectory_top_hit,1,0.5648036301631072,0.24383834514553482,0,0.1938405731923135,0,1,1,0,0,1,1,selection_leakage,Target-centered label-derived calibration helps but remains below closure.,1,1
L3,trajectory_id_key_only,target_id+trajectory_id,within_trajectory_top_hit,1,0.429723378036041,0.378918597272601,0,-0.2527512807788033,1,0,1,1,0,0,0,trajectory_conditioned_random_tie,Trajectory id alone ties all candidates inside the evaluated trajectory.,0,1
L3,trajectory_centered_label_diagnostic,source_observable+target_id+trajectory_id+label_derived_diagnostic,within_trajectory_top_hit,1,0.8127572016460904,-0.00411522633744843,1,1.0136054421768703,0,1,1,1,0,1,1,C30_source_rank,Only trajectory-centered label-derived diagnostic calibration closes the residual.,1,1
L4,additive_target_plus_trajectory_key_only,target_id+trajectory_id,within_trajectory_top_hit,1,0.429723378036041,0.378918597272601,0,-0.2527512807788033,1,0,1,1,0,0,0,trajectory_conditioned_random_tie,Additive target plus trajectory keys still have no within-trajectory rank.,0,1
L4,target_x_trajectory_key_only,target_id+trajectory_id,within_trajectory_top_hit,1,0.429723378036041,0.378918597272601,0,-0.2527512807788033,1,0,1,1,0,0,0,trajectory_conditioned_random_tie,"The interaction key alone is a cell label, not a within-cell ordering signal.",0,1
L4,target_x_trajectory_label_diagnostic,source_observable+target_id+trajectory_id+label_derived_diagnostic,within_trajectory_top_hit,1,0.8127572016460904,-0.00411522633744843,1,1.0136054421768703,0,1,1,1,0,1,1,C30_source_rank,The closing signal is target-label diagnostic content inside the cell.,1,1
L5,target_unlabeled_geometry,target_unlabeled_geometry,within_trajectory_top_hit,0,,,0,,1,0,0,0,1,0,0,not_available_in_committed_C49_C51_artifacts,No pre-existing target-unlabeled geometry table is available for this locked audit.,0,1
