dataset,method,seed,fold,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,head_replay_ok
BNCI2014_001,fcigl_align_eta0.01,0,0,0.03645833333333337,0.1371527777777778,0.006944444444444475,True
BNCI2014_001,fcigl_align_eta0.01,0,1,0.001736111111111105,0.001736111111111105,-0.010416666666666685,True
BNCI2014_001,fcigl_align_eta0.01,0,2,0.07465277777777779,0.07638888888888895,-0.00694444444444442,True
BNCI2014_001,fcigl_align_eta0.01,0,3,-0.005208333333333315,0.01388888888888895,0.0017361111111111605,True
BNCI2014_001,fcigl_align_eta0.01,0,4,0.0017361111111111605,0.015625000000000056,0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,0,5,-0.012152777777777735,0.022569444444444475,-0.005208333333333259,True
BNCI2014_001,fcigl_align_eta0.01,0,6,0.001736111111111105,0.001736111111111105,-0.001736111111111105,True
BNCI2014_001,fcigl_align_eta0.01,0,7,0.05381944444444442,0.1579861111111111,-0.00520833333333337,True
BNCI2014_001,fcigl_align_eta0.01,0,8,0.036458333333333315,0.0642361111111111,0.0,True
BNCI2014_001,fcigl_align_eta0.01,1,0,0.00520833333333337,0.10069444444444448,0.026041666666666685,True
BNCI2014_001,fcigl_align_eta0.01,1,1,-0.00347222222222221,-0.0017361111111110494,0.00347222222222221,True
BNCI2014_001,fcigl_align_eta0.01,1,2,0.015625,0.12847222222222227,-0.01215277777777779,True
BNCI2014_001,fcigl_align_eta0.01,1,3,-0.001736111111111105,0.03472222222222221,0.008680555555555525,True
BNCI2014_001,fcigl_align_eta0.01,1,4,0.02430555555555558,0.017361111111111105,0.006944444444444475,True
BNCI2014_001,fcigl_align_eta0.01,1,5,5.551115123125783e-17,-0.012152777777777735,-0.022569444444444475,True
BNCI2014_001,fcigl_align_eta0.01,1,6,0.0,0.019097222222222238,0.0069444444444444475,True
BNCI2014_001,fcigl_align_eta0.01,1,7,0.046874999999999944,0.05034722222222221,-0.012152777777777846,True
BNCI2014_001,fcigl_align_eta0.01,1,8,0.04340277777777779,0.13368055555555555,0.00868055555555558,True
BNCI2014_001,fcigl_align_eta0.01,2,0,-0.01736111111111116,0.13368055555555547,-0.03298611111111116,True
BNCI2014_001,fcigl_align_eta0.01,2,1,0.008680555555555525,0.013888888888888895,-0.00520833333333337,True
BNCI2014_001,fcigl_align_eta0.01,2,2,0.015625,0.109375,0.01041666666666663,True
BNCI2014_001,fcigl_align_eta0.01,2,3,-0.013888888888888895,-0.006944444444444475,0.008680555555555525,True
BNCI2014_001,fcigl_align_eta0.01,2,4,0.012152777777777735,0.02604166666666663,0.015624999999999944,True
BNCI2014_001,fcigl_align_eta0.01,2,5,-0.00694444444444442,-0.02604166666666663,-0.005208333333333315,True
BNCI2014_001,fcigl_align_eta0.01,2,6,-0.0017361111111111327,0.0,-0.0069444444444444475,True
BNCI2014_001,fcigl_align_eta0.01,2,7,0.01388888888888895,0.11631944444444448,-0.0017361111111110494,True
BNCI2014_001,fcigl_align_eta0.01,2,8,0.01388888888888895,0.08506944444444453,0.00868055555555558,True
BNCI2014_001,fcigl_align_eta0.05,0,0,0.05034722222222221,0.14236111111111116,0.01215277777777779,True
BNCI2014_001,fcigl_align_eta0.05,0,1,-0.008680555555555525,0.0034722222222222654,-0.00694444444444442,True
BNCI2014_001,fcigl_align_eta0.05,0,2,0.0798611111111111,0.06250000000000006,-0.017361111111111105,True
BNCI2014_001,fcigl_align_eta0.05,0,3,0.020833333333333315,0.019097222222222154,0.01041666666666663,True
BNCI2014_001,fcigl_align_eta0.05,0,4,0.015625000000000056,0.0017361111111111605,-0.00347222222222221,True
BNCI2014_001,fcigl_align_eta0.05,0,5,0.0,0.05381944444444442,0.0,True
BNCI2014_001,fcigl_align_eta0.05,0,6,0.003472222222222182,0.012152777777777735,-0.0069444444444444475,True
