dataset,method,seed,fold,task_head_alignment_k2,task_head_alignment_k8
BNCI2014_001,fcigl_align_eta0.01,0,0,0.014574840634509176,0.3155736994424892
BNCI2014_001,fcigl_align_eta0.01,0,1,0.006502298002511947,0.2083340986401039
BNCI2014_001,fcigl_align_eta0.01,0,2,0.03306972950014938,0.2555061925255997
BNCI2014_001,fcigl_align_eta0.01,0,3,0.015305237177289554,0.17052785586983088
BNCI2014_001,fcigl_align_eta0.01,0,4,0.0177252818944838,0.35334059894099695
BNCI2014_001,fcigl_align_eta0.01,0,5,0.0166710768733998,0.24781788599867285
BNCI2014_001,fcigl_align_eta0.01,0,6,0.015411052046729552,0.42844407299286685
BNCI2014_001,fcigl_align_eta0.01,0,7,0.020326280862002086,0.34352779235274106
BNCI2014_001,fcigl_align_eta0.01,0,8,0.0720995397988265,0.455756732826046
BNCI2014_001,fcigl_align_eta0.01,1,0,0.007719964190591483,0.3504514045237285
BNCI2014_001,fcigl_align_eta0.01,1,1,0.007231184914902799,0.2659482389183681
BNCI2014_001,fcigl_align_eta0.01,1,2,0.010769408019210235,0.5401720215388854
BNCI2014_001,fcigl_align_eta0.01,1,3,0.017524623599783802,0.30782494753923395
BNCI2014_001,fcigl_align_eta0.01,1,4,0.03278919387447973,0.3914553007207526
BNCI2014_001,fcigl_align_eta0.01,1,5,0.007302979441988479,0.39210103988985456
BNCI2014_001,fcigl_align_eta0.01,1,6,0.01751343655369105,0.3464283381631103
BNCI2014_001,fcigl_align_eta0.01,1,7,0.02170086925335079,0.2699931504272387
BNCI2014_001,fcigl_align_eta0.01,1,8,0.014131778197179,0.3000913378552635
BNCI2014_001,fcigl_align_eta0.01,2,0,0.013751105373745553,0.26220711949472375
BNCI2014_001,fcigl_align_eta0.01,2,1,0.002970374085963349,0.3148321605924319
BNCI2014_001,fcigl_align_eta0.01,2,2,0.017543389097276384,0.47334328506758316
BNCI2014_001,fcigl_align_eta0.01,2,3,0.009058014487247877,0.35881003842200576
BNCI2014_001,fcigl_align_eta0.01,2,4,0.022433442415207536,0.29437384059568905
BNCI2014_001,fcigl_align_eta0.01,2,5,0.026457163957973564,0.33926129961360757
BNCI2014_001,fcigl_align_eta0.01,2,6,0.012604455093160858,0.3653257605129701
BNCI2014_001,fcigl_align_eta0.01,2,7,0.005558647294488526,0.31733985059022934
BNCI2014_001,fcigl_align_eta0.01,2,8,0.04362291180439978,0.29339367444390124
BNCI2014_001,fcigl_align_eta0.05,0,0,0.01658656058608333,0.26657322402930844
BNCI2014_001,fcigl_align_eta0.05,0,1,0.007023939677577947,0.2337085623099222
BNCI2014_001,fcigl_align_eta0.05,0,2,0.031105792215832873,0.2287418848737154
BNCI2014_001,fcigl_align_eta0.05,0,3,0.018428893113980188,0.14557713933839084
BNCI2014_001,fcigl_align_eta0.05,0,4,0.01790864263457665,0.30251477400406646
BNCI2014_001,fcigl_align_eta0.05,0,5,0.013637423184680982,0.2476206319028623
BNCI2014_001,fcigl_align_eta0.05,0,6,0.009945158263684048,0.4234089438427179
BNCI2014_001,fcigl_align_eta0.05,0,7,0.02118148543137432,0.2674443406622464
BNCI2014_001,fcigl_align_eta0.05,0,8,0.057278392749334314,0.38824810400722554
BNCI2014_001,fcigl_align_eta0.05,1,0,0.00837729416848851,0.3141739646202843
BNCI2014_001,fcigl_align_eta0.05,1,1,0.0064115420208283105,0.2758644380125305
BNCI2014_001,fcigl_align_eta0.05,1,2,0.014028003129171296,0.48570858516196785
BNCI2014_001,fcigl_align_eta0.05,1,3,0.017203696323617058,0.2893843623320247
BNCI2014_001,fcigl_align_eta0.05,1,4,0.03146678271455556,0.3183206400648605
BNCI2014_001,fcigl_align_eta0.05,1,5,0.008671439178243291,0.36570383967538134
BNCI2014_001,fcigl_align_eta0.05,1,6,0.015300543270954387,0.33551621722492164
BNCI2014_001,fcigl_align_eta0.05,1,7,0.02134369832720731,0.26807677003829117
BNCI2014_001,fcigl_align_eta0.05,1,8,0.013651746964234449,0.2829319396652536
BNCI2014_001,fcigl_align_eta0.05,2,0,0.01404172050152161,0.25815363434625105
BNCI2014_001,fcigl_align_eta0.05,2,1,0.0023435681728135936,0.3060879517202668
BNCI2014_001,fcigl_align_eta0.05,2,2,0.017393659414269392,0.41325091008355985
BNCI2014_001,fcigl_align_eta0.05,2,3,0.0076267958124484605,0.3389622583915668
BNCI2014_001,fcigl_align_eta0.05,2,4,0.020874013637326896,0.2538315431995354
BNCI2014_001,fcigl_align_eta0.05,2,5,0.02205596164971028,0.3003050731009945
BNCI2014_001,fcigl_align_eta0.05,2,6,0.009014072747036314,0.32769882618299895
BNCI2014_001,fcigl_align_eta0.05,2,7,0.005281907169474443,0.3209793657472373
BNCI2014_001,fcigl_align_eta0.05,2,8,0.03357311463738973,0.23737473377917087
BNCI2015_001,fcigl_align_eta0.01,0,0,0.6424955845618726,0.67182832956507
BNCI2015_001,fcigl_align_eta0.01,0,1,0.20738269740619472,0.6326358728661675
BNCI2015_001,fcigl_align_eta0.01,0,2,0.39639050842036305,0.6814232116215841
BNCI2015_001,fcigl_align_eta0.01,0,3,0.24773955513526316,0.643402184184679
BNCI2015_001,fcigl_align_eta0.01,0,4,0.453907435989969,0.6004992950926019
BNCI2015_001,fcigl_align_eta0.01,0,5,0.12709586571935003,0.6828016463714152
BNCI2015_001,fcigl_align_eta0.01,0,6,0.5581942858123525,0.6193300790800144
BNCI2015_001,fcigl_align_eta0.01,0,7,0.3075593202214345,0.6505167335870884
BNCI2015_001,fcigl_align_eta0.01,0,8,0.28360289621016743,0.5652239067544929
BNCI2015_001,fcigl_align_eta0.01,0,9,0.22126616186163645,0.6661030877628703
BNCI2015_001,fcigl_align_eta0.01,0,10,0.11385303923554899,0.5970146879309206
BNCI2015_001,fcigl_align_eta0.01,0,11,0.5500042467295743,0.6125016251620621
BNCI2015_001,fcigl_align_eta0.01,1,0,0.15328144040335856,0.6629406727125579
BNCI2015_001,fcigl_align_eta0.01,1,1,0.06650712020706118,0.6390926547239276
BNCI2015_001,fcigl_align_eta0.01,1,2,0.423364857786829,0.5344203763346554
BNCI2015_001,fcigl_align_eta0.01,1,3,0.14474916485387915,0.5389114844030286
BNCI2015_001,fcigl_align_eta0.01,1,4,0.2784755868241835,0.6086039136648026
BNCI2015_001,fcigl_align_eta0.01,1,5,0.163115908583917,0.6641472890750169
BNCI2015_001,fcigl_align_eta0.01,1,6,0.26768959953207816,0.6042193107902375
BNCI2015_001,fcigl_align_eta0.01,1,7,0.3604613981965034,0.6360646103347062
BNCI2015_001,fcigl_align_eta0.01,1,8,0.28628686354928934,0.6329887813530796
BNCI2015_001,fcigl_align_eta0.01,1,9,0.19577097032537943,0.6672142486449728
BNCI2015_001,fcigl_align_eta0.01,1,10,0.13618414334564122,0.7133413803031894
BNCI2015_001,fcigl_align_eta0.01,1,11,0.05085330066463237,0.5685050701006795
BNCI2015_001,fcigl_align_eta0.01,2,0,0.17642738446820577,0.6940800866402976
BNCI2015_001,fcigl_align_eta0.01,2,1,0.10119004112661904,0.67098789635039
BNCI2015_001,fcigl_align_eta0.01,2,2,0.5615711463401558,0.7085629762259663
BNCI2015_001,fcigl_align_eta0.01,2,3,0.0911701758883092,0.5951208508759865
BNCI2015_001,fcigl_align_eta0.01,2,4,0.14121864769094292,0.705505984297539
BNCI2015_001,fcigl_align_eta0.01,2,5,0.058055537507540396,0.579537956181217
BNCI2015_001,fcigl_align_eta0.01,2,6,0.055204686975133664,0.5549831262344702
BNCI2015_001,fcigl_align_eta0.01,2,7,0.16339950788802385,0.5514114636553281
BNCI2015_001,fcigl_align_eta0.01,2,8,0.3683514339918229,0.5840017768734198
BNCI2015_001,fcigl_align_eta0.01,2,9,0.1963539696325433,0.6852930156568099
BNCI2015_001,fcigl_align_eta0.01,2,10,0.01862972101310651,0.6306167685161409
BNCI2015_001,fcigl_align_eta0.01,2,11,0.26198076296929945,0.5962146571378547
BNCI2015_001,fcigl_align_eta0.05,0,0,0.4475463768059263,0.5385174753299947
BNCI2015_001,fcigl_align_eta0.05,0,1,0.11012613324287514,0.48151839784183703
BNCI2015_001,fcigl_align_eta0.05,0,2,0.19152000772031394,0.4864924861919898
BNCI2015_001,fcigl_align_eta0.05,0,3,0.1291847193582103,0.3781614803718861
BNCI2015_001,fcigl_align_eta0.05,0,4,0.2622825679804054,0.374065201238088
BNCI2015_001,fcigl_align_eta0.05,0,5,0.06955705926484475,0.4678315720996807
BNCI2015_001,fcigl_align_eta0.05,0,6,0.29213020778788135,0.36964902843648423
