comparison,quantity,scope,point,ci_lo,ci_hi,n,excludes_zero
fcigl_align_eta0.01_minus_CIGL,target_bacc,pooled,0.002805335097001769,-0.003215112433862437,0.009062651565255746,63,False
fcigl_align_eta0.01_minus_CIGL,target_bacc,BNCI2014_001,0.000835905349794247,-0.005465534979423874,0.006622942386831287,27,False
fcigl_align_eta0.01_minus_CIGL,target_bacc,BNCI2015_001,0.004282407407407411,-0.0047453703703703625,0.013495370370370371,36,False
fcigl_align_eta0.01_minus_CIGL,graph_kl,pooled,0.16604473595581357,0.1292722769133333,0.1961563246117698,63,True
fcigl_align_eta0.01_minus_CIGL,graph_kl,BNCI2014_001,0.17516524261898464,0.15117428722204984,0.20080863110445163,27,True
fcigl_align_eta0.01_minus_CIGL,graph_kl,BNCI2015_001,0.15920435595843527,0.10118560278788209,0.20894689444038603,36,True
fcigl_align_eta0.01_minus_CIGL,node_kl,pooled,0.15747275641040195,0.11443688570073358,0.1919792442634288,63,True
fcigl_align_eta0.01_minus_CIGL,node_kl,BNCI2014_001,0.12293637847458874,0.10852363697356648,0.14386157553505013,27,True
fcigl_align_eta0.01_minus_CIGL,node_kl,BNCI2015_001,0.1833750398622619,0.16441920996747084,0.20261789248842332,36,True
fcigl_align_eta0.01_minus_CIGL,R3_task_drop_k2,pooled,0.001355820105820112,-0.014147238756613762,0.01912527557319227,63,False
fcigl_align_eta0.01_minus_CIGL,R3_task_drop_k2,BNCI2014_001,-0.003472222222222207,-0.013695987654320977,0.005915637860082328,27,False
fcigl_align_eta0.01_minus_CIGL,R3_task_drop_k2,BNCI2015_001,0.004976851851851851,-0.023497685185185194,0.0343096064814815,36,False
fcigl_align_eta0.01_minus_CIGL,task_head_alignment_k2,pooled,-0.1168569648125794,-0.21914453601969633,-0.010236757084520598,63,True
fcigl_align_eta0.01_minus_CIGL,task_head_alignment_k2,BNCI2014_001,-0.013510104573281613,-0.020700584206780382,-0.006916401113833402,27,True
fcigl_align_eta0.01_minus_CIGL,task_head_alignment_k2,BNCI2015_001,-0.19436710999205273,-0.252140638787935,-0.1431623983056155,36,True
fcigl_align_eta0.05_minus_CIGL,target_bacc,pooled,0.003831569664903008,-0.0031076434817754067,0.010810185185185194,63,False
fcigl_align_eta0.05_minus_CIGL,target_bacc,BNCI2014_001,0.0005144032921810774,-0.006430041152263368,0.00681584362139918,27,False
fcigl_align_eta0.05_minus_CIGL,target_bacc,BNCI2015_001,0.0063194444444444565,-0.0034490740740740627,0.01564988425925928,36,False
fcigl_align_eta0.05_minus_CIGL,graph_kl,pooled,0.17753366321798356,0.13503512927951913,0.21703453562222422,63,True
fcigl_align_eta0.05_minus_CIGL,graph_kl,BNCI2014_001,0.1773176391919454,0.15395011129202665,0.19993189849235393,27,True
fcigl_align_eta0.05_minus_CIGL,graph_kl,BNCI2015_001,0.17769568123751217,0.10495860466940536,0.24119710704932612,36,True
fcigl_align_eta0.05_minus_CIGL,node_kl,pooled,0.16424022520345355,0.1164511177688837,0.20295378119270835,63,True
fcigl_align_eta0.05_minus_CIGL,node_kl,BNCI2014_001,0.1244326780239741,0.11090693175792694,0.14424977468119726,27,True
fcigl_align_eta0.05_minus_CIGL,node_kl,BNCI2015_001,0.19409588558806312,0.17425193535163996,0.21346615045848819,36,True
fcigl_align_eta0.05_minus_CIGL,R3_task_drop_k2,pooled,0.0032264109347442714,-0.008321759259259246,0.01699189814814814,63,False
fcigl_align_eta0.05_minus_CIGL,R3_task_drop_k2,BNCI2014_001,0.0007073045267489862,-0.010482574588477333,0.00945216049382717,27,False
fcigl_align_eta0.05_minus_CIGL,R3_task_drop_k2,BNCI2015_001,0.005115740740740736,-0.013287037037037038,0.029143518518518517,36,False
fcigl_align_eta0.05_minus_CIGL,task_head_alignment_k2,pooled,-0.1798878011118469,-0.3363680849406617,-0.011270708712281806,63,True
fcigl_align_eta0.05_minus_CIGL,task_head_alignment_k2,BNCI2014_001,-0.015014268675064097,-0.02299478895419906,-0.007542266797454904,27,True
fcigl_align_eta0.05_minus_CIGL,task_head_alignment_k2,BNCI2015_001,-0.3035429504394341,-0.3744581754551308,-0.22941977922359855,36,True
