dataset,method,seed,fold,target_bacc,source_bacc,graph_kl,node_kl,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,task_head_alignment_k2,task_head_alignment_k8,head_replay_ok,firewall_passed,projector_excludes_target,projector_excludes_source_val,projector_k
BNCI2014_001,fcigl_align_eta0.01,0,0,0.47395833333333337,0.48546511627906974,0.8588619828224182,0.4146333634853363,0.03645833333333337,0.1371527777777778,0.006944444444444475,0.014574840634509176,0.3155736994424892,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,1,0.2638888888888889,0.5116279069767442,0.9847379922866821,0.5084917545318604,0.001736111111111105,0.001736111111111105,-0.010416666666666685,0.006502298002511947,0.2083340986401039,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,2,0.4305555555555556,0.46875,0.7816225290298462,0.36067309975624084,0.07465277777777779,0.07638888888888895,-0.00694444444444442,0.03306972950014938,0.2555061925255997,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,3,0.2899305555555556,0.501453488372093,1.0492087602615356,0.4871003031730652,-0.005208333333333315,0.01388888888888895,0.0017361111111111605,0.015305237177289554,0.17052785586983088,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,4,0.2569444444444445,0.502906976744186,0.9067508578300476,0.44212108850479126,0.0017361111111111605,0.015625000000000056,0.001736111111111105,0.0177252818944838,0.35334059894099695,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,5,0.30208333333333337,0.4883720930232558,0.9648665189743042,0.42379119992256165,-0.012152777777777735,0.022569444444444475,-0.005208333333333259,0.0166710768733998,0.24781788599867285,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,6,0.2378472222222222,0.5152616279069767,1.0203524827957153,0.4489952623844147,0.001736111111111105,0.001736111111111105,-0.001736111111111105,0.015411052046729552,0.42844407299286685,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,7,0.4565972222222222,0.46656976744186046,0.7634909749031067,0.41041189432144165,0.05381944444444442,0.1579861111111111,-0.00520833333333337,0.020326280862002086,0.34352779235274106,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,0,8,0.3454861111111111,0.47238372093023256,0.7899814248085022,0.3905009925365448,0.036458333333333315,0.0642361111111111,0.0,0.0720995397988265,0.455756732826046,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,1,0,0.4600694444444445,0.46875,0.8151038289070129,0.42320123314857483,0.00520833333333337,0.10069444444444448,0.026041666666666685,0.007719964190591483,0.3504514045237285,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,1,1,0.2951388888888889,0.5167151162790697,1.1046459674835205,0.48998212814331055,-0.00347222222222221,-0.0017361111111110494,0.00347222222222221,0.007231184914902799,0.2659482389183681,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,1,2,0.3993055555555556,0.44040697674418605,0.78714919090271,0.4472093880176544,0.015625,0.12847222222222227,-0.01215277777777779,0.010769408019210235,0.5401720215388854,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,1,3,0.3020833333333333,0.49709302325581395,1.0894088745117188,0.4950229227542877,-0.001736111111111105,0.03472222222222221,0.008680555555555525,0.017524623599783802,0.30782494753923395,True,True,True,True,2
BNCI2014_001,fcigl_align_eta0.01,1,4,0.2760416666666667,0.5218023255813954,0.8219757676124573,0.407252699136734,0.02430555555555558,0.017361111111111105,0.006944444444444475,0.03278919387447973,0.3914553007207526,True,True,True,True,2
