seed,target,level,regime,candidate_order,neighbor_order,source_equivalent_radius_q10,source_distance,source_distance_primary,source_distance_rank_l1,source_distance_family_block,target_utility_gap,joint_good_disagreement,pareto_good_disagreement,preference_robust_disagreement,target_gauge_gap,endpoint_vector_gap_raw,endpoint_vector_gap_z,target_divergent,target_labels_diagnostic_only
2,4,0,S0_full_support,26,27,1.269009511962666,0.016417823820007373,0.016417823820007373,0.055882352941176466,0.003919793196460677,0.0,0,1,0,0.0,3.181285477145208e-05,0.0002849108855972425,1,1
2,4,0,S3_nonestimable_cells,26,27,1.269009511962666,0.018315435338406787,0.018315435338406787,0.057843137254901957,0.004567674753236937,0.0,0,1,0,0.0,3.181285477145208e-05,0.0002849108855972425,1,1
2,4,0,S2_rare_cells,26,27,1.269009511962666,0.02036052385579968,0.02036052385579968,0.06176470588235293,0.005071235444096695,0.0,0,1,0,0.0,3.181285477145208e-05,0.0002849108855972425,1,1
0,3,0,S0_full_support,17,18,1.269009511962666,0.02497683211639291,0.02497683211639291,0.05614973262032087,0.006114873257883475,0.01904252858139327,0,1,0,0.0017361111111111605,0.0024102603172834747,0.044878090874894465,1,1
0,3,0,S2_rare_cells,17,18,1.269009511962666,0.027416409748465893,0.027416409748465893,0.08288770053475938,0.006507083127233376,0.01904252858139327,0,1,0,0.0017361111111111605,0.0024102603172834747,0.044878090874894465,1,1
0,3,0,S3_nonestimable_cells,17,18,1.269009511962666,0.027585023561558092,0.027585023561558092,0.06684491978609627,0.006537964405672521,0.01904252858139327,0,1,0,0.0017361111111111605,0.0024102603172834747,0.044878090874894465,1,1
2,4,0,S0_full_support,27,29,1.269009511962666,0.02945400722242499,0.02945400722242499,0.06078431372549019,0.0039671923783731215,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024624763109503314,0.04524659842798343,1,1
2,4,0,S2_rare_cells,27,29,1.269009511962666,0.029650140449775972,0.029650140449775972,0.06274509803921567,0.004366192474827569,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024624763109503314,0.04524659842798343,1,1
2,4,0,S3_nonestimable_cells,27,29,1.269009511962666,0.029666303431442356,0.029666303431442356,0.058823529411764705,0.004386264038819461,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024624763109503314,0.04524659842798343,1,1
0,3,0,S2_rare_cells,17,20,1.269009511962666,0.0326814282202647,0.0326814282202647,0.12032085561497326,0.00765289554334368,0.002023014582223537,0,1,0,0.0,0.0001977478227225286,0.0020490898609629516,1,1
0,3,0,S2_rare_cells,17,19,1.269009511962666,0.03332056725444338,0.03332056725444338,0.11764705882352941,0.008231645033630334,0.0015522585542931955,0,1,0,0.0,0.0001480354522315405,0.0015673332993316918,1,1
2,4,0,S0_full_support,27,30,1.269009511962666,0.03524375187467504,0.03524375187467504,0.1,0.006970149042867704,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024659707656380777,0.04526784230710666,1,1
2,4,0,S2_rare_cells,27,30,1.269009511962666,0.03528287728878694,0.03528287728878694,0.09215686274509804,0.00695854077466633,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024659707656380777,0.04526784230710666,1,1
2,4,0,S3_nonestimable_cells,27,30,1.269009511962666,0.03566629372823825,0.03566629372823825,0.09607843137254903,0.00739211370661941,0.04063710749918392,0,1,0,0.0017361111111110494,0.0024659707656380777,0.04526784230710666,1,1
0,3,0,S2_rare_cells,17,21,1.269009511962666,0.03812847245243911,0.03812847245243911,0.15775401069518719,0.008818405839380037,0.0025354377913314186,0,1,0,0.0,0.00024296048265427174,0.0025615970804691145,1,1
0,3,0,S2_rare_cells,17,22,1.269009511962666,0.040698532698553454,0.040698532698553454,0.17112299465240643,0.009008804256097186,0.002952504116536414,0,1,0,0.0,0.00029605168600700134,0.0030007170930562706,1,1
2,4,0,S0_full_support,25,27,1.269009511962666,0.050016847664414145,0.050016847664414145,0.08823529411764706,0.010398067401327139,0.0,0,1,0,0.0,8.538333691880132e-05,0.0007823273390310515,1,1
2,4,0,S2_rare_cells,25,27,1.269009511962666,0.05049300453689945,0.05049300453689945,0.09019607843137256,0.010621212213028641,0.0,0,1,0,0.0,8.538333691880132e-05,0.0007823273390310515,1,1
