source_id,authors,year,title,venue,doi,primary_url,verified_contribution,verification_status,conditions_imported_without_audit
L01,Blackwell,1953,Equivalent Comparisons of Experiments,Annals of Mathematical Statistics,10.1214/aoms/1177729032,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-24/issue-2/Equivalent-Comparisons-of-Experiments/10.1214/aoms/1177729032.full,Blackwell comparison and decision-problem equivalence,VERIFIED_PRIMARY_OR_CANONICAL,0
L02,Le Cam,1986,Asymptotic Methods in Statistical Decision Theory,Springer Series in Statistics,10.1007/978-1-4612-4946-7,https://link.springer.com/book/10.1007/978-1-4612-4946-7,deficiency and statistical experiments,VERIFIED_PRIMARY_OR_CANONICAL,0
L03,Yu,1997,"Assouad, Fano, and Le Cam",Festschrift for Lucien Le Cam,10.1007/978-1-4612-1880-7_29,https://doi.org/10.1007/978-1-4612-1880-7_29,relationships among minimax lower-bound methods,VERIFIED_PRIMARY_OR_CANONICAL,0
L04,Yang and Barron,1999,Information-Theoretic Determination of Minimax Rates of Convergence,Annals of Statistics,10.1214/aos/1017939142,https://projecteuclid.org/journals/annals-of-statistics/volume-27/issue-5/Information-theoretic-determination-of-minimax-rates-of-convergence/10.1214/aos/1017939142.full,Fano and information-theoretic minimax bounds,VERIFIED_PRIMARY_OR_CANONICAL,0
L05,Rockafellar and Uryasev,2000,Optimization of Conditional Value-at-Risk,Journal of Risk,10.21314/JOR.2000.038,https://doi.org/10.21314/JOR.2000.038,CVaR optimization representation,VERIFIED_PRIMARY_OR_CANONICAL,0
L06,Rockafellar and Uryasev,2002,Conditional Value-at-Risk for General Loss Distributions,Journal of Banking and Finance,10.1016/S0378-4266(02)00271-6,https://doi.org/10.1016/S0378-4266(02)00271-6,CVaR for discrete/general loss laws,VERIFIED_PRIMARY_OR_CANONICAL,0
L07,Manski,2000,Identification Problems and Decisions under Ambiguity,Journal of Econometrics,10.1016/S0304-4076(99)00045-7,https://doi.org/10.1016/S0304-4076(99)00045-7,partial identification and decisions under ambiguity,VERIFIED_PRIMARY_OR_CANONICAL,0
L08,Manski,2004,Statistical Treatment Rules for Heterogeneous Populations,Econometrica,10.1111/j.1468-0262.2004.00530.x,https://doi.org/10.1111/j.1468-0262.2004.00530.x,minimax-regret statistical treatment rules,VERIFIED_PRIMARY_OR_CANONICAL,0
L09,"Fisher, Rudin, and Dominici",2019,"All Models are Wrong, but Many are Useful",JMLR,NONE,https://jmlr.org/papers/v20/18-760.html,Rashomon set and model-class multiplicity,VERIFIED_PRIMARY_OR_CANONICAL,0
L10,Hill,1973,Diversity and Evenness: A Unifying Notation and Its Consequences,Ecology,10.2307/1934352,https://doi.org/10.2307/1934352,effective diversity/Hill numbers,VERIFIED_PRIMARY_OR_CANONICAL,0
L11,"Kaufmann, Cappe, and Garivier",2016,On the Complexity of Best-Arm Identification in Multi-Armed Bandit Models,JMLR,NONE,https://jmlr.org/papers/v17/kaufman16a.html,best-arm/top-m identification under arm pulls,VERIFIED_PRIMARY_OR_CANONICAL,0
L12,"Madani, Lizotte, and Greiner",2004,Active Model Selection,UAI,NONE,https://www.csd.uwo.ca/~dlizotte/publications/madani04active.pdf,budgeted active model probes,VERIFIED_PRIMARY_OR_CANONICAL,0
L13,"Sagawa, Koh, Hashimoto, and Liang",2020,Distributionally Robust Neural Networks for Group Shifts,ICLR,NONE,https://openreview.net/forum?id=ryxGuJrFvS,worst-group risk and group DRO,VERIFIED_PRIMARY_OR_CANONICAL,0
L14,"Kossen, Farquhar, Gal, and Rainforth",2021,Active Testing: Sample-Efficient Model Evaluation,ICML/PMLR,NONE,https://proceedings.mlr.press/v139/kossen21a.html,active test-label acquisition and bias correction,VERIFIED_PRIMARY_OR_CANONICAL,0
