unit_id,dataset,target,seed,level,regime,smooth_temperature,epoch,trajectory_order,checkpoint_id,checkpoint_file_sha256,sidecar_sha256,optimizer_state_hash,checkpoint_hash_match,checkpoint_file_match,sidecar_hash_match,optimizer_hash_match,optimizer_file_match,target_outcome_used_for_retention,all_hashes_passed
c78r_d99c6e6f0b1b29438cb7,BNCI2014_001,4,3,0,SRC,0.1,4,1,f90faf8d59b0bb98ce2b32736915a66159c49a2d05f1cad204a8587c937a82a5,514eb64604f435da50818cbaa77447e21814bf8a4bb94f785181cba63879a34e,9a2096b26487877f0d505b945f1364d4c3a70cadca898a40f7f3de68970741f7,55074e077b84a9a216cccb2fb4bac816c3393885539866c1010c50275b4435bf,1,1,1,1,1,0,1
c78r_c259a96a18570c5b4f48,BNCI2014_001,4,3,0,SRC,0.1,9,2,0d731ab7f4d731a8361314f48ca3eae40846a10771e611123ea7da343c7f42d6,cb962a3b09e0aeb659bb0252b454cbb4862c3e43481164089e4af645e247c055,2114baff4f173e3dba383826eb48cfe480b3c6983ea19424dacc92e1a1872cdd,903101970e2b7e3fc2968b7d156c1983502e2dfbf7343e3621b8c8512d13dd15,1,1,1,1,1,0,1
c78r_801c7f6695e3e9a3af29,BNCI2014_001,4,3,0,SRC,0.1,14,3,806aceda430d59169aa01d9f6d3983e83dda932fa56cb61257bd8578435fd15e,8f1f99360832559c2c615e98a631e82a27acf87cda9764e2abdad2d316ac173d,49c80620f2ee8ffd76937f035810a858dfc03bb7dab79bfe2c0ecf9659c9c7f2,59ff9a12e5363616ae42e0c28b06f72ab9493855cd01797e8beb1612b8fa5308,1,1,1,1,1,0,1
c78r_460d805e1011b2323a76,BNCI2014_001,4,3,0,SRC,0.1,19,4,3f7357dfeabfd329e5d62e209a5af55626bab7e4b821e6bcd2e1dabeb3b45ab8,5925d868e7a7519b816faa31389f07f86b57b1a3d9361f713e563bea25938e66,4b770fe4d3e9c7f71bb766a3f94e21d0f791ed5819f5c8c2ce3aa4c10d935b57,1914191dbd6f0e7149822bc4866c0a52717bba840ac1cac412af4d1b7eb86fa7,1,1,1,1,1,0,1
c78r_214b0697dd4b3c6f0102,BNCI2014_001,4,3,0,SRC,0.1,24,5,c4acc0a33bd8aff50f72369ebb4f606ddb07de2de756d814221896153c14fb67,406cab0786e1b21c4a3a0cbab286742f9b46954f9d63b454e13b83666a616d26,f73a74addc42242c4722c8738e4f94608982339d7f06e9dcd886085b54e22bcb,29b2f4eb0b415c9b49fcce16a21e96e7ca2b7978ee09acc3f7ae72b02cb2d7a6,1,1,1,1,1,0,1
c78r_3c79b4f954e04ba1b75c,BNCI2014_001,4,3,0,SRC,0.1,29,6,290fdeb3d799941bd346b639f31ac49706e09d05ba1babe682cb91577c88c6a8,3514678faf84d1da23ba5baf70e6a355a40b5e8056834ca4121da943efe9cb5c,f8091c972c62de60e1a5b343dadbd02779a6677206ed8c88afe818ae4857e6bd,d5f7bafa48e83065c70880ed9e2823f934dad391f49f807e9f50e8e934f0e9dd,1,1,1,1,1,0,1
c78r_49fcdeb4c59deb170c9a,BNCI2014_001,4,3,0,SRC,0.1,34,7,a4210db891585e4424eaf09f1c1f70a36c9ab9860dabcca98f9085d1950865be,97f2915c9d96b376ba8b6f87ffe9ce97d780f6f8c99c72cd9e8ab44e418c3217,77671789aaeef09fe80ef0f73c2f8bfd914ed3e2a83a06dd302ef88133e3e01c,0a78d25cff7c9bf9e8f5c3648d4d3acc337ae6b5f86a9c439ecea783164405f1,1,1,1,1,1,0,1
c78r_36112cda99cdaac95c59,BNCI2014_001,4,3,0,SRC,0.1,39,8,09044b097b83303de0cd6e9a2cc6b0aacae658c7987faefc298625a853b6a10a,8d8b760f7901e729cb8eaba69fc272d8f793737a0d4822607a811217504decdb,2361b9941838284bdd7cb592fa0ae3cd103da71a17e840d0945de2bf45b8af27,a42600d263b44328404a701badc6824a9c1517b8d8b73627c50dfc47894b71a1,1,1,1,1,1,0,1
c78r_3d9b8838a80a160a2137,BNCI2014_001,4,3,0,SRC,0.1,44,9,8cc5f009034c8d14141087240679fcb6ea01b55344afd64ba3ac7f2eb24c3ef0,5d4d307448400f0039b2545900bd668f54ea3f7e14636253936bbc52252d4cda,8e08e3aeee3d90b5ecbdb0bc6d53aec69c48ab73688b6ded4b8afd4d71ad5304,a6ab48fb49c5c54590e06f2fc9fdcb474f09587a9e42917038174a332e1260eb,1,1,1,1,1,0,1
c78r_7d556e9ad37595da4779,BNCI2014_001,4,3,0,SRC,0.1,49,10,8c981346ff975d2c062d9863574a98a301d90ea90f4bea279b885b7a562e250e,4187115752c2ff013f9a2731abd205f8f108937b908bf873cdd5134f2cbd4045,3cd2fe17bed4f5f23b42e18606d7bbcbb3c324c0cd1bd99912799d1a1808ed16,52ea121babc8acfa993fd79f9e4081ac30453ea42fcec985a97337b06705564d,1,1,1,1,1,0,1
c78r_6505420602112dfc2890,BNCI2014_001,4,3,0,SRC,0.1,54,11,13e9f62ceda67a1074ea4c0849e58e3471a64117537bd6780545265713e7ac3b,284f384ba763997075a3f157b2ef02707ba1f459f6c212ba94d81d3014ad98dc,a004a65a9e6719965fe901c4fec1bc046103b78b27facdf63ee519b0003d1a12,5fafa78f00f90586fd585b8fece9da5be33cf3d20e53839fa2bcedfb2e45fa14,1,1,1,1,1,0,1
c78r_cea7577f5725fcc24f5e,BNCI2014_001,4,3,0,SRC,0.1,59,12,90d893057bea4ecce02006c5f8418ad1df2837118c433515508fc6c2a39a7cc9,a8f173636fe916df1491d979fe72fc0fd3331e4cdcee8babd63f7ae3c15efb65,859a3b59450f59932ec30de1eababe337c12b56085655830266abf4c05669157,b5f02498ab3b94ba92a666ab041bb8f75b250e6763efa2cff731fea7bb3c917a,1,1,1,1,1,0,1
