check,passed,blocking,observed,expected,note
final_report_absent_before_red_team,1,1,False,False,
protocol_sha,1,1,8f0a2dd57420a5b9aa66c4174eb10477b93e46946122c6952660aceab4d0d29d,SHA file,
protocol_commit,1,1,99f710d0088496f45fe01578e734255889d42e08,99f710d,
protocol_parent,1,1,121cd019a7ce1cace18f54570934c2a33730cf09,121cd019a7ce1cace18f54570934c2a33730cf09,
exact_token_digest,1,1,2a9530b07892d850a24a9d39457c2d4264cb7eb2ab1d8e4e84e489ef169007f9,2a9530b07892d850a24a9d39457c2d4264cb7eb2ab1d8e4e84e489ef169007f9,
authorization_received,1,1,True,True,
protocol_before_GPU_preflight,1,1,99f710d0088496f45fe01578e734255889d42e08,before GPU preflight,
lock_before_GPU_preflight,1,1,750cb38,before GPU preflight,
prelock_EEG_zero,1,1,0,0,
prelock_GPU_zero,1,1,0,0,
historical_byte_exact,1,1,"[1, 1, 1, 1]",all 1,
implementation_hashes,1,1,9,9,
field_units,1,1,80,80,
field_unique_units,1,1,80,80,
levels_40_each,1,1,"{0: 40, 1: 40}","{0: 40, 1: 40}",
SRC_only,1,1,{'SRC'},{'SRC'},
temperature_0_1,1,1,80 sidecars,0.1,
ERM_not_retrained,1,1,0,0,
OACI_weights_not_accessed,1,1,0,0,
two_read_only_anchors,1,1,2,2,
source_subjects,1,1,"[1, 2, 3, 7, 8, 9]","[1, 2, 3, 7, 8, 9]",
target_rows_training_zero,1,1,0,0,
target_labels_training_zero,1,1,0,0,
source_audit_training_zero,1,1,[],[],
target_outcome_retention_zero,1,1,False,False,
target_outcome_retry_zero,1,1,False,False,
checkpoint_hashes,1,1,80,80,
genealogy,1,1,80,80,
cadence,1,1,"[{'level': '0', 'expected_checkpoints': '40', 'actual_checkpoints': '40', 'expected_epochs': '4|9|14|19|24|29|34|39|44|49|54|59|64|69|74|79|84|89|94|99|104|109|114|119|124|129|134|139|144|149|154|159|164|169|174|179|184|189|194|199', 'actual_epochs': '4|9|14|19|24|29|34|39|44|49|54|59|64|69|74|79|84|89|94|99|104|109|114|119|124|129|134|139|144|149|154|159|164|169|174|179|184|189|194|199', 'fixed_cadence_complete': '1', 'target_outcome_retention_reads': '0', 'passed': '1'}, {'level': '1', 'expected_checkpoints': '40', 'actual_checkpoints': '40', 'expected_epochs': '4|9|14|19|24|29|34|39|44|49|54|59|64|69|74|79|84|89|94|99|104|109|114|119|124|129|134|139|144|149|154|159|164|169|174|179|184|189|194|199', 'actual_epochs': '4|9|14|19|24|29|34|39|44|49|54|59|64|69|74|79|84|89|94|99|104|109|114|119|124|129|134|139|144|149|154|159|164|169|174|179|184|189|194|199', 'fixed_cadence_complete': '1', 'target_outcome_retention_reads': '0', 'passed': '1'}]",two 40-point levels,
trajectory_trace_manifest,1,1,2,two hash-valid 40-row traces,
instrument_units,1,1,80,80,
source_rows,1,1,368640,368640,
target_unlabeled_rows,1,1,46080,46080,
identity_no_failures,1,1,"{'Wz_plus_b_logits_max_abs': 0.0, 'failed_units': 0, 'hook_z_max_abs': 0.0, 'repeat_max_abs': 0.0, 'softmax_max_abs': 0.0}",failed_units=0,
Wz_identity,1,1,0.0,<=1e-6,
softmax_identity,1,1,0.0,<=1e-7,
repeat_exact,1,1,0.0,0,
target_labels_absent_primary,1,1,"{'C78_inputs_reused_read_only_after_SRC_freeze': True, 'construction_evaluation_oracle_separate': True, 'instrumentation_received_label_gate_path': False, 'instrumentation_received_oracle_path': False, 'source_and_target_input_views_separate': True, 'target_unlabeled_contains_labels': False}",False,
oracle_absent_primary,1,1,"{'C78_inputs_reused_read_only_after_SRC_freeze': True, 'construction_evaluation_oracle_separate': True, 'instrumentation_received_label_gate_path': False, 'instrumentation_received_oracle_path': False, 'source_and_target_input_views_separate': True, 'target_unlabeled_contains_labels': False}",False,
views_linked_after_freeze,1,1,"{'C78_inputs_reused_read_only_after_SRC_freeze': True, 'construction_evaluation_oracle_separate': True, 'instrumentation_received_label_gate_path': False, 'instrumentation_received_oracle_path': False, 'source_and_target_input_views_separate': True, 'target_unlabeled_contains_labels': False}",True,
schema_compatibility,1,1,"[{'view': 'checkpoint_Wb', 'C78_fields': 'W|b', 'C78R_SRC_fields': 'W|b', 'exact_field_match': '1', 'identity_tolerance_match': '1', 'passed': '1'}, {'view': 'strict_source_trial', 'C78_fields': 'Wz|Wz_plus_b|class_margins|logits|prediction|probabilities|source_class_label|source_domain_id|source_role|source_trial_id|z', 'C78R_SRC_fields': 'Wz|Wz_plus_b|class_margins|logits|prediction|probabilities|source_class_label|source_domain_id|source_role|source_trial_id|z', 'exact_field_match': '1', 'identity_tolerance_match': '1', 'passed': '1'}, {'view': 'target_unlabeled_trial', 'C78_fields': 'Wz|Wz_plus_b|class_margins|logits|prediction|probabilities|target_id|target_trial_id|z', 'C78R_SRC_fields': 'Wz|Wz_plus_b|class_margins|logits|prediction|probabilities|target_id|target_trial_id|z', 'exact_field_match': '1', 'identity_tolerance_match': '1', 'passed': '1'}]",3 exact views,
isolation_table,1,1,"{'target_fit_ids_empty': '1', 'selector_target_read': '0', 'target_outcome_retention_read': '0', 'target_outcome_retry_read': '0', 'target_label_reads_before_freeze': '0', 'training_process_target_rows': '0', 'training_process_source_audit_rows': '0', 'training_process_source_rows': '3456', 'source_training_subjects': '[1, 2, 3, 7, 8, 9]', 'field_frozen_before_C78_view_link': '1', 'passed': '1'}",passed,
GPU_measured,1,1,0.4382564724153942,>0 measured,
storage_measured,1,1,1547548926,>0,
phase_based_compute,1,1,phase-level,phase-level,
expansion_technical_ready,1,1,1,1,
expansion_not_authorized,1,1,0,0,
remaining_scope,1,1,"{'C78_units': '82', 'C78R_SRC_units': '80', 'target4_complete_units': '162', 'full_seed3_units': '1458', 'remaining_units': '1296', 'remaining_training_phases': '48', 'technical_readiness': '1', 'full_seed3_authorized': '0', 'seed4_authorized': '0', 'silent_escalation_allowed': '0', 'gate': 'FULL_SEED3_READY_BUT_NOT_AUTHORIZED'}",1296/48,
seed4_untouched,1,1,"{'seed4_data_access': '0', 'seed4_training_jobs': '0', 'seed4_checkpoints': '0', 'seed4_trial_caches': '0', 'seed4_outcome_reads': '0', 'C79_reserved': '1', 'passed': '1'}",all zero,
BNCI004_untouched,1,1,0,0,
no_blocking_risk,1,1,0,0,
no_scientific_replication_claim,1,1,False,False,
no_measurement_control_claim,1,1,False,False,
no_SRC_transfer_claim,1,1,False,False,
no_selector,1,1,"{'BNCI2014_004_access': False, 'SRC_transfer_claim': False, 'checkpoint_actionability': False, 'checkpoint_recommendation': False, 'full_seed3_expansion_authorized': False, 'manuscript': False, 'measurement_control_replication': False, 'multiregime_scientific_replication': False, 'representation_transport': False, 'seed4_access': False, 'selector': False, 'strict_source_escape_hatch': False}",false,
no_manuscript,1,1,False,False,
no_large_git_payload,1,1,[],[],
C78_artifacts_unchanged,1,1,76,all hash replay,
final_gate,1,1,SRC_CANARY_EXECUTED_AND_VALIDATED_FULL_SEED3_READY_BUT_NOT_AUTHORIZED,successful guarded gate,
