view,field,uses_target_labels,available_to_training,schema_locked
checkpoint_Wb,W,0,0,1
checkpoint_Wb,b,0,0,1
strict_source_trial,Wz,0,0,1
strict_source_trial,Wz_plus_b,0,0,1
strict_source_trial,class_margins,0,0,1
strict_source_trial,logits,0,0,1
strict_source_trial,prediction,0,0,1
strict_source_trial,probabilities,0,0,1
strict_source_trial,source_class_label,0,0,1
strict_source_trial,source_domain_id,0,0,1
strict_source_trial,source_role,0,0,1
strict_source_trial,source_trial_id,0,0,1
strict_source_trial,z,0,0,1
target_unlabeled_trial,Wz,0,0,1
target_unlabeled_trial,Wz_plus_b,0,0,1
target_unlabeled_trial,class_margins,0,0,1
target_unlabeled_trial,logits,0,0,1
target_unlabeled_trial,prediction,0,0,1
target_unlabeled_trial,probabilities,0,0,1
target_unlabeled_trial,target_id,0,0,1
target_unlabeled_trial,target_trial_id,0,0,1
target_unlabeled_trial,z,0,0,1
