unit_id,dataset,target,seed,level,regime,smooth_temperature,epoch,trajectory_order,retention_rule,target_outcome_used_for_retention,executed
c78r_d99c6e6f0b1b29438cb7,BNCI2014_001,4,3,0,SRC,0.1,4,1,every_5_epochs_complete_SRC_trajectory,0,0
c78r_c259a96a18570c5b4f48,BNCI2014_001,4,3,0,SRC,0.1,9,2,every_5_epochs_complete_SRC_trajectory,0,0
c78r_801c7f6695e3e9a3af29,BNCI2014_001,4,3,0,SRC,0.1,14,3,every_5_epochs_complete_SRC_trajectory,0,0
c78r_460d805e1011b2323a76,BNCI2014_001,4,3,0,SRC,0.1,19,4,every_5_epochs_complete_SRC_trajectory,0,0
c78r_214b0697dd4b3c6f0102,BNCI2014_001,4,3,0,SRC,0.1,24,5,every_5_epochs_complete_SRC_trajectory,0,0
c78r_3c79b4f954e04ba1b75c,BNCI2014_001,4,3,0,SRC,0.1,29,6,every_5_epochs_complete_SRC_trajectory,0,0
c78r_49fcdeb4c59deb170c9a,BNCI2014_001,4,3,0,SRC,0.1,34,7,every_5_epochs_complete_SRC_trajectory,0,0
c78r_36112cda99cdaac95c59,BNCI2014_001,4,3,0,SRC,0.1,39,8,every_5_epochs_complete_SRC_trajectory,0,0
c78r_3d9b8838a80a160a2137,BNCI2014_001,4,3,0,SRC,0.1,44,9,every_5_epochs_complete_SRC_trajectory,0,0
c78r_7d556e9ad37595da4779,BNCI2014_001,4,3,0,SRC,0.1,49,10,every_5_epochs_complete_SRC_trajectory,0,0
c78r_6505420602112dfc2890,BNCI2014_001,4,3,0,SRC,0.1,54,11,every_5_epochs_complete_SRC_trajectory,0,0
c78r_cea7577f5725fcc24f5e,BNCI2014_001,4,3,0,SRC,0.1,59,12,every_5_epochs_complete_SRC_trajectory,0,0
c78r_97b5e93e163e6d269df0,BNCI2014_001,4,3,0,SRC,0.1,64,13,every_5_epochs_complete_SRC_trajectory,0,0
c78r_d9684f844fa14124c952,BNCI2014_001,4,3,0,SRC,0.1,69,14,every_5_epochs_complete_SRC_trajectory,0,0
c78r_c82e9fe66cb24a682855,BNCI2014_001,4,3,0,SRC,0.1,74,15,every_5_epochs_complete_SRC_trajectory,0,0
c78r_dd99715066aea042c86c,BNCI2014_001,4,3,0,SRC,0.1,79,16,every_5_epochs_complete_SRC_trajectory,0,0
c78r_cc0d1a69aa6ce2f904ee,BNCI2014_001,4,3,0,SRC,0.1,84,17,every_5_epochs_complete_SRC_trajectory,0,0
c78r_47a25f7734c4bde4e0c0,BNCI2014_001,4,3,0,SRC,0.1,89,18,every_5_epochs_complete_SRC_trajectory,0,0
c78r_5c679383b9851f34cad0,BNCI2014_001,4,3,0,SRC,0.1,94,19,every_5_epochs_complete_SRC_trajectory,0,0
c78r_e81d3cc9e8857757ad75,BNCI2014_001,4,3,0,SRC,0.1,99,20,every_5_epochs_complete_SRC_trajectory,0,0
c78r_bd68ca5e9c5d6f237288,BNCI2014_001,4,3,0,SRC,0.1,104,21,every_5_epochs_complete_SRC_trajectory,0,0
c78r_547a0cfede888deead21,BNCI2014_001,4,3,0,SRC,0.1,109,22,every_5_epochs_complete_SRC_trajectory,0,0
c78r_f403073cecf007f59661,BNCI2014_001,4,3,0,SRC,0.1,114,23,every_5_epochs_complete_SRC_trajectory,0,0
c78r_96be43c36639d75105a8,BNCI2014_001,4,3,0,SRC,0.1,119,24,every_5_epochs_complete_SRC_trajectory,0,0
c78r_3994f82d18042b88577d,BNCI2014_001,4,3,0,SRC,0.1,124,25,every_5_epochs_complete_SRC_trajectory,0,0
c78r_113c99a160f249a6d426,BNCI2014_001,4,3,0,SRC,0.1,129,26,every_5_epochs_complete_SRC_trajectory,0,0
c78r_9cddd3ef5b2ce3832226,BNCI2014_001,4,3,0,SRC,0.1,134,27,every_5_epochs_complete_SRC_trajectory,0,0
c78r_7ee119cde7ad236dc115,BNCI2014_001,4,3,0,SRC,0.1,139,28,every_5_epochs_complete_SRC_trajectory,0,0
c78r_abf9a757176f191397bf,BNCI2014_001,4,3,0,SRC,0.1,144,29,every_5_epochs_complete_SRC_trajectory,0,0
c78r_8cd5418bce5c84a5df2a,BNCI2014_001,4,3,0,SRC,0.1,149,30,every_5_epochs_complete_SRC_trajectory,0,0
c78r_1b3c72bc760011224e4c,BNCI2014_001,4,3,0,SRC,0.1,154,31,every_5_epochs_complete_SRC_trajectory,0,0
