scenario,output,required_in_C85T,computed_in_C85R,status
S6,epsilon_near_optimal_set,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,Hill_2_effective_size,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,entropy_effective_size,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,top_1_probability,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,probability_selected_outside_A_epsilon,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,mean_regret,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,registered_T7_probability_bound,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S6,Monte_Carlo_standard_error,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,epsilon_near_optimal_set,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,Hill_2_effective_size,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,entropy_effective_size,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,top_1_probability,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,probability_selected_outside_A_epsilon,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,mean_regret,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,registered_T7_probability_bound,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
S7,Monte_Carlo_standard_error,1,0,LOCKED_NOT_SCIENTIFICALLY_EXECUTED
