scenario_id,replicate_0_seed,replicate_1_seed,replicate_4095_seed,seed_rule_changed,scientific_draw_generated,status
S0,10534783801861274119,7432870361034137954,11598038515003344623,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S1,16541921652654564549,18074589360228470531,14093905874216226377,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S2,6488576217514980525,11150694567033600341,1247795477130456226,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S3,13383678613400837401,13113183998405533359,4058577115820467862,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S4,5974320881283067291,3518861647543486411,14825747570690285306,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S5,9731287647397682260,15991320092146014485,767542765795207824,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S6,13359223879910084082,3250087377413934879,8020479728050576633,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S7,7679562534335744875,7777053396756056987,15273255445860849799,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S8,6285172276355049627,2927776837483469280,15925282381846850687,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S9,15058761008664911896,3075859915575776019,4594813350394476710,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
S10,17687316942244131165,7249116589912568565,11744323323056344021,0,0,SEMANTICALLY_VALIDATED_NOT_SCIENTIFICALLY_EXECUTED
