check_id,check,observed,blocking,status
RT01,repair_protocol_hash,2e199f6f63dffd1b02c1e31102ed189e31bf6e4961465394230f8e9de1d4ddf0,0,PASS
RT02,external_V3_hash,cd338bf1b97180b27dd42471dd2a67768194b74ed9896275424591d17e970ce0,0,PASS
RT03,canary_V2_hash,6e6bcb6b60726c76c8db0afc48e954d0e4a1cf68bfd29796987bfd6828355616,0,PASS
RT04,field_V6_hash,cd8646403a7564e9d1a7e3d64104483cbd56ac85bebaafa1244afdde8a8ed310,0,PASS
RT05,science_V3_hash,bf6c7f718413b4b2ac2ad9786aa2e47dc045a536e7237d5d8c0464b6598130b8,0,PASS
RT06,execution_lock_V2_hash,f9ebd88c72915bb41ba2d2d84a2a00c6748272021d48043c299bce52a1ad3813,0,PASS
RT07,runtime_bound_object_replay,125_of_125,0,PASS
RT08,protocol_binding_replay,5_of_5,0,PASS
RT09,implementation_file_count,44,0,PASS
RT10,canary_unit_count,243,0,PASS
RT11,canary_unit_digest,db0c41a8caeb7d0fffd6938554c660eec36582596f12915b8b981c05bc092b95,0,PASS
RT12,montage_digest,988e8f89c3001a5144172a10f3a8b30eb50c28d485b900210b91ed1a0cf04f04,0,PASS
RT13,intervention_registry_hash,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,0,PASS
RT14,historical_lock_preserved_nonoperative,True,0,PASS
RT15,historical_authorization_consumed,True,0,PASS
RT16,failed_job_preserved,895928,0,PASS
RT17,failed_partial_artifact_reuse,False,0,PASS
RT18,failed_attempt_target_y_access,0,0,PASS
RT19,failed_attempt_target_scientific_metrics,0,0,PASS
RT20,failed_attempt_construction_evaluation_oracle_access,0,0,PASS
RT21,failed_root_preserved,True,0,PASS
RT22,replacement_external_root_absent,True,0,PASS
RT23,fresh_authorization_record_absent,True,0,PASS
RT24,C84F_execution_lock_absent,True,0,PASS
RT25,C84S_execution_lock_absent,True,0,PASS
RT26,linear_replay_tolerance,2e-5,0,PASS
RT27,strict_identity_tolerance,1e-6,0,PASS
RT28,observed_failure_inside_repaired_tolerance,True,0,PASS
RT29,above_repaired_tolerance_fails_closed,True,0,PASS
RT30,replacement_full_retrain_units,243,0,PASS
RT31,source_artifact_complete_gate,243,0,PASS
RT32,target_artifact_complete_gate,243,0,PASS
RT33,candidate_identity_unchanged,True,0,PASS
RT34,level_intervention_unchanged,True,0,PASS
RT35,synthetic_cases,12_of_12,0,PASS
RT36,focused_regression,175_passed,0,PASS
RT37,C65_regression,661_passed,0,PASS
RT38,C23_regression,1072_passed,0,PASS
RT39,full_regression,1996_passed,0,PASS
RT40,all_regression_stderr_empty,True,0,PASS
RT41,active_jobs_absent_by_squeue,True,0,PASS
RT42,tracked_payload_below_50MiB,True,0,PASS
RT43,tracked_weight_cache_extensions_absent,True,0,PASS
RT44,verification_HEAD_equals_origin,True,0,PASS
