object,path,expected_sha256,observed_sha256,status
repair_protocol,oaci/reports/C84L1R1_FLOAT32_LINEAR_REPLAY_REPAIR_PROTOCOL.json,2e199f6f63dffd1b02c1e31102ed189e31bf6e4961465394230f8e9de1d4ddf0,2e199f6f63dffd1b02c1e31102ed189e31bf6e4961465394230f8e9de1d4ddf0,PASS
external_protocol_v3,oaci/reports/C84_MULTIDATASET_EXTERNAL_VALIDITY_PROTOCOL_V3.json,cd338bf1b97180b27dd42471dd2a67768194b74ed9896275424591d17e970ce0,cd338bf1b97180b27dd42471dd2a67768194b74ed9896275424591d17e970ce0,PASS
level1_canary_protocol_v2,oaci/reports/C84_LEVEL1_CANARY_PROTOCOL_V2.json,6e6bcb6b60726c76c8db0afc48e954d0e4a1cf68bfd29796987bfd6828355616,6e6bcb6b60726c76c8db0afc48e954d0e4a1cf68bfd29796987bfd6828355616,PASS
field_protocol_v6,oaci/reports/C84_FIELD_GENERATION_PROTOCOL_V6.json,cd8646403a7564e9d1a7e3d64104483cbd56ac85bebaafa1244afdde8a8ed310,cd8646403a7564e9d1a7e3d64104483cbd56ac85bebaafa1244afdde8a8ed310,PASS
scientific_protocol_v3,oaci/reports/C84_SCIENTIFIC_ANALYSIS_PROTOCOL_V3.json,bf6c7f718413b4b2ac2ad9786aa2e47dc045a536e7237d5d8c0464b6598130b8,bf6c7f718413b4b2ac2ad9786aa2e47dc045a536e7237d5d8c0464b6598130b8,PASS
execution_lock_v2,oaci/reports/C84L1C_EXECUTION_LOCK_V2.json,f9ebd88c72915bb41ba2d2d84a2a00c6748272021d48043c299bce52a1ad3813,f9ebd88c72915bb41ba2d2d84a2a00c6748272021d48043c299bce52a1ad3813,PASS
runtime_bound_objects,oaci/reports/c84l1r1_tables/runtime_bound_object_registry.csv,125,125,PASS
implementation_files,oaci/reports/C84L1C_EXECUTION_LOCK_V2.json,44,44,PASS
canary_unit_digest,oaci/reports/C84L1C_EXECUTION_LOCK_V2.json,db0c41a8caeb7d0fffd6938554c660eec36582596f12915b8b981c05bc092b95,db0c41a8caeb7d0fffd6938554c660eec36582596f12915b8b981c05bc092b95,PASS
level_intervention_registry,oaci/reports/c84l1p_tables/level_intervention_registry.csv,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,89c4f366a222c1fe2ac31780bcbddbc9e59ff5afa4a779267abbd95429c41c17,PASS
