risk,status,blocking,control,scientific_registry_changed
failed_real_engineering_attempt_not_disclosed,ACCEPTED_DISCLOSED,0,job_895928_failure_record,0
target_y_or_scientific_outcome_contamination,CLOSED,0,all_protected_counters_zero,0
failed_partial_artifact_reuse,CLOSED,0,failed_root_nonreusable_and_full_243_retrain,0
historical_authorization_reuse,CLOSED,0,fresh_V2_authorization_record_required,0
silent_same_lock_rerun,CLOSED,0,new_protocol_new_lock_new_root,0
linear_tolerance_too_narrow,CLOSED,0,engineering_calibration_and_2e-5_bound,0
linear_tolerance_applied_to_strict_checks,CLOSED,0,strict_softmax_repeat_checks_remain_1e-6,0
nonfinite_or_schema_drift_accepted,CLOSED,0,fail_closed_validation,0
scientific_registry_or_threshold_changed,CLOSED,0,engineering_tolerance_only,0
candidate_identity_drift,CLOSED,0,canary_digest_exact_replay,0
level_intervention_drift,CLOSED,0,registry_SHA_exact_replay,0
level0_C84C_reuse_drift,CLOSED,0,accepted_manifest_and_plan_replay,0
runtime_bound_object_drift,CLOSED,0,125_SHA_and_blob_replays,0
replacement_root_precreated,CLOSED,0,root_absent_at_readiness,0
partial_completion_called_complete,CLOSED,0,complete_gate_requires_243_of_243,0
target_label_or_metric_emission,CLOSED,0,structural_prohibitions_and_complete_gate_zeroes,0
C84F_or_C84S_scope_creep,CLOSED,0,no_execution_locks_and_forbidden_scope,0
active_job_left_running,CLOSED,0,squeue_empty_for_all_C84L1R1_jobs,0
raw_EEG_weights_optimizer_or_cache_in_Git,CLOSED,0,extension_and_size_scan,0
