seed,target,level,regime,selected_joint_good,has_binary_joint_neighbor,has_continuous_better,selected_to_continuous_better_joint_min_delta,selected_to_continuous_better_norm_regret_reduction,selected_to_oracle_joint_min_delta,selected_to_oracle_norm_regret_reduction,threshold_artifact,continuous_pair_case
0,1,0,S0_full_support,0,1,1,0.6095566124877776,0.7825129095188046,1.5175038380149355,1.4740989346682798,0,gauge_jump
0,1,0,S2_rare_cells,0,1,1,0.6095566124877776,0.7825129095188046,1.5175038380149355,1.4740989346682798,0,source_active_misranking
0,1,0,S3_nonestimable_cells,0,1,1,0.6095566124877776,0.7825129095188046,1.5175038380149355,1.4740989346682798,0,source_active_misranking
0,1,1,S0_full_support,1,0,1,-0.06076721853526634,0.11459495812646225,0.16102382747804814,0.4045235435041362,,source_active_misranking
0,1,1,S2_rare_cells,1,0,1,-0.06076721853526634,0.11459495812646225,0.16102382747804814,0.4045235435041362,,endpoint_tradeoff
0,1,1,S3_nonestimable_cells,1,0,1,-0.06076721853526634,0.11459495812646225,0.16102382747804814,0.4045235435041362,,source_active_misranking
0,2,0,S0_full_support,1,0,1,0.815643208806299,0.8428721151206853,0.9647308822802707,1.216198439106435,,endpoint_tradeoff
0,2,0,S2_rare_cells,1,0,1,0.815643208806299,0.8428721151206853,0.9647308822802707,1.216198439106435,,endpoint_tradeoff
0,2,0,S3_nonestimable_cells,1,0,1,0.815643208806299,0.8428721151206853,0.9647308822802707,1.216198439106435,,endpoint_tradeoff
0,2,1,S0_full_support,0,1,1,0.7666845342393658,1.0757390364291197,1.8752389911990117,3.0893786753542423,0,real_endpoint_regret
0,2,1,S2_rare_cells,0,1,1,0.7666845342393658,1.0757390364291197,1.8752389911990117,3.0893786753542423,0,real_endpoint_regret
0,2,1,S3_nonestimable_cells,0,1,1,0.7666845342393658,1.0757390364291197,1.8752389911990117,3.0893786753542423,0,real_endpoint_regret
0,3,0,S0_full_support,0,1,1,1.8008338401815172,2.5279515507766437,1.8008338401815172,2.5279515507766437,0,real_endpoint_regret
0,3,0,S2_rare_cells,0,1,1,1.8008338401815172,2.5279515507766437,1.8008338401815172,2.5279515507766437,0,real_endpoint_regret
0,3,0,S3_nonestimable_cells,0,1,1,1.8008338401815172,2.5279515507766437,1.8008338401815172,2.5279515507766437,0,real_endpoint_regret
0,3,1,S0_full_support,0,0,1,0.3250968599934786,0.2539065885351248,0.3250968599934786,0.2539065885351248,,real_endpoint_regret
0,3,1,S2_rare_cells,0,0,1,0.3250968599934786,0.2539065885351248,0.3250968599934786,0.2539065885351248,,real_endpoint_regret
0,3,1,S3_nonestimable_cells,0,0,1,0.3250968599934786,0.2539065885351248,0.3250968599934786,0.2539065885351248,,real_endpoint_regret
0,4,0,S0_full_support,1,0,0,0.0,0.0,0.0,0.0,,continuous_tiny_or_no_regret
