seed,target,level,regime,order,epoch,selected_oaci,primary_joint_good,target_bacc_delta,target_nll_delta,target_ece_delta,target_bacc_z,target_nll_z,target_ece_z,continuous_joint_min_margin,pareto_distance,dominated_hypervolume_regret,endpoint_vector_norm_regret
0,1,0,S0_full_support,0,9,0,0,-0.04861111111111105,-0.12277317032664192,-0.0351062044494867,-1.131205034226137,-0.6078256772234867,-0.667282334994652,-1.131205034226137,1.1157499349289202,8.767564194305562,2.0270100848338366
0,1,0,S0_full_support,1,14,0,0,-0.07118055555555552,-0.10944452487823897,-0.05626794751342262,-1.6594874317155468,-0.5579959282595317,-0.9084647174955932,-1.6594874317155468,1.2520299187594126,11.878579710826353,2.531530862786263
0,1,0,S0_full_support,2,19,0,0,-0.09027777777777773,-0.1438070849761095,-0.0403193959013039,-2.106495614206585,-0.6864619265535197,-0.726697569882631,-2.106495614206585,1.2310617818687448,13.736923779899154,2.8360255377863277
0,1,0,S0_full_support,3,24,0,0,-0.07118055555555552,-0.07562024445536042,-0.015448062680400637,-1.6594874317155468,-0.4315423130828743,-0.443236638329454,-1.6594874317155468,0.8385237504084795,8.705643581763752,2.2548886967591986
0,1,0,S0_full_support,4,74,0,0,-0.05381944444444442,-0.047936032564959596,0.006662237925175729,-1.2531163567236938,-0.3280436241798018,-0.1912434560214799,-1.2531163567236938,0.6225977066111246,5.842357936030176,1.769997850912843
0,1,0,S0_full_support,5,79,0,0,-0.012152777777777735,-0.050013778250168395,-0.002739321618334567,-0.27782577674324627,-0.33581137119548227,-0.2983939172607791,-0.33581137119548227,0.6784016745524295,3.456347568148569,1.1531322273827322
0,1,0,S0_full_support,6,84,0,0,-0.046875,-0.15668491132812234,-0.020095809337104642,-1.0905679267269532,-0.7346062677625578,-0.4962074455327131,-1.0905679267269532,1.1226466370942774,8.465028853798875,1.960748527935573
0,1,0,S0_full_support,7,89,0,0,-0.0017361111111110494,-0.04886554644846175,0.025313800252707727,-0.03400313174813406,-0.3315186542308843,0.021330159768480163,-0.3315186542308843,0.3730817125627465,2.087771433383777,0.8299123730952574
0,1,0,S0_full_support,8,94,0,1,0.01041666666666663,0.012701755886817656,0.031697503053146336,0.25045662074616076,-0.10134648620142514,0.09408582294499704,-0.10134648620142514,0.0,0.9550165200586962,0.569506592766288
0,1,0,S0_full_support,9,99,0,0,-0.03472222222222221,0.012217729154335277,-0.0009808297277906775,-0.8061081742326559,-0.10315604221856192,-0.278352219254685,-0.8061081742326559,0.48004663834918626,4.0586425836384175,1.3846929443462033
0,1,0,S0_full_support,10,109,0,0,-0.07986111111111105,-0.07499866748207729,-0.01877244423845162,-1.8626729692114727,-0.4292185192164702,-0.4811249286319354,-1.8626729692114727,0.8596257157052574,9.566421482475507,2.444426974619483
0,1,0,S0_full_support,11,124,0,0,-0.05034722222222221,-0.08464839122109424,-0.0002014861791690692,-1.1718421417253235,-0.4652944515644453,-0.2694699672929538,-1.1718421417253235,0.7797228166606247,6.521937371813636,1.7868200636897473
0,1,0,S0_full_support,12,139,0,0,-0.057291666666666574,0.05135524329476504,0.013516742103799939,-1.334390571722063,0.04316133956193461,-0.11312202511342673,-1.334390571722063,0.26087280710770466,4.154736491736766,1.7283345014580702
0,1,0,S0_full_support,13,149,0,0,-0.052083333333333315,0.06990924057634174,0.049595082405263696,-1.2124792492245087,0.1125263046964561,0.29806622361906443,-1.2124792492245087,0.13248667355490223,2.4812412557044796,1.4897266858258773
0,1,0,S0_full_support,14,154,0,0,-0.08159722222222215,0.1053472657554162,0.028016841506376816,-1.9033100767106579,0.24501297825135832,0.052136975992861094,-1.9033100767106579,0.0,3.7118064032996303,2.209699464439071
0,1,0,S0_full_support,15,164,1,0,-0.06944444444444436,0.03420579567024129,0.0027632765150278904,-1.6188503242163605,-0.020952652614435054,-0.23568028711509897,-1.6188503242163605,0.3918883689838169,5.472442326407045,2.043605527434568
0,1,0,S0_full_support,16,169,0,0,-0.04340277777777779,0.08978787273141742,0.07136341917870231,-1.009293711728583,0.1868434777256863,0.5461620118647937,-1.009293711728583,0.0,1.3911988806275204,1.2610926179157633
0,1,0,S0_full_support,17,179,0,0,-0.08333333333333331,0.029039253863935244,0.033570153694730154,-1.9439471842098444,-0.04026800481707438,0.11542859900860064,-1.9439471842098444,0.28816074300013844,4.874171419638033,2.254401155840865
0,1,0,S0_full_support,18,189,0,0,-0.0798611111111111,-0.050158755058147486,-0.004750675170031554,-1.862672969211474,-0.33635337360489137,-0.32131750347881266,-1.862672969211474,0.6909812467123139,8.19359863343897,2.3570795931758317
