seed,target,level,regime,primary_selected_joint_good,robust_selected_joint_good,has_binary_joint_neighbor,has_continuous_better,continuous_regret_status,threshold_artifact,primary_continuous_pair_case,robust_continuous_pair_case
0,1,0,S0_full_support,0,0,1,1,real_endpoint_regret,0,gauge_jump,gauge_jump
0,1,0,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,1,0,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,1,1,S0_full_support,1,0,0,1,real_endpoint_regret,,source_active_misranking,source_active_misranking
0,1,1,S2_rare_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,1,1,S3_nonestimable_cells,1,0,0,1,real_endpoint_regret,,source_active_misranking,source_active_misranking
0,2,0,S0_full_support,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,2,0,S2_rare_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,2,0,S3_nonestimable_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,2,1,S0_full_support,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,2,1,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,2,1,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,3,0,S0_full_support,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,3,0,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,3,0,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,3,1,S0_full_support,0,0,0,1,real_endpoint_regret,,real_endpoint_regret,real_endpoint_regret
0,3,1,S2_rare_cells,0,0,0,1,real_endpoint_regret,,real_endpoint_regret,real_endpoint_regret
0,3,1,S3_nonestimable_cells,0,0,0,1,real_endpoint_regret,,real_endpoint_regret,real_endpoint_regret
0,4,0,S0_full_support,1,1,0,0,no_near_continuous_better,,continuous_tiny_or_no_regret,continuous_tiny_or_no_regret
0,4,0,S2_rare_cells,1,1,0,0,no_near_continuous_better,,continuous_tiny_or_no_regret,continuous_tiny_or_no_regret
0,4,0,S3_nonestimable_cells,1,1,0,0,no_near_continuous_better,,continuous_tiny_or_no_regret,continuous_tiny_or_no_regret
0,4,1,S0_full_support,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,4,1,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,4,1,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,5,0,S0_full_support,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,5,0,S2_rare_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,5,0,S3_nonestimable_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,5,1,S0_full_support,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,5,1,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,5,1,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,6,0,S0_full_support,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,6,0,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,6,0,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,6,1,S0_full_support,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,6,1,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,6,1,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,7,0,S0_full_support,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,7,0,S2_rare_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,7,0,S3_nonestimable_cells,1,0,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,7,1,S0_full_support,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,7,1,S2_rare_cells,0,0,1,1,real_endpoint_regret,0,real_endpoint_regret,real_endpoint_regret
0,7,1,S3_nonestimable_cells,0,0,1,1,real_endpoint_regret,0,source_active_misranking,source_active_misranking
0,8,0,S0_full_support,1,1,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
0,8,0,S2_rare_cells,1,1,0,1,real_endpoint_regret,,endpoint_tradeoff,endpoint_tradeoff
