strategy,info_class,neighborhood,mean_strategy_top1_regret,mean_local_random_regret,regret_delta_vs_source,non_source_only
source_score,source_only,epoch_pm20,0.27007994637344845,0.4951534120825539,0.0,0
source_score,source_only,pm1,0.31020801146880234,0.3532453604328851,0.0,0
source_score,source_only,pm2,0.3252887669291196,0.4920543638916534,0.0,0
source_score,source_only,pm3,0.39856567248901553,0.5568063813601735,0.0,0
source_score,source_only,same_cluster,0.2518158766269199,0.39260657013179956,0.0,0
target_grouped_centered_score,target_grouped_non_deployable,epoch_pm20,0.27007994637344845,0.4951534120825539,0.0,1
target_grouped_centered_score,target_grouped_non_deployable,pm1,0.31020801146880234,0.3532453604328851,0.0,1
target_grouped_centered_score,target_grouped_non_deployable,pm2,0.3252887669291196,0.4920543638916534,0.0,1
target_grouped_centered_score,target_grouped_non_deployable,pm3,0.39856567248901553,0.5568063813601735,0.0,1
target_grouped_centered_score,target_grouped_non_deployable,same_cluster,0.2518158766269199,0.39260657013179956,0.0,1
target_label_oracle_score,target_label_oracle_non_deployable,epoch_pm20,0.010415355678642392,0.4951534120825539,-0.2596645906948061,1
target_label_oracle_score,target_label_oracle_non_deployable,pm1,0.01656395252016725,0.3532453604328851,-0.2936440589486351,1
target_label_oracle_score,target_label_oracle_non_deployable,pm2,0.016547865469543673,0.4920543638916534,-0.30874090145957594,1
target_label_oracle_score,target_label_oracle_non_deployable,pm3,0.05005446929537446,0.5568063813601735,-0.3485112031936411,1
target_label_oracle_score,target_label_oracle_non_deployable,same_cluster,0.07884359604307163,0.39260657013179956,-0.17297228058384828,1
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,epoch_pm20,0.5562778114913293,0.4951534120825539,0.2861978651178808,1
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm1,0.3477090702997784,0.3532453604328851,0.03750105883097604,1
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm2,0.4535208079272077,0.4920543638916534,0.1282320409980881,1
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,pm3,0.5323883334967876,0.5568063813601735,0.13382266100777207,1
target_unlabeled_r3_score,target_unlabeled_R3_non_source_only,same_cluster,0.47310658657749993,0.39260657013179956,0.22129070995058003,1
