component,component_family,available,n_pairs,wrong_direction_fraction,flat_fraction,correct_fraction,mean_component_delta,mean_target_joint_min_gain
source_score,OACI_selector_score,True,252,0.23809523809523808,0.0992063492063492,0.6626984126984127,0.08299741253496577,0.7773656849569102
selection_leakage,leakage_component,True,252,0.015873015873015872,0.10714285714285714,0.876984126984127,0.16947107607316558,0.7773656849569102
audit_leakage,leakage_component,True,252,0.06349206349206349,0.6785714285714286,0.25793650793650796,0.009265943625067462,0.7773656849569102
R_src,source_risk,True,252,0.16666666666666666,0.5,0.3333333333333333,0.015136319144703087,0.7773656849569102
source_guard_nll,source_endpoint,True,252,0.15476190476190477,0.49206349206349204,0.3531746031746032,0.014934436846037066,0.7773656849569102
source_audit_nll,source_endpoint,True,252,0.4444444444444444,0.11507936507936507,0.44047619047619047,-0.012862579226017424,0.7773656849569102
source_guard_ece,source_endpoint,True,252,0.1865079365079365,0.6547619047619048,0.15873015873015872,0.0007487808119561745,0.7773656849569102
source_audit_ece,source_endpoint,True,252,0.38492063492063494,0.3253968253968254,0.2896825396825397,-0.007157803214077108,0.7773656849569102
source_audit_confidence,calibration_softness,True,252,0.19047619047619047,0.44047619047619047,0.36904761904761907,0.011424351908417778,0.7773656849569102
robust_core_score,C19_robust_core,True,252,0.14682539682539683,0.15476190476190477,0.6984126984126984,0.12049872652130524,0.7773656849569102
c30_source_rank,C30_source_rank,True,252,0.2698412698412698,0.0,0.7301587301587301,0.25333673656008227,0.7773656849569102
source_audit_worst_bacc,source_endpoint,False,0,,,,,
