dataset,fold,seed,method,selected_lambda
BNCI2014_001,0,0,cigl_nested,0.01
BNCI2014_001,0,1,cigl_nested,0.03
BNCI2014_001,0,2,cigl_nested,0.0
BNCI2014_001,1,0,cigl_nested,0.01
BNCI2014_001,1,1,cigl_nested,0.003
BNCI2014_001,1,2,cigl_nested,0.0
BNCI2014_001,2,0,cigl_nested,0.03
BNCI2014_001,2,1,cigl_nested,0.003
BNCI2014_001,2,2,cigl_nested,0.03
BNCI2014_001,3,0,cigl_nested,0.003
BNCI2014_001,3,1,cigl_nested,0.003
BNCI2014_001,3,2,cigl_nested,0.03
BNCI2014_001,4,0,cigl_nested,0.03
BNCI2014_001,4,1,cigl_nested,0.01
BNCI2014_001,4,2,cigl_nested,0.01
BNCI2014_001,5,0,cigl_nested,0.01
BNCI2014_001,5,1,cigl_nested,0.0
BNCI2014_001,5,2,cigl_nested,0.01
BNCI2014_001,6,0,cigl_nested,0.0
BNCI2014_001,6,1,cigl_nested,0.03
BNCI2014_001,6,2,cigl_nested,0.01
BNCI2014_001,7,0,cigl_nested,0.01
BNCI2014_001,7,1,cigl_nested,0.03
BNCI2014_001,7,2,cigl_nested,0.03
BNCI2014_001,8,0,cigl_nested,0.03
BNCI2014_001,8,1,cigl_nested,0.01
BNCI2014_001,8,2,cigl_nested,0.03
BNCI2015_001,0,0,cigl_nested,0.003
BNCI2015_001,0,1,cigl_nested,0.0
BNCI2015_001,0,2,cigl_nested,0.003
BNCI2015_001,1,0,cigl_nested,0.003
BNCI2015_001,1,1,cigl_nested,0.003
BNCI2015_001,1,2,cigl_nested,0.01
BNCI2015_001,2,0,cigl_nested,0.0
BNCI2015_001,2,1,cigl_nested,0.003
BNCI2015_001,2,2,cigl_nested,0.0
BNCI2015_001,3,0,cigl_nested,0.0
BNCI2015_001,3,1,cigl_nested,0.003
BNCI2015_001,3,2,cigl_nested,0.0
BNCI2015_001,4,0,cigl_nested,0.0
BNCI2015_001,4,1,cigl_nested,0.0
BNCI2015_001,4,2,cigl_nested,0.0
BNCI2015_001,5,0,cigl_nested,0.0
BNCI2015_001,5,1,cigl_nested,0.0
BNCI2015_001,5,2,cigl_nested,0.0
BNCI2015_001,6,0,cigl_nested,0.0
BNCI2015_001,6,1,cigl_nested,0.0
BNCI2015_001,6,2,cigl_nested,0.0
BNCI2015_001,7,0,cigl_nested,0.03
BNCI2015_001,7,1,cigl_nested,0.03
BNCI2015_001,7,2,cigl_nested,0.03
BNCI2015_001,8,0,cigl_nested,0.0
BNCI2015_001,8,1,cigl_nested,0.0
BNCI2015_001,8,2,cigl_nested,0.0
BNCI2015_001,9,0,cigl_nested,0.0
BNCI2015_001,9,1,cigl_nested,0.003
BNCI2015_001,9,2,cigl_nested,0.03
BNCI2015_001,10,0,cigl_nested,0.0
BNCI2015_001,10,1,cigl_nested,0.0
BNCI2015_001,10,2,cigl_nested,0.0
BNCI2015_001,11,0,cigl_nested,0.0
BNCI2015_001,11,1,cigl_nested,0.003
BNCI2015_001,11,2,cigl_nested,0.0
