dataset,method,metric,raw_mean,cluster_ci_lo,cluster_ci_hi,n_folds,n_clusters,n_rows,seed_sd_descriptive
BNCI2014_001,cigl_graph_node,target_bacc,0.334619341563786,0.2842062114197531,0.38689557613168724,9,9,27,0.0798018105346608
BNCI2014_001,cigl_graph_node,source_bacc,0.4859765288544358,0.47009582256675286,0.5018303186907838,9,9,27,0.026695556773383148
BNCI2014_001,cigl_graph_node,graph_kl,0.726378944185045,0.6559405611621009,0.7923967487834118,9,9,27,0.12915036688104775
BNCI2014_001,cigl_graph_node,node_kl,0.33257884725376413,0.3042173126229534,0.362473796211459,9,9,27,0.05264529046531772
BNCI2014_001,cigl_graph_node,graph_perm_p,0.0196078431372549,0.0196078431372549,0.0196078431372549,9,9,27,0.0
BNCI2014_001,cigl_graph_node,node_perm_p,0.0196078431372549,0.0196078431372549,0.0196078431372549,9,9,27,0.0
BNCI2014_001,cigl_graph_node,R_rel_k2,0.016846707818930037,0.0038580246913580353,0.030606995884773655,9,9,27,0.02403218740950455
BNCI2014_001,cigl_graph_node,R_rel_k2_random_control,0.0005144032921810702,-0.002636316872427974,0.0032150205761316947,9,9,27,0.01017613689097745
BNCI2014_001,cigl_graph_node,marginal_moment_gap,0.3281041578139479,0.23524197502498703,0.42688354798882683,9,9,27,0.17009489062491512
BNCI2014_001,cigl_graph_node,class_conditional_moment_gap,0.41841331497349565,0.3100824649196418,0.5322022115219266,9,9,27,0.1994454537992743
BNCI2014_001,cigl_graph_node,per_domain_risk_variance,0.09276440876583478,0.08790040065663243,0.09821707577527013,9,9,27,0.017589946551997835
BNCI2014_001,cigl_graph_node,irmv1_diagnostic,0.19016031333505085,0.17575902678011468,0.20678117192156725,9,9,27,0.042451854928773604
BNCI2014_001,cigl_graph_node,feature_norm,7.1487420796462615,6.4957868889293655,7.791267143898708,9,9,27,1.1911679589131081
BNCI2014_001,cigl_graph_node,top_singular_value,135.39734408889197,120.15761142023189,151.45411796227987,9,9,27,29.415032024877203
BNCI2014_001,cigl_graph_node,effective_rank,38.693976475201396,37.934778268126934,39.42110453727486,9,9,27,1.4530762768292647
BNCI2014_001,cigl_nested,target_bacc,0.33867026748971196,0.28716563786008226,0.39139821244855966,9,9,27,0.08031679954185096
BNCI2014_001,cigl_nested,source_bacc,0.4850075366063738,0.47036431416882,0.49951617678725235,9,9,27,0.023866166410668372
BNCI2014_001,cigl_nested,graph_kl,0.6788700347145399,0.5105729065007634,0.8641252944797828,9,9,27,0.4681615702617132
BNCI2014_001,cigl_nested,node_kl,0.30497971756590736,0.23309950733350385,0.38459864175981945,9,9,27,0.19505802411926745
