dataset,method,expected_cells,present_cells,complete
BNCI2014_001,cigl_graph_node,27,27,True
BNCI2014_001,cigl_nested,27,27,True
BNCI2014_001,cond_dann,27,27,True
BNCI2014_001,coral,27,27,True
BNCI2014_001,erm,27,27,True
BNCI2014_001,irm,27,27,True
BNCI2014_001,label_coral,27,27,True
BNCI2014_001,vrex,27,27,True
BNCI2015_001,cigl_graph_node,36,36,True
BNCI2015_001,cigl_nested,36,36,True
BNCI2015_001,cond_dann,36,36,True
BNCI2015_001,coral,36,36,True
BNCI2015_001,erm,36,36,True
BNCI2015_001,irm,36,36,True
BNCI2015_001,label_coral,36,36,True
BNCI2015_001,vrex,36,36,True
