dataset,method,metric,delta_mean,cluster_ci_lo,cluster_ci_hi,n_clusters
BNCI2014_001,cigl_graph_node,target_bacc,0.007908950617283928,0.0005787037037036954,0.016139403292181054,9
BNCI2014_001,cigl_nested,target_bacc,0.011959876543209853,0.0036008230452674686,0.020769032921810666,9
BNCI2014_001,cond_dann,target_bacc,0.002957818930041147,-0.014919302983539101,0.02334104938271605,9
BNCI2014_001,coral,target_bacc,0.004693930041152243,6.430041152263557e-05,0.009194958847736603,9
BNCI2014_001,irm,target_bacc,0.011059670781892995,0.004243827160493812,0.019225823045267473,9
BNCI2014_001,label_coral,target_bacc,0.004050925925925906,-0.0012217078189300573,0.009132265946502039,9
BNCI2014_001,vrex,target_bacc,-0.0016718106995884693,-0.007073045267489721,0.004565329218107008,9
BNCI2014_001,cigl_graph_node,graph_kl,-0.5713445389712298,-0.6228674740151122,-0.525350742869907,9
BNCI2014_001,cigl_nested,graph_kl,-0.6188534484417351,-0.7660113878548145,-0.4581490973355595,9
BNCI2014_001,cond_dann,graph_kl,-0.9531995747928266,-1.0014419504061893,-0.9051762350179531,9
BNCI2014_001,coral,graph_kl,-0.1300822275656241,-0.1363287941173271,-0.12415258531217226,9
BNCI2014_001,irm,graph_kl,-0.03545246300873934,-0.03926449903735411,-0.03156832081300245,9
BNCI2014_001,label_coral,graph_kl,-0.12013351034235072,-0.1254922032356262,-0.11498683271584693,9
BNCI2014_001,vrex,graph_kl,-0.07520817827295374,-0.08457817744325698,-0.06624643890945998,9
BNCI2014_001,cigl_graph_node,node_kl,-0.2004212819867664,-0.21887047798545273,-0.18145603729342974,9
BNCI2014_001,cigl_nested,node_kl,-0.2280204116746231,-0.27912154959307783,-0.1715929615828726,9
BNCI2014_001,cond_dann,node_kl,-0.20000973012712267,-0.23207951916588676,-0.1646751294257464,9
BNCI2014_001,coral,node_kl,-0.07900641803388242,-0.08525487118297154,-0.07255016672942374,9
BNCI2014_001,irm,node_kl,-0.03639062356065822,-0.04087339311286256,-0.03181213239828747,9
BNCI2014_001,label_coral,node_kl,-0.07430571869567588,-0.08002842457758055,-0.06841176527517814,9
BNCI2014_001,vrex,node_kl,-0.06127446779498347,-0.06950591283815875,-0.05348509632878835,9
BNCI2014_001,cigl_graph_node,R_rel_k2,0.01498199588477366,0.0023148148148148255,0.028613683127572016,9
BNCI2014_001,cigl_nested,R_rel_k2,0.033500514403292186,0.010866769547325105,0.057421874999999976,9
BNCI2014_001,cond_dann,R_rel_k2,0.028227880658436226,0.012474279835390943,0.046875000000000014,9
BNCI2014_001,coral,R_rel_k2,0.002957818930041149,-0.0013503086419753025,0.007330246913580238,9
BNCI2014_001,irm,R_rel_k2,0.003600823045267499,-0.0025720164609053337,0.009709362139917709,9
BNCI2014_001,label_coral,R_rel_k2,0.002057613168724281,-0.0027649176954732593,0.007265946502057625,9
BNCI2014_001,vrex,R_rel_k2,-0.0014789094650205698,-0.004951131687242779,0.0016091177983539083,9
