provenance_id,milestone,metric,value,value_fmt_3,artifact,table,row_key,trace_status,note
K_C31_joint_good_rate,C31,joint_good_rate,0.4242902208201893,0.424,oaci/reports/C31_ENDPOINT_AXIS_GEOMETRY.json,,,verified,Good checkpoints exist in the candidate registry.
K_C31_joint_pareto_exists_fraction,C31,joint_good_pareto_exists_fraction,0.9444444444444444,0.944,oaci/reports/C31_ENDPOINT_AXIS_GEOMETRY.json,,,verified,
K_C31_source_joint_within_target_auc,C31,source_rank_joint_strength_within_target,0.1718077295200574,0.172,oaci/reports/C31_ENDPOINT_AXIS_GEOMETRY.json,,,verified,
K_C42_source_rank_top1_joint,C42,source_rank_top1_joint,0.5061728395061729,0.506,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json,,,verified,
K_C42_random_base,C42,random_base,0.4297233780360411,0.430,oaci/reports/C42_SOURCE_RANK_ACTIONABILITY_AUDIT.json,,,verified,
K_C43_best_source_scalarization_top1,C43,best_source_scalarization_top1,0.5740740740740741,0.574,oaci/reports/C43_SOURCE_OBJECTIVE_SCALARIZATION_FRONTIER.json,,,verified,
K_C44_source_pareto_front_fraction,C44,source_pareto_front_fraction,0.9724614975980579,0.972,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json,,,verified,
K_C44_front_good_probability,C44,p_good_front,0.43105701988584916,0.431,oaci/reports/C44_SOURCE_PARETO_DEGENERACY_AUDIT.json,,,verified,
K_C46_within_target_q10,C46,within_target_q10_divergent,0.004842615012106538,0.005,oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json,,,verified,
K_C46_within_trajectory_q10,C46,within_trajectory_q10_divergent,0.13287671232876713,0.133,oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json,,,verified,
K_C46_cross_target_q10,C46,cross_target_q10_divergent,0.9369369369369369,0.937,oaci/reports/C46_CONDITIONING_BOUNDARY_AUDIT.json,,,verified,
K_C47_conditioned_source_top1,C47,best_conditioned_strict_source_top1_hit,0.5555555555555556,0.556,oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json,,,verified,
K_C47_global_source_top1_gain,C47,global_strict_source_top1_gain,-0.4242902208201893,-0.424,oaci/reports/C47_CONDITIONED_SOURCE_SPACE_ACTIONABILITY.json,,,verified,
K_C48_local_ceiling_hit,C48,best_conditioned_top1_hit,1.0,1.000,oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json,,,verified,
K_C48_local_ceiling_enrichment,C48,best_conditioned_enrichment,2.3597078708023864,2.360,oaci/reports/C48_CONDITIONED_LOCAL_BAYES_CEILING.json,,,verified,
K_C49_broad_coverage_hit,C49,coverage50_best_hit,1.0,1.000,oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json,,,verified,
K_C49_broad_coverage,C49,coverage50_best_coverage,1.0,1.000,oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json,,,verified,
K_C49_max_underuse_gap,C49,max_underuse_gap,1.0,1.000,oaci/reports/C49_SPARSE_LOCAL_BAYES_COVERAGE_AUDIT.json,,,verified,
K_C50_trajectory_fail_fraction,C50,trajectory_actionability_fail_fraction,0.43209876543209874,0.432,oaci/reports/C50_CONDITIONED_ISLAND_MORPHOLOGY.json,,,verified,
K_C50_max_mean_underuse_gap,C50,max_mean_underuse_gap,0.4308510638297872,0.431,oaci/reports/C50_CONDITIONED_ISLAND_MORPHOLOGY.json,,,verified,
K_C51_n4_enrichment_null_mean,C51,n4_enrichment_null_mean,0.8342243865476644,0.834,oaci/reports/C51_TRAJECTORY_FRAGMENTATION_UNDERUSE.json,,,verified,
K_C51_best_trajectory_centered_gap,C51,best_trajectory_centered_gap,-0.00411522633744843,-0.004,oaci/reports/C51_TRAJECTORY_FRAGMENTATION_UNDERUSE.json,,,verified,
K_C52_best_key_only_hit,C52,best_key_only_hit,0.4876543209876543,0.488,oaci/reports/C52_MINIMAL_GAUGE_KEY_SUFFICIENCY.json,,,verified,
K_C52_best_label_derived_hit,C52,best_label_derived_hit,0.8127572016460904,0.813,oaci/reports/C52_MINIMAL_GAUGE_KEY_SUFFICIENCY.json,,,verified,
K_C52_best_strict_source_hit,C52,best_strict_source_hit,0.5061728395061729,0.506,oaci/reports/C52_MINIMAL_GAUGE_KEY_SUFFICIENCY.json,,,verified,
K_C53_best_scalar_endpoint_hit,C53,best_scalar_endpoint_hit,0.9444444444444444,0.944,oaci/reports/C53_DIAGNOSTIC_LABEL_CONTENT_MINIMALITY.json,,,verified,
K_C53_split_label_budget_available,C53,split_label_budget_available,0,False,oaci/reports/C53_DIAGNOSTIC_LABEL_CONTENT_MINIMALITY.json,,,verified,
K_C54_best_single_endpoint_component_hit,C54,best_single_endpoint_component_hit,0.9259259259259259,0.926,oaci/reports/C54_ENDPOINT_SCALAR_TAUTOLOGY_BIT_BUDGET.json,,,verified,
K_C54_binary_threshold_sufficient,C54,binary_threshold_sufficient,1,True,oaci/reports/C54_ENDPOINT_SCALAR_TAUTOLOGY_BIT_BUDGET.json,,,verified,
K_C54_threshold_overlap,C54,closed_fraction_vs_c53_gap,1.0,1.000,oaci/reports/C54_ENDPOINT_SCALAR_TAUTOLOGY_BIT_BUDGET.json,,,verified,
K_C55_template_only_best,C55,best_template_only_hit,0.7037037037037037,0.704,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,,,verified,
K_C55_endpoint_scalar_transfer,C55,best_endpoint_scalar_transfer_hit,0.9444444444444444,0.944,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,,,verified,
K_C55_same_cell_endpoint_scalar,C55,same_cell_endpoint_scalar_hit,0.9444444444444444,0.944,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,,,verified,
K_C55_same_minus_template_gap,C55,same_cell_minus_best_template_gap,0.2407407407407407,0.241,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,,,verified,
K_C55_max_null_p95,C55,max_null_p95_hit,0.7712962962962961,0.771,oaci/reports/C55_CROSS_CELL_ENDPOINT_TEMPLATE_BOUNDARY.json,transfer_null_summary.csv,N5_trajectory_block_shuffle,verified,
