section_id,section_title,section_thesis,claim_ids
S01,Introduction,source-side invariance as measurement rather than control,"CL01,CL02,CL03"
S02,Setting and strict target-isolation protocol,availability classes and no target-label use in selection,"CL12,CL13,CL15"
S03,Support-aware OACI and falsification battery,instrumentation survives; control objective does not,"CL01,CL02"
S04,Empirical failure of source-side control,good candidates exist but source localization is weak,"CL03,CL04,CL06"
S05,Rank-gauge mechanism,rank and gauge explain weak signal plus pooled failure,"CL04,CL05"
S06,Selector/localization audit,local regret and exact UCL mechanics expose active misselection,"CL07,CL08"
S07,"Conditioning, diagnostic ceilings, and actionability failure",conditioning exposes islands but fragmentation/underuse blocks actionability,"CL09,CL10"
S08,Information-boundary closure and endpoint-oracle boundary,"keys fail, labels diagnose, same-label endpoint oracle closes tautologically","CL11,CL12,CL13,CL14"
S09,Related work,literature constrains claim language,CL16
S10,"Discussion, limitations, and split-label future work",manuscript-ready but not a theorem or deployable method,"CL15,CL16"
