figure_id,figure_title,source_milestones,artifact_provenance,key_numbers,supported_claim,unsupported_overclaim,main_or_supplement
F1,Problem and information ladder,C52-C56,oaci/reports/c56_tables/information_class_ladder.csv,K_C52_best_key_only_hit=0.488;K_C52_best_label_derived_hit=0.813;K_C55_endpoint_scalar_transfer=0.944,Availability-separated ladder from source to endpoint oracle.,same-label endpoint oracle as available method,main
F2,Support-aware OACI and falsification battery,"C23-C31,C56",oaci/reports/c56_tables/milestone_evidence_ledger.csv,K_C31_joint_good_rate=0.424;K_C42_source_rank_top1_joint=0.506,Good checkpoints exist while source-side control remains weak.,OACI recovered as control objective,main
F3,Good checkpoints exist; source control fails localization,"C31,C42,C43",oaci/reports/c56_tables/key_number_provenance.csv,K_C31_joint_good_rate=0.424;K_C42_random_base=0.430;K_C42_source_rank_top1_joint=0.506;K_C43_best_source_scalarization_top1=0.574,"Failure is localization, not endpoint scarcity.",good checkpoints absent,main
F4,Rank-gauge decomposition,"C31,C45,C46",oaci/reports/c56_tables/mechanism_edges.csv,K_C46_within_target_q10=0.005;K_C46_within_trajectory_q10=0.133;K_C46_cross_target_q10=0.937,Conditioning restores local meaning while cross-target comparability breaks.,universal non-identifiability theorem,main
F5,Exact selector and local-regret mechanics,C34-C38,oaci/reports/c57_tables/key_number_provenance.csv,K_C34_real_endpoint_regret_fraction=0.941;K_C35_preference_robust_fraction=0.745;K_C37_ucl_prefers_selected_fraction=1.000;K_C38_point_dominant_fraction=0.974,"Selected-vs-better conflict is real, preference-robust, and point-leakage dominated.",threshold-only artifact,main
F6,Conditioned diagnostic ceiling versus actionability,C48-C51,oaci/reports/c56_tables/key_number_provenance.csv,K_C48_local_ceiling_hit=1.000;K_C48_local_ceiling_enrichment=2.360;K_C50_trajectory_fail_fraction=0.432;K_C50_max_mean_underuse_gap=0.431,Diagnostic islands exist but fragment and are underused.,local Bayes ceiling as action rule,main
F7,Endpoint-label oracle boundary,C52-C55,oaci/reports/c56_tables/c55_null_provenance.csv,K_C52_best_key_only_hit=0.488;K_C53_best_scalar_endpoint_hit=0.944;K_C55_template_only_best=0.704;K_C55_max_null_p95=0.771;K_C55_endpoint_scalar_transfer=0.944,Full closure requires endpoint-label content; template-only remains partial.,template-only transfer beats max null,main
F8,Final mechanism diagram,C31-C56,oaci/reports/c56_tables/mechanism_nodes.csv,K_C31_joint_good_rate=0.424;K_C42_source_rank_top1_joint=0.506;K_C48_local_ceiling_hit=1.000;K_C55_endpoint_scalar_transfer=0.944,Source measurements are real but not reliable controls under the original setting.,deployable target-aware method,main
S1,Validation/regression timeline,C14-C56,oaci/reports/c56_tables/validation_timeline.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
S2,Artifact and red-team gates,C56-C57,oaci/reports/c57_tables/red_team_failure_ledger.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
S3,Source scalarization/Pareto failure,C42-C44,oaci/reports/c56_tables/claim_support_matrix.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
S4,Local Bayes coverage grids,C48-C51,oaci/reports/c56_tables/key_number_provenance.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
S5,C52-C55 information-boundary ledger,C52-C55,oaci/reports/c57_tables/information_class_ladder.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
S6,Literature-alignment map,C56-C57,oaci/reports/c57_tables/literature_alignment_matrix.csv,see keyed table,supplementary provenance and claim discipline,new experiment or method claim,supplement
