dataset,outer_seed,fold,protocol,information_regime,removal_kind,rank,fit_removed_energy_fraction,source_removed_energy_fraction,heldout_removed_energy_fraction,balanced_accuracy,nll,cohen_kappa,n_test_recordings,prediction_sha256
eegmat,42,0,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.47273926451723514,0.47291591328909627,0.75,0.5866260364585411,0.5,16,d2745de16ace24abc774c334d7b6cb1b7474b2dd6f514841cfe80c49d944ac5d
eegmat,42,0,source_subject_leace,source_only,subject_leace,27,0.4374091201062685,0.4374091201062685,0.41677956106991637,0.6875,0.6356409142921446,0.375,16,0b1f7a88d5cf4ee0f7ace6a6348514575535e014e368a27e7f1358161a1cd46f
eegmat,42,0,unchanged,source_only,none,0,0.0,0.0,0.0,0.6875,0.598361741612377,0.375,16,bc2d6dffb236a04b0c097dba5dad59611b7523376535b6a5662574ff1f034e08
eegmat,42,1,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.46846333433608384,0.4907089850898645,0.7142857142857143,0.6155981646979313,0.4285714285714286,14,a51a9ce2c3ee4326b7c09d198821af5b3e4423e1379f5adda0baf40631f942b0
eegmat,42,1,source_subject_leace,source_only,subject_leace,28,0.4326538477827073,0.4326538477827073,0.3943801547606039,0.7142857142857142,0.6343089924510851,0.4285714285714286,14,f9b648b94471ec128762a85a56ad444894617cf341abdc52479caecc35db18ca
eegmat,42,1,unchanged,source_only,none,0,0.0,0.0,0.0,0.5714285714285714,0.6646060095040619,0.1428571428571429,14,410132dc164f52be5b9e64bc9d763c8e1347af9b1d1e97fa4ca4f96ba3a7f50b
eegmat,42,2,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4752522495877245,0.4622701103314433,0.6428571428571428,0.6217980421732408,0.2857142857142857,14,c96ed1d1a6cab617d01bf7bcaccb95ca7f37fb7d157b2ae0627ec52a6df714e9
eegmat,42,2,source_subject_leace,source_only,subject_leace,28,0.4449639769445945,0.4449639769445945,0.377782502027696,0.7857142857142857,0.636914844486973,0.5714285714285714,14,3747baa67b1c54918697afd415b856cf95c83e631282a8e76bb0caf51421169b
eegmat,42,2,unchanged,source_only,none,0,0.0,0.0,0.0,0.7857142857142857,0.5727274494845086,0.5714285714285714,14,f966168f8ee3e9f6d7491c82a9213ad6ca41205e9727431507c3c76914517a81
eegmat,42,3,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4680912193538488,0.4924152852888371,0.5714285714285714,0.6291731238028211,0.1428571428571429,14,481424f8144fca9902b93ec4f58fe728f8d55de96104a6ade6164016f8846f1c
eegmat,42,3,source_subject_leace,source_only,subject_leace,28,0.4373995175084933,0.4373995175084933,0.4292000918652781,0.6428571428571428,0.6424590729674655,0.2857142857142857,14,8786178c111f4fa27ccb9a079d50f8f613eac655bf716dc1f43f4087663a982f
eegmat,42,3,unchanged,source_only,none,0,0.0,0.0,0.0,0.6428571428571428,0.5635294495538525,0.2857142857142857,14,c34bf97df8081bc97577723b34c2a02eccad27c21ff24170ef186831f87c29e0
eegmat,42,4,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.47945675067797894,0.4474191909504878,0.6428571428571428,0.5987553442896549,0.2857142857142857,14,976a9ac52a598c2fa3aa349b36132ba921c81917c7573180c8e71b04fd94d546
eegmat,42,4,source_subject_leace,source_only,subject_leace,28,0.4476771786838397,0.4476771786838397,0.3989925858151136,0.7142857142857142,0.6175982001850352,0.4285714285714286,14,03a072f776cd453563d931fd3b060f055d963dc9d0d91bf2e98bbca4a918b997
eegmat,42,4,unchanged,source_only,none,0,0.0,0.0,0.0,0.7857142857142857,0.5470236055523767,0.5714285714285714,14,26106d4f3718aa3eff06f4578c31b470ea78b66efd5a2d703ea1c0643dc34811
eegmat,123,0,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.47273926451723514,0.47291591328909627,0.75,0.5866260364585411,0.5,16,d2745de16ace24abc774c334d7b6cb1b7474b2dd6f514841cfe80c49d944ac5d
eegmat,123,0,source_subject_leace,source_only,subject_leace,27,0.4374091201062685,0.4374091201062685,0.41677956106991637,0.6875,0.6356409142921446,0.375,16,0b1f7a88d5cf4ee0f7ace6a6348514575535e014e368a27e7f1358161a1cd46f
eegmat,123,0,unchanged,source_only,none,0,0.0,0.0,0.0,0.6875,0.598361741612377,0.375,16,bc2d6dffb236a04b0c097dba5dad59611b7523376535b6a5662574ff1f034e08
eegmat,123,1,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.46846333433608384,0.4907089850898645,0.7142857142857143,0.6155981646979313,0.4285714285714286,14,a51a9ce2c3ee4326b7c09d198821af5b3e4423e1379f5adda0baf40631f942b0
eegmat,123,1,source_subject_leace,source_only,subject_leace,28,0.4326538477827073,0.4326538477827073,0.3943801547606039,0.7142857142857142,0.6343089924510851,0.4285714285714286,14,f9b648b94471ec128762a85a56ad444894617cf341abdc52479caecc35db18ca
eegmat,123,1,unchanged,source_only,none,0,0.0,0.0,0.0,0.5714285714285714,0.6646060095040619,0.1428571428571429,14,410132dc164f52be5b9e64bc9d763c8e1347af9b1d1e97fa4ca4f96ba3a7f50b
eegmat,123,2,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4752522495877245,0.4622701103314433,0.6428571428571428,0.6217980421732408,0.2857142857142857,14,c96ed1d1a6cab617d01bf7bcaccb95ca7f37fb7d157b2ae0627ec52a6df714e9
eegmat,123,2,source_subject_leace,source_only,subject_leace,28,0.4449639769445945,0.4449639769445945,0.377782502027696,0.7857142857142857,0.636914844486973,0.5714285714285714,14,3747baa67b1c54918697afd415b856cf95c83e631282a8e76bb0caf51421169b
eegmat,123,2,unchanged,source_only,none,0,0.0,0.0,0.0,0.7857142857142857,0.5727274494845086,0.5714285714285714,14,f966168f8ee3e9f6d7491c82a9213ad6ca41205e9727431507c3c76914517a81
eegmat,123,3,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4680912193538488,0.4924152852888371,0.5714285714285714,0.6291731238028211,0.1428571428571429,14,481424f8144fca9902b93ec4f58fe728f8d55de96104a6ade6164016f8846f1c
eegmat,123,3,source_subject_leace,source_only,subject_leace,28,0.4373995175084933,0.4373995175084933,0.4292000918652781,0.6428571428571428,0.6424590729674655,0.2857142857142857,14,8786178c111f4fa27ccb9a079d50f8f613eac655bf716dc1f43f4087663a982f
eegmat,123,3,unchanged,source_only,none,0,0.0,0.0,0.0,0.6428571428571428,0.5635294495538525,0.2857142857142857,14,c34bf97df8081bc97577723b34c2a02eccad27c21ff24170ef186831f87c29e0
