dataset,outer_seed,fold,recording,subject,label,role
eegmat,42,0,0,0,0,heldout_final_score
eegmat,42,0,1,0,1,heldout_final_score
eegmat,42,0,2,1,0,source
eegmat,42,0,3,1,1,source
eegmat,42,0,4,2,0,source
eegmat,42,0,5,2,1,source
eegmat,42,0,6,3,0,source
eegmat,42,0,7,3,1,source
eegmat,42,0,8,4,0,source
eegmat,42,0,9,4,1,source
eegmat,42,0,10,5,0,heldout_final_score
eegmat,42,0,11,5,1,heldout_final_score
eegmat,42,0,12,6,0,source
eegmat,42,0,13,6,1,source
eegmat,42,0,14,7,0,source
eegmat,42,0,15,7,1,source
eegmat,42,0,16,8,0,source
eegmat,42,0,17,8,1,source
eegmat,42,0,18,9,0,source
eegmat,42,0,19,9,1,source
eegmat,42,0,20,10,0,source
eegmat,42,0,21,10,1,source
eegmat,42,0,22,11,0,source
eegmat,42,0,23,11,1,source
eegmat,42,0,24,12,0,heldout_final_score
eegmat,42,0,25,12,1,heldout_final_score
eegmat,42,0,26,13,0,source
eegmat,42,0,27,13,1,source
eegmat,42,0,28,14,0,source
eegmat,42,0,29,14,1,source
eegmat,42,0,30,15,0,heldout_final_score
eegmat,42,0,31,15,1,heldout_final_score
eegmat,42,0,32,16,0,source
eegmat,42,0,33,16,1,source
eegmat,42,0,34,17,0,source
eegmat,42,0,35,17,1,source
eegmat,42,0,36,18,0,source
eegmat,42,0,37,18,1,source
eegmat,42,0,38,19,0,source
eegmat,42,0,39,19,1,source
eegmat,42,0,40,20,0,heldout_final_score
eegmat,42,0,41,20,1,heldout_final_score
eegmat,42,0,42,21,0,source
eegmat,42,0,43,21,1,source
eegmat,42,0,44,22,0,source
eegmat,42,0,45,22,1,source
eegmat,42,0,46,23,0,source
eegmat,42,0,47,23,1,source
eegmat,42,0,48,24,0,source
eegmat,42,0,49,24,1,source
eegmat,42,0,50,25,0,heldout_final_score
eegmat,42,0,51,25,1,heldout_final_score
eegmat,42,0,52,26,0,source
eegmat,42,0,53,26,1,source
eegmat,42,0,54,27,0,source
eegmat,42,0,55,27,1,source
eegmat,42,0,56,28,0,source
eegmat,42,0,57,28,1,source
eegmat,42,0,58,29,0,source
eegmat,42,0,59,29,1,source
eegmat,42,0,60,30,0,heldout_final_score
eegmat,42,0,61,30,1,heldout_final_score
eegmat,42,0,62,31,0,source
eegmat,42,0,63,31,1,source
eegmat,42,0,64,32,0,source
eegmat,42,0,65,32,1,source
eegmat,42,0,66,33,0,source
eegmat,42,0,67,33,1,source
eegmat,42,0,68,34,0,source
eegmat,42,0,69,34,1,source
eegmat,42,0,70,35,0,heldout_final_score
eegmat,42,0,71,35,1,heldout_final_score
eegmat,42,1,0,0,0,source
eegmat,42,1,1,0,1,source
eegmat,42,1,2,1,0,heldout_final_score
eegmat,42,1,3,1,1,heldout_final_score
eegmat,42,1,4,2,0,source
eegmat,42,1,5,2,1,source
eegmat,42,1,6,3,0,source
eegmat,42,1,7,3,1,source
eegmat,42,1,8,4,0,source
eegmat,42,1,9,4,1,source
eegmat,42,1,10,5,0,source
eegmat,42,1,11,5,1,source
eegmat,42,1,12,6,0,heldout_final_score
eegmat,42,1,13,6,1,heldout_final_score
eegmat,42,1,14,7,0,source
eegmat,42,1,15,7,1,source
eegmat,42,1,16,8,0,source
eegmat,42,1,17,8,1,source
eegmat,42,1,18,9,0,source
eegmat,42,1,19,9,1,source
eegmat,42,1,20,10,0,source
eegmat,42,1,21,10,1,source
eegmat,42,1,22,11,0,source
eegmat,42,1,23,11,1,source
eegmat,42,1,24,12,0,source
eegmat,42,1,25,12,1,source
eegmat,42,1,26,13,0,heldout_final_score
eegmat,42,1,27,13,1,heldout_final_score
eegmat,42,1,28,14,0,source
eegmat,42,1,29,14,1,source
eegmat,42,1,30,15,0,source
eegmat,42,1,31,15,1,source
eegmat,42,1,32,16,0,source
eegmat,42,1,33,16,1,source
eegmat,42,1,34,17,0,heldout_final_score
eegmat,42,1,35,17,1,heldout_final_score
eegmat,42,1,36,18,0,source
eegmat,42,1,37,18,1,source
eegmat,42,1,38,19,0,source
eegmat,42,1,39,19,1,source
eegmat,42,1,40,20,0,source
eegmat,42,1,41,20,1,source
eegmat,42,1,42,21,0,heldout_final_score
eegmat,42,1,43,21,1,heldout_final_score
eegmat,42,1,44,22,0,source
eegmat,42,1,45,22,1,source
eegmat,42,1,46,23,0,source
eegmat,42,1,47,23,1,source
eegmat,42,1,48,24,0,source
eegmat,42,1,49,24,1,source
eegmat,42,1,50,25,0,source
eegmat,42,1,51,25,1,source
eegmat,42,1,52,26,0,heldout_final_score
eegmat,42,1,53,26,1,heldout_final_score
eegmat,42,1,54,27,0,source
eegmat,42,1,55,27,1,source
eegmat,42,1,56,28,0,source
eegmat,42,1,57,28,1,source
eegmat,42,1,58,29,0,source
eegmat,42,1,59,29,1,source
eegmat,42,1,60,30,0,source
eegmat,42,1,61,30,1,source
eegmat,42,1,62,31,0,heldout_final_score
