dataset,outer_seed,fold,baseline_balanced_accuracy,baseline_nll,source_subject_task_overlap,source_post_erasure_cross_recording_mlp_subject_ba,direction_consistency_median_cosine,direction_consistency_iqr_low,direction_consistency_iqr_high,n_paired_subjects
eegmat,42,0,0.6875,0.598361741612377,0.9332564060844194,0.03484623015873016,0.16399861954350892,-0.03973822308564204,0.36629827740988796,28
eegmat,42,1,0.5714285714285714,0.6646060095040619,0.9221483758694445,0.020622041920216362,0.17577231726502246,-0.029794720073706427,0.37812565574806783,29
eegmat,42,2,0.7857142857142857,0.5727274494845086,0.9251762484614817,0.018678160919540228,0.15628253924282043,-0.027605943741652882,0.36453519597844286,29
eegmat,42,3,0.6428571428571428,0.5635294495538525,0.9011502373956902,0.02920161540851196,0.12967978417710901,-0.07029863330202377,0.29652066224828155,29
eegmat,42,4,0.7857142857142857,0.5470236055523767,0.8831591416869627,0.029188671430050737,0.15695113978462785,-0.07154294631708809,0.3349492522619572,29
eegmat,123,0,0.6875,0.598361741612377,0.9332564060844194,0.0387220203396674,0.16399861954350892,-0.03973822308564204,0.36629827740988796,28
eegmat,123,1,0.5714285714285714,0.6646060095040619,0.9221483758694445,0.031609195402298854,0.17577231726502246,-0.029794720073706427,0.37812565574806783,29
eegmat,123,2,0.7857142857142857,0.5727274494845086,0.9251762484614817,0.031130268199233715,0.15628253924282043,-0.027605943741652882,0.36453519597844286,29
eegmat,123,3,0.6428571428571428,0.5635294495538525,0.9011502373956902,0.029932950191570884,0.12967978417710901,-0.07029863330202377,0.29652066224828155,29
eegmat,123,4,0.7857142857142857,0.5470236055523767,0.8831591416869627,0.021538780159469813,0.15695113978462785,-0.07154294631708809,0.3349492522619572,29
eegmat,2024,0,0.6875,0.598361741612377,0.9332564060844194,0.03224206349206349,0.16399861954350892,-0.03973822308564204,0.36629827740988796,28
eegmat,2024,1,0.5714285714285714,0.6646060095040619,0.9221483758694445,0.023510833348561543,0.17577231726502246,-0.029794720073706427,0.37812565574806783,29
eegmat,2024,2,0.7857142857142857,0.5727274494845086,0.9251762484614817,0.0341728645481181,0.15628253924282043,-0.027605943741652882,0.36453519597844286,29
eegmat,2024,3,0.6428571428571428,0.5635294495538525,0.9011502373956902,0.017241379310344827,0.12967978417710901,-0.07029863330202377,0.29652066224828155,29
eegmat,2024,4,0.7857142857142857,0.5470236055523767,0.8831591416869627,0.011002381692036864,0.15695113978462785,-0.07154294631708809,0.3349492522619572,29
sleepdep,42,0,0.5625,0.7836964444791461,0.9629839714866606,0.010891950878994507,0.04699507790693656,-0.22240403521712973,0.28710616650137966,28
sleepdep,42,1,0.5714285714285714,0.6684642058627821,0.9444193765556111,0.007589082051989406,0.016480497177062445,-0.22740850242784696,0.2650580736381347,29
sleepdep,42,2,0.7142857142857143,0.600241371539233,0.8716259495033134,0.00933749869273131,0.005257292954557386,-0.2247721508672433,0.2194524931043275,29
sleepdep,42,3,0.5714285714285714,0.7092396905604891,0.949749058119288,0.014679093431934763,0.022381130964436585,-0.2247721508672433,0.2717369155406184,29
sleepdep,42,4,0.42857142857142855,0.7604050515562703,0.9620089059891554,0.01204011406674851,0.038591801305360766,-0.23305127594773561,0.2803378072219725,29
sleepdep,123,0,0.5625,0.7836964444791461,0.9629839714866606,0.011544509008304633,0.04699507790693656,-0.22240403521712973,0.28710616650137966,28
sleepdep,123,1,0.5714285714285714,0.6684642058627821,0.9444193765556111,0.007024837704869548,0.016480497177062445,-0.22740850242784696,0.2650580736381347,29
sleepdep,123,2,0.7142857142857143,0.600241371539233,0.8716259495033134,0.007810977972196886,0.005257292954557386,-0.2247721508672433,0.2194524931043275,29
sleepdep,123,3,0.5714285714285714,0.7092396905604891,0.949749058119288,0.013970849559898649,0.022381130964436585,-0.2247721508672433,0.2717369155406184,29
sleepdep,123,4,0.42857142857142855,0.7604050515562703,0.9620089059891554,0.009512462452712905,0.038591801305360766,-0.23305127594773561,0.2803378072219725,29
sleepdep,2024,0,0.5625,0.7836964444791461,0.9629839714866606,0.007634097914442314,0.04699507790693656,-0.22240403521712973,0.28710616650137966,28
sleepdep,2024,1,0.5714285714285714,0.6684642058627821,0.9444193765556111,0.0059204920593180265,0.016480497177062445,-0.22740850242784696,0.2650580736381347,29
sleepdep,2024,2,0.7142857142857143,0.600241371539233,0.8716259495033134,0.010994358051346027,0.005257292954557386,-0.2247721508672433,0.2194524931043275,29
sleepdep,2024,3,0.5714285714285714,0.7092396905604891,0.949749058119288,0.011660979218163902,0.022381130964436585,-0.2247721508672433,0.2717369155406184,29
sleepdep,2024,4,0.42857142857142855,0.7604050515562703,0.9620089059891554,0.008476962229803561,0.038591801305360766,-0.23305127594773561,0.2803378072219725,29
