dataset,outer_seed,fold,protocol,information_regime,removal_kind,rank,fit_removed_energy_fraction,source_removed_energy_fraction,heldout_removed_energy_fraction,balanced_accuracy,nll,cohen_kappa,n_test_recordings,prediction_sha256
eegmat,42,0,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.47273926451723514,0.47291591328909627,0.875,0.5449094806795469,0.75,16,cdf93332d69323f8209468058491a30ad9b8b8effe407ed9516e14f47f4d3f55
eegmat,42,0,source_subject_leace,source_only,subject_leace,27,0.4374091201062685,0.4374091201062685,0.41677956106991637,0.6875,0.5920036810378437,0.375,16,b97b003d389d4e7629142e2bcbdba2beb30842ade07583714502f43ac0dc1743
eegmat,42,0,unchanged,source_only,none,0,0.0,0.0,0.0,0.6875,0.598361741612377,0.375,16,bc2d6dffb236a04b0c097dba5dad59611b7523376535b6a5662574ff1f034e08
eegmat,42,1,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.46846333433608384,0.4907089850898645,0.7857142857142857,0.6116630028414699,0.5714285714285714,14,0b8074daee83f38573b5fcc621c06af59e1aaa938a070582efea92b0d0d7dd28
eegmat,42,1,source_subject_leace,source_only,subject_leace,28,0.4326538477827073,0.4326538477827073,0.3943801547606039,0.6428571428571428,0.6404709463299403,0.2857142857142857,14,77a79b95a96546b940c3be518e1043506a509c678ea377a6b4220ea69a7c77a4
eegmat,42,1,unchanged,source_only,none,0,0.0,0.0,0.0,0.5714285714285714,0.6646060095040619,0.1428571428571429,14,410132dc164f52be5b9e64bc9d763c8e1347af9b1d1e97fa4ca4f96ba3a7f50b
eegmat,42,2,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4752522495877245,0.4622701103314433,0.7142857142857143,0.6333989524582186,0.4285714285714286,14,e12f9d652efd260c15b4273824b91f4c96eb818f5aaccbb86aafd79779160b8a
eegmat,42,2,source_subject_leace,source_only,subject_leace,28,0.4449639769445945,0.4449639769445945,0.377782502027696,0.7142857142857143,0.6295324973381422,0.4285714285714286,14,7b94f504fe5f326172aee9d8de531bad24215aa2d5a7b370ddcef85ba0cd098b
eegmat,42,2,unchanged,source_only,none,0,0.0,0.0,0.0,0.7857142857142857,0.5727274494845086,0.5714285714285714,14,f966168f8ee3e9f6d7491c82a9213ad6ca41205e9727431507c3c76914517a81
eegmat,42,3,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.4680912193538488,0.4924152852888371,0.7142857142857143,0.6143806425980424,0.4285714285714286,14,6a46cb674c404eebf6a315cfde371064c53e6bddce8ae291a0ffb71fa2769714
eegmat,42,3,source_subject_leace,source_only,subject_leace,28,0.4373995175084933,0.4373995175084933,0.4292000918652781,0.7142857142857143,0.6099621015264934,0.4285714285714286,14,633080a80481534dbbc76af92adf244278fa0f35b8d325b80145a104bedb9a14
eegmat,42,3,unchanged,source_only,none,0,0.0,0.0,0.0,0.6428571428571428,0.5635294495538525,0.2857142857142857,14,c34bf97df8081bc97577723b34c2a02eccad27c21ff24170ef186831f87c29e0
eegmat,42,4,global_subject_leace,global_oracle,subject_leace,35,0.4727771184334799,0.47945675067797894,0.4474191909504878,0.6428571428571428,0.5895630792845669,0.2857142857142857,14,a2ae3e223262479db8a2462bb26003b2087567f50ea5d8d2bb15cf2643853748
eegmat,42,4,source_subject_leace,source_only,subject_leace,28,0.4476771786838397,0.4476771786838397,0.3989925858151136,0.7142857142857142,0.5983062803083266,0.4285714285714286,14,4c6963cc63739b6f6e6358c4560a982814823ace5a78248e0ac31c1a1623715c
