dataset,outer_seed,fold,source_subjects,heldout_subjects,source_axis_rank,heldout_axis_rank,normalized_projection_overlap,principal_angle_mean_deg,principal_angle_min_deg,principal_angle_max_deg,heldout_subject_mean_scatter_removed_fraction,heldout_cross_recording_subject_ba_pre,heldout_cross_recording_subject_ba_post_source_erasure,heldout_subject_chance
eegmat,42,0,28,8,27,7,0.731064861878803,28.922215618083907,7.534258665659227,47.15219655704045,0.7485913200677157,0.5486111111111112,0.3506944444444444,0.125
eegmat,42,1,29,7,28,6,0.8168064043872132,23.71766151224541,9.336233004613874,40.49528691813555,0.7811031902705486,0.48115079365079366,0.36309523809523814,0.14285714285714285
eegmat,42,2,29,7,28,6,0.8129105208848121,24.070295798640327,9.00013497391819,38.97759904934299,0.8152350070437312,0.4857357357357357,0.3544079794079794,0.14285714285714285
eegmat,42,3,29,7,28,6,0.7858728492650581,25.59956205393945,6.985894901125684,41.66637947629946,0.8524654036295737,0.5,0.36706349206349204,0.14285714285714285
eegmat,42,4,29,7,28,6,0.7815195166072889,26.235813287955697,7.237845953380047,42.166309076408716,0.7474423109063906,0.5739962651727357,0.38013538748832865,0.14285714285714285
eegmat,123,0,28,8,27,7,0.731064861878803,28.922215618083907,7.534258665659227,47.15219655704045,0.7485913200677157,0.5486111111111112,0.3506944444444444,0.125
eegmat,123,1,29,7,28,6,0.8168064043872132,23.71766151224541,9.336233004613874,40.49528691813555,0.7811031902705486,0.48115079365079366,0.36309523809523814,0.14285714285714285
eegmat,123,2,29,7,28,6,0.8129105208848121,24.070295798640327,9.00013497391819,38.97759904934299,0.8152350070437312,0.4857357357357357,0.3544079794079794,0.14285714285714285
eegmat,123,3,29,7,28,6,0.7858728492650581,25.59956205393945,6.985894901125684,41.66637947629946,0.8524654036295737,0.5,0.36706349206349204,0.14285714285714285
eegmat,123,4,29,7,28,6,0.7815195166072889,26.235813287955697,7.237845953380047,42.166309076408716,0.7474423109063906,0.5739962651727357,0.38013538748832865,0.14285714285714285
eegmat,2024,0,28,8,27,7,0.731064861878803,28.922215618083907,7.534258665659227,47.15219655704045,0.7485913200677157,0.5486111111111112,0.3506944444444444,0.125
eegmat,2024,1,29,7,28,6,0.8168064043872132,23.71766151224541,9.336233004613874,40.49528691813555,0.7811031902705486,0.48115079365079366,0.36309523809523814,0.14285714285714285
eegmat,2024,2,29,7,28,6,0.8129105208848121,24.070295798640327,9.00013497391819,38.97759904934299,0.8152350070437312,0.4857357357357357,0.3544079794079794,0.14285714285714285
eegmat,2024,3,29,7,28,6,0.7858728492650581,25.59956205393945,6.985894901125684,41.66637947629946,0.8524654036295737,0.5,0.36706349206349204,0.14285714285714285
eegmat,2024,4,29,7,28,6,0.7815195166072889,26.235813287955697,7.237845953380047,42.166309076408716,0.7474423109063906,0.5739962651727357,0.38013538748832865,0.14285714285714285
sleepdep,42,0,28,8,27,7,0.8921337568941939,16.756070926347352,3.823188416800614,34.233093150311845,0.9156857506415412,0.5342575033999908,0.3417911776412499,0.125
sleepdep,42,1,29,7,28,6,0.9004892053170673,16.137492702516766,5.95647933958311,35.288117391961556,0.8464674094220365,0.5419779001521667,0.29854225850501515,0.14285714285714285
sleepdep,42,2,29,7,28,6,0.9240757026311303,13.462464024687856,4.698530579627903,31.655620752468856,0.9097284103950466,0.4875048963654097,0.2971617214778999,0.14285714285714285
sleepdep,42,3,29,7,28,6,0.9063923759422111,14.98422338460616,3.6656969467636262,34.03249820243632,0.9326491714271777,0.7347233346902668,0.4137565634504944,0.14285714285714285
sleepdep,42,4,29,7,28,6,0.902830721773133,16.245861669746347,4.647789643927245,31.309248234018618,0.9189798033326255,0.34041844090061507,0.24099090186702787,0.14285714285714285
sleepdep,123,0,28,8,27,7,0.8921337568941939,16.756070926347352,3.823188416800614,34.233093150311845,0.9156857506415412,0.5342575033999908,0.3417911776412499,0.125
sleepdep,123,1,29,7,28,6,0.9004892053170673,16.137492702516766,5.95647933958311,35.288117391961556,0.8464674094220365,0.5419779001521667,0.29854225850501515,0.14285714285714285
sleepdep,123,2,29,7,28,6,0.9240757026311303,13.462464024687856,4.698530579627903,31.655620752468856,0.9097284103950466,0.4875048963654097,0.2971617214778999,0.14285714285714285
sleepdep,123,3,29,7,28,6,0.9063923759422111,14.98422338460616,3.6656969467636262,34.03249820243632,0.9326491714271777,0.7347233346902668,0.4137565634504944,0.14285714285714285
sleepdep,123,4,29,7,28,6,0.902830721773133,16.245861669746347,4.647789643927245,31.309248234018618,0.9189798033326255,0.34041844090061507,0.24099090186702787,0.14285714285714285
sleepdep,2024,0,28,8,27,7,0.8921337568941939,16.756070926347352,3.823188416800614,34.233093150311845,0.9156857506415412,0.5342575033999908,0.3417911776412499,0.125
sleepdep,2024,1,29,7,28,6,0.9004892053170673,16.137492702516766,5.95647933958311,35.288117391961556,0.8464674094220365,0.5419779001521667,0.29854225850501515,0.14285714285714285
sleepdep,2024,2,29,7,28,6,0.9240757026311303,13.462464024687856,4.698530579627903,31.655620752468856,0.9097284103950466,0.4875048963654097,0.2971617214778999,0.14285714285714285
sleepdep,2024,3,29,7,28,6,0.9063923759422111,14.98422338460616,3.6656969467636262,34.03249820243632,0.9326491714271777,0.7347233346902668,0.4137565634504944,0.14285714285714285
sleepdep,2024,4,29,7,28,6,0.902830721773133,16.245861669746347,4.647789643927245,31.309248234018618,0.9189798033326255,0.34041844090061507,0.24099090186702787,0.14285714285714285
