table,stage,required,claim_role,production_writer
target_construction_label_view/manifest.json,label_provisioning,1,view_identity,c84s_label_views
target_evaluation_label_view/manifest.json,label_provisioning,1,view_identity,c84s_label_views
zero_label_candidate_scores.csv,selection,1,selection,c84s_selection_freeze
zero_label_candidate_ranks.csv,selection,1,selection,c84s_selection_freeze
q0_chain_selection.npz,selection,1,selection,c84s_selection_freeze
q0_sample_digest_registry.csv,selection,1,selection,c84s_selection_freeze
C84S_SELECTION_FREEZE_MANIFEST.json,selection,1,barrier,c84s_selection_freeze
method_context_decisions.csv,evaluation,1,decision,c84s_analysis
target_level_method_effects.csv,evaluation,1,cluster_effect,c84s_analysis
target_level_catastrophic_failures.csv,evaluation,1,catastrophic_failure,c84s_analysis
dataset_Q1_Q2.csv,inference,1,primary,c84s_analysis
level_specific_Q1_Q2.csv,inference,1,heterogeneity,c84s_analysis
panel_seed_stability.csv,inference,1,heterogeneity,c84s_analysis
leave_one_target_out.csv,inference,1,robustness,c84s_analysis
label_budget_frontier.csv,inference,1,primary,c84s_analysis
label_budget_context.csv,inference,1,primary_context,c84s_analysis
topk_decision_summary.csv,evaluation,1,secondary_decision,c84s_analysis
selected_utility_summary.csv,evaluation,1,secondary_decision,c84s_analysis
coverage_summary.csv,evaluation,1,coverage,c84s_analysis
selected_regime_distribution.csv,evaluation,1,selected_regime,c84s_analysis
source_relative_regret_gain.csv,evaluation,1,secondary_decision,c84s_analysis
measurement_vs_decision.csv,evaluation,1,secondary,c84s_analysis
cross_dataset_method_intersection.csv,inference,1,taxonomy,c84s_analysis
C84S_RESULT.json,final,1,taxonomy,c84s_analysis
C84S_RESULT_ARTIFACT_MANIFEST.json,final,1,atomic_result_identity,c84s_analysis
